date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,29,,0,,,,,2268,,,,,0,0,,,,False,False,False
2013-04-11,0,30,,0,,,,,2292,,,,,0,0,,,,False,False,False
2013-04-12,0,27,,0,,,,,2311,,,,,0,0,,,,False,False,False
2013-04-13,0,28,,0,,,,,2335,,,,,0,0,,,,False,False,False
2013-04-14,0,27,,0,,,,,2359,,,,,0,0,,,,False,False,False
2013-04-15,0,26,,0,,,,,2383,,,,,0,0,,,,False,False,False
2013-04-16,0,27,,0,,,,,2407,,,,,0,0,,,,False,False,False
2013-04-17,0,27,,0,,,,,2432,,,,,0,0,,,,False,False,False
2013-04-18,0,27,,0,,,,,2455,,,,,0,0,,,,False,False,False
2013-04-19,0,26,,0,,,,,2479,,,,,0,0,,,,False,False,False
2013-04-20,0,26,,0,,,,,2504,,,,,0,0,,,,False,False,False
2013-04-21,0,27,,0,,,,,2527,,,,,0,0,,,,False,False,False
2013-04-22,0,27,,0,,,,,2551,,,,,0,0,,,,False,False,False
2013-04-23,0,24,,0,,,,,2575,,,,,0,0,,,,False,False,False
2013-04-24,0,23,,0,,,,,2600,,,,,0,0,,,,False,False,False
2013-04-25,0,22,,0,,,,,2623,,,,,0,0,,,,False,False,False
2013-04-26,0,24,,0,,,,,2648,,,,,0,0,,,,False,False,False
2013-04-27,0,23,,0,,,,,2672,,,,,0,0,,,,False,False,False
2013-04-28,0,25,,0,,,,,2695,,,,,0,0,,,,False,False,False
2013-04-29,0,23,,0,,,,,2719,,,,,0,0,,,,False,False,False
2013-04-30,0,30,,0,,,,,2744,,,,,0,0,,,,False,False,False
2013-05-01,0,30,,0,,,,,2768,,,,,0,0,,,,False,False,False
2013-05-02,0,24,,0,,,,,2791,,,,,0,0,,,,False,False,False
2013-05-03,0,24,,0,,,,,2816,,,,,0,0,,,,False,False,False
