date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,31,,0,,,,,13451,,,,,0,0,,,,False,False,False
2013-04-11,0,31,,0,,,,,13475,,,,,0,0,,,,False,False,False
2013-04-12,0,31,,1,,,,,13499,,,,,0,0,,,,False,False,False
2013-04-13,0,30,,0,,,,,13523,,,,,0,0,,,,False,False,False
2013-04-14,0,30,,0,,,,,13547,,,,,0,0,,,,False,False,False
2013-04-15,0,30,,0,,,,,13571,,,,,0,0,,,,False,False,False
2013-04-16,0,30,,0,,,,,13595,,,,,0,0,,,,False,False,False
2013-04-17,0,30,,0,,,,,13619,,,,,0,0,,,,False,False,False
2013-04-18,0,30,,0,,,,,13643,,,,,0,0,,,,False,False,False
2013-04-19,0,30,,0,,,,,13667,,,,,0,0,,,,False,False,False
2013-04-20,0,30,,0,,,,,13691,,,,,0,0,,,,False,False,False
2013-04-21,0,30,,0,,,,,13715,,,,,0,0,,,,False,False,False
2013-04-22,0,30,,0,,,,,13739,,,,,0,0,,,,False,False,False
2013-04-23,0,31,,0,,,,,13763,,,,,0,0,,,,False,False,False
2013-04-24,0,30,,0,,,,,13787,,,,,0,0,,,,False,False,False
2013-04-25,0,29,,0,,,,,13811,,,,,0,0,,,,False,False,False
2013-04-26,0,28,,0,,,,,13830,,,,,0,0,,,,False,False,False
2013-04-27,0,28,,0,,,,,13854,,,,,0,0,,,,False,False,False
2013-04-28,0,28,,0,,,,,13878,,,,,0,0,,,,False,False,False
2013-04-29,0,28,,0,,,,,13902,,,,,0,0,,,,False,False,False
2013-04-30,0,28,,0,,,,,13926,,,,,0,0,,,,False,False,False
2013-05-01,0,28,,0,,,,,13950,,,,,0,0,,,,False,False,False
2013-05-02,0,28,,0,,,,,13974,,,,,0,0,,,,False,False,False
