date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,24,,0,,,,,3010,,,,,0,0,,,,False,False,False
2013-04-11,0,25,,0,,,,,3034,,,,,0,0,,,,False,False,False
2013-04-12,0,27,,0,,,,,3054,,,,,0,0,,,,False,False,False
2013-04-13,0,27,,0,,,,,3077,,,,,0,0,,,,False,False,False
2013-04-14,0,27,,0,,,,,3101,,,,,0,0,,,,False,False,False
2013-04-15,0,27,,0,,,,,3125,,,,,0,0,,,,False,False,False
2013-04-16,0,27,,0,,,,,3149,,,,,0,0,,,,False,False,False
2013-04-17,0,28,,0,,,,,3173,,,,,0,0,,,,False,False,False
2013-04-18,0,27,,0,,,,,3197,,,,,0,0,,,,False,False,False
2013-04-19,0,27,,0,,,,,3221,,,,,0,0,,,,False,False,False
2013-04-20,0,27,,0,,,,,3245,,,,,0,0,,,,False,False,False
2013-04-21,0,27,,0,,,,,3269,,,,,0,0,,,,False,False,False
2013-04-22,0,28,,0,,,,,3293,,,,,0,0,,,,False,False,False
2013-04-23,0,24,,0,,,,,3317,,,,,0,0,,,,False,False,False
2013-04-24,0,24,,0,,,,,3341,,,,,0,0,,,,False,False,False
2013-04-25,0,23,,0,,,,,3365,,,,,0,0,,,,False,False,False
2013-04-26,0,25,,0,,,,,3390,,,,,0,0,,,,False,False,False
2013-04-27,0,24,,0,,,,,3413,,,,,0,0,,,,False,False,False
2013-04-28,0,25,,0,,,,,3438,,,,,0,0,,,,False,False,False
2013-04-29,0,24,,0,,,,,3462,,,,,0,0,,,,False,False,False
2013-04-30,0,30,,0,,,,,3486,,,,,0,0,,,,False,False,False
2013-05-01,0,30,,0,,,,,3510,,,,,0,0,,,,False,False,False
2013-05-02,0,25,,0,,,,,3533,,,,,0,0,,,,False,False,False
2013-05-03,0,25,,0,,,,,3557,,,,,0,0,,,,False,False,False
2013-05-04,0,23,,0,,,,,3581,,,,,0,0,,,,False,False,False
2013-05-05,0,22,,0,,,,,3605,,,,,0,0,,,,False,False,False
2013-05-06,0,22,,0,,,,,3630,,,,,0,0,,,,False,False,False
2013-05-07,0,22,,0,,,,,3654,,,,,0,0,,,,False,False,False
