date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,25,,0,,,,,2268,,,,,0,0,,,
2013-04-11,0,25,,0,,,,,2292,,,,,0,0,,,
2013-04-12,0,25,,0,,,,,2312,,,,,0,0,,,
2013-04-13,0,24,,0,,,,,2336,,,,,0,0,,,
2013-04-14,0,24,,0,,,,,2359,,,,,0,0,,,
2013-04-15,0,24,,0,,,,,2384,,,,,0,0,,,
2013-04-16,0,23,,0,,,,,2408,,,,,0,0,,,
2013-04-17,0,24,,0,,,,,2431,,,,,0,0,,,
2013-04-18,0,24,,0,,,,,2455,,,,,0,0,,,
2013-04-19,0,23,,0,,,,,2480,,,,,0,0,,,
2013-04-20,0,23,,0,,,,,2503,,,,,0,0,,,
2013-04-21,0,24,,0,,,,,2528,,,,,0,0,,,
2013-04-22,0,25,,0,,,,,2551,,,,,0,0,,,
2013-04-23,0,22,,0,,,,,2576,,,,,0,0,,,
2013-04-24,0,21,,0,,,,,2599,,,,,0,0,,,
2013-04-25,0,21,,0,,,,,2624,,,,,0,0,,,
2013-04-26,0,22,,0,,,,,2648,,,,,0,0,,,
2013-04-27,0,22,,0,,,,,2672,,,,,0,0,,,
2013-04-28,0,22,,0,,,,,2696,,,,,0,0,,,
2013-04-29,0,21,,0,,,,,2720,,,,,0,0,,,
2013-04-30,0,28,,0,,,,,2744,,,,,0,0,,,
2013-05-01,0,28,,0,,,,,2768,,,,,0,0,,,
2013-05-02,0,22,,0,,,,,2791,,,,,0,0,,,
2013-05-03,0,22,,0,,,,,2815,,,,,0,0,,,
2013-05-04,0,21,,0,,,,,2840,,,,,0,0,,,
2013-05-05,0,19,,0,,,,,2863,,,,,0,0,,,
2013-05-06,0,20,,0,,,,,2888,,,,,0,0,,,
2013-05-07,0,18,,0,,,,,2911,,,,,0,0,,,
2013-05-08,0,28,,0,,,,,2936,,,,,0,0,,,
2013-05-09,0,27,,0,,,,,2960,,,,,0,0,,,
2013-05-10,0,28,,0,,,,,2984,,,,,0,0,,,
2013-05-11,0,27,,0,,,,,3007,,,,,0,0,,,
2013-05-12,0,28,,0,,,,,3032,,,,,0,0,,,
2013-05-13,0,28,,0,,,,,3056,,,,,0,0,,,
2013-05-14,0,28,,0,,,,,3080,,,,,0,0,,,
2013-05-15,0,26,,0,,,,,3104,,,,,0,0,,,
2013-05-16,0,27,,0,,,,,3128,,,,,0,0,,,
2013-05-17,0,22,,0,,,,,3152,,,,,0,0,,,
