date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,24,,0,,,,,12172,,,,,0,0,,,,False,False,False
2013-04-11,0,25,,0,,,,,12196,,,,,0,0,,,,False,False,False
2013-04-12,0,25,,0,,,,,12220,,,,,0,0,,,,False,False,False
2013-04-13,0,25,,0,,,,,12244,,,,,0,0,,,,False,False,False
2013-04-14,0,25,,0,,,,,12268,,,,,0,0,,,,False,False,False
2013-04-15,0,25,,0,,,,,12292,,,,,0,0,,,,False,False,False
2013-04-16,0,25,,0,,,,,12316,,,,,0,0,,,,False,False,False
2013-04-17,0,24,,0,,,,,12340,,,,,0,0,,,,False,False,False
2013-04-18,0,25,,0,,,,,12364,,,,,0,0,,,,False,False,False
2013-04-19,0,25,,0,,,,,12388,,,,,0,0,,,,False,False,False
2013-04-20,0,25,,0,,,,,12412,,,,,0,0,,,,False,False,False
2013-04-21,0,25,,0,,,,,12436,,,,,0,0,,,,False,False,False
2013-04-22,0,25,,0,,,,,12460,,,,,0,0,,,,False,False,False
2013-04-23,0,25,,0,,,,,12484,,,,,0,0,,,,False,False,False
2013-04-24,0,25,,0,,,,,12508,,,,,0,0,,,,False,False,False
2013-04-25,0,24,,0,,,,,12532,,,,,0,0,,,,False,False,False
2013-04-26,0,26,,0,,,,,12556,,,,,0,0,,,,False,False,False
