date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,33,,0,,,,,2673,,,,,0,0,,,,False,False,False
2013-04-11,0,34,,0,,,,,2697,,,,,0,0,,,,False,False,False
2013-04-12,0,30,,0,,,,,2715,,,,,0,0,,,,False,False,False
2013-04-13,0,29,,0,,,,,2739,,,,,0,0,,,,False,False,False
2013-04-14,0,29,,0,,,,,2763,,,,,0,0,,,,False,False,False
2013-04-15,0,28,,0,,,,,2787,,,,,0,0,,,,False,False,False
2013-04-16,0,29,,0,,,,,2811,,,,,0,0,,,,False,False,False
2013-04-17,0,29,,0,,,,,2836,,,,,0,0,,,,False,False,False
2013-04-18,0,28,,0,,,,,2860,,,,,0,0,,,,False,False,False
2013-04-19,0,28,,0,,,,,2884,,,,,0,0,,,,False,False,False
2013-04-20,0,28,,0,,,,,2908,,,,,0,0,,,,False,False,False
2013-04-21,0,29,,0,,,,,2931,,,,,0,0,,,,False,False,False
2013-04-22,0,29,,0,,,,,2956,,,,,0,0,,,,False,False,False
2013-04-23,0,27,,0,,,,,2980,,,,,0,0,,,,False,False,False
2013-04-24,0,26,,0,,,,,3003,,,,,0,0,,,,False,False,False
2013-04-25,0,25,,0,,,,,3027,,,,,0,0,,,,False,False,False
2013-04-26,0,27,,0,,,,,3051,,,,,0,0,,,,False,False,False
2013-04-27,0,26,,0,,,,,3075,,,,,0,0,,,,False,False,False
2013-04-28,0,27,,0,,,,,3099,,,,,0,0,,,,False,False,False
2013-04-29,0,26,,0,,,,,3123,,,,,0,0,,,,False,False,False
2013-04-30,0,30,,0,,,,,3148,,,,,0,0,,,,False,False,False
2013-05-01,0,30,,0,,,,,3171,,,,,0,0,,,,False,False,False
2013-05-02,0,27,,0,,,,,3195,,,,,0,0,,,,False,False,False
2013-05-03,0,27,,0,,,,,3219,,,,,0,0,,,,False,False,False
2013-05-04,0,25,,0,,,,,3243,,,,,0,0,,,,False,False,False
2013-05-05,0,25,,0,,,,,3267,,,,,0,0,,,,False,False,False
2013-05-06,0,25,,0,,,,,3291,,,,,0,0,,,,False,False,False
2013-05-07,0,24,,0,,,,,3316,,,,,0,0,,,,False,False,False
2013-05-08,0,30,,0,,,,,3339,,,,,0,0,,,,False,False,False
