date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,29,,0,,,,,14193,,,,,0,0,,,,False,False,False
2013-04-11,0,29,,0,,,,,14217,,,,,0,0,,,,False,False,False
2013-04-12,0,20,,0,,,,,14241,,,,,0,0,,,,False,False,False
2013-04-13,0,20,,0,,,,,14265,,,,,0,0,,,,False,False,False
2013-04-14,0,20,,0,,,,,14289,,,,,0,0,,,,False,False,False
2013-04-15,0,20,,0,,,,,14312,,,,,0,0,,,,False,False,False
2013-04-16,0,21,,0,,,,,14337,,,,,0,0,,,,False,False,False
2013-04-17,0,20,,0,,,,,14361,,,,,0,0,,,,False,False,False
2013-04-18,0,20,,0,,,,,14384,,,,,0,0,,,,False,False,False
2013-04-19,0,20,,0,,,,,14408,,,,,0,0,,,,False,False,False
2013-04-20,0,20,,0,,,,,14433,,,,,0,0,,,,False,False,False
2013-04-21,0,20,,0,,,,,14457,,,,,0,0,,,,False,False,False
2013-04-22,0,20,,0,,,,,14481,,,,,0,0,,,,False,False,False
2013-04-23,0,20,,0,,,,,14504,,,,,0,0,,,,False,False,False
2013-04-24,0,20,,0,,,,,14529,,,,,0,0,,,,False,False,False
2013-04-25,0,20,,2,,,,,14553,,,,,0,0,,,,False,False,False
2013-04-26,0,22,,0,,,,,14570,,,,,0,0,,,,False,False,False
2013-04-27,0,23,,0,,,,,14594,,,,,0,0,,,,False,False,False
2013-04-28,0,23,,0,,,,,14618,,,,,0,0,,,,False,False,False
2013-04-29,0,23,,0,,,,,14642,,,,,0,0,,,,False,False,False
2013-04-30,0,19,,0,,,,,14666,,,,,0,0,,,,False,False,False
2013-05-01,0,19,,0,,,,,14690,,,,,0,0,,,,False,False,False
2013-05-02,0,22,,0,,,,,14714,,,,,0,0,,,,False,False,False
2013-05-03,0,23,,0,,,,,14738,,,,,0,0,,,,False,False,False
2013-05-04,0,27,,65536,,,,,14762,,,,,0,0,,,,False,False,False
2013-05-05,0,24,,0,,,,,14786,,,,,0,0,,,,False,False,False
2013-05-06,0,25,,0,,,,,14810,,,,,0,0,,,,False,False,False
2013-05-07,0,27,,0,,,,,14834,,,,,0,0,,,,False,False,False
2013-05-08,0,20,,0,,,,,14858,,,,,0,0,,,,False,False,False
2013-05-09,0,19,,0,,,,,14882,,,,,0,0,,,,False,False,False
2013-05-10,0,19,,0,,,,,14906,,,,,0,0,,,,False,False,False
2013-05-11,0,19,,0,,,,,14930,,,,,0,0,,,,False,False,False
