date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,30,,0,,,,,8412,,,,,0,0,,,,False,False,False
2013-04-11,0,30,,65536,,,,,8436,,,,,0,0,,,,False,False,False
2013-04-12,0,29,,0,,,,,8461,,,,,0,0,,,,False,False,False
2013-04-13,0,29,,0,,,,,8485,,,,,0,0,,,,False,False,False
2013-04-14,0,29,,0,,,,,8508,,,,,0,0,,,,False,False,False
2013-04-15,0,29,,0,,,,,8533,,,,,0,0,,,,False,False,False
2013-04-16,0,29,,0,,,,,8556,,,,,0,0,,,,False,False,False
2013-04-17,0,29,,0,,,,,8580,,,,,0,0,,,,False,False,False
2013-04-18,0,29,,0,,,,,8605,,,,,0,0,,,,False,False,False
2013-04-19,0,29,,0,,,,,8628,,,,,0,0,,,,False,False,False
2013-04-20,0,29,,0,,,,,8652,,,,,0,0,,,,False,False,False
2013-04-21,0,29,,0,,,,,8677,,,,,0,0,,,,False,False,False
2013-04-22,0,29,,0,,,,,8700,,,,,0,0,,,,False,False,False
2013-04-23,0,29,,0,,,,,8725,,,,,0,0,,,,False,False,False
2013-04-24,0,28,,0,,,,,8749,,,,,0,0,,,,False,False,False
2013-04-25,0,28,,0,,,,,8772,,,,,0,0,,,,False,False,False
2013-04-26,0,29,,0,,,,,8796,,,,,0,0,,,,False,False,False
2013-04-27,0,28,,0,,,,,8821,,,,,0,0,,,,False,False,False
2013-04-28,0,28,,0,,,,,8845,,,,,0,0,,,,False,False,False
2013-04-29,0,28,,0,,,,,8869,,,,,0,0,,,,False,False,False
2013-04-30,0,29,,0,,,,,8892,,,,,0,0,,,,False,False,False
2013-05-01,0,29,,0,,,,,8916,,,,,0,0,,,,False,False,False
2013-05-02,0,30,,0,,,,,8941,,,,,0,0,,,,False,False,False
2013-05-03,0,30,,0,,,,,8965,,,,,0,0,,,,False,False,False
2013-05-04,0,30,,0,,,,,8989,,,,,0,0,,,,False,False,False
2013-05-05,0,30,,0,,,,,9013,,,,,0,0,,,,False,False,False
2013-05-06,0,30,,0,,,,,9037,,,,,0,0,,,,False,False,False
2013-05-07,0,30,,0,,,,,9060,,,,,0,0,,,,False,False,False
2013-05-08,0,30,,0,,,,,9084,,,,,0,0,,,,False,False,False
2013-05-09,0,30,,0,,,,,9109,,,,,0,0,,,,False,False,False
2013-05-10,0,30,,0,,,,,9133,,,,,0,0,,,,False,False,False
2013-05-11,0,30,,0,,,,,9157,,,,,0,0,,,,False,False,False
2013-05-12,0,30,,0,,,,,9181,,,,,0,0,,,,False,False,False
2013-05-13,0,30,,0,,,,,9205,,,,,0,0,,,,False,False,False
2013-05-14,0,30,,0,,,,,9228,,,,,0,0,,,,False,False,False
2013-05-15,0,30,,0,,,,,9252,,,,,0,0,,,,False,False,False
2013-05-16,0,30,,0,,,,,9277,,,,,0,0,,,,False,False,False
2013-05-17,0,30,,0,,,,,9300,,,,,0,0,,,,False,False,False
2013-05-18,0,31,,0,,,,,9324,,,,,0,0,,,,False,False,False
2013-05-19,0,31,,0,,,,,9349,,,,,0,0,,,,False,False,False
2013-05-20,0,31,,0,,,,,9372,,,,,0,0,,,,False,False,False
2013-05-21,0,30,,0,,,,,9397,,,,,0,0,,,,False,False,False
2013-05-22,0,30,,0,,,,,9420,,,,,0,0,,,,False,False,False
2013-05-23,0,30,,0,,,,,9445,,,,,0,0,,,,False,False,False
2013-05-24,0,31,,0,,,,,9468,,,,,0,0,,,,False,False,False
2013-05-25,0,32,,0,,,,,9493,,,,,0,0,,,,False,False,False
2013-05-26,0,32,,0,,,,,9517,,,,,0,0,,,,False,False,False
2013-05-27,0,32,,0,,,,,9541,,,,,0,0,,,,False,False,False
2013-05-28,0,32,,0,,,,,9565,,,,,0,0,,,,False,False,False
2013-05-29,0,31,,0,,,,,9589,,,,,0,0,,,,False,False,False
2013-05-30,0,30,,0,,,,,9612,,,,,0,0,,,,False,False,False
2013-05-31,0,30,,0,,,,,9637,,,,,0,0,,,,False,False,False
2013-06-01,0,29,,0,,,,,9661,,,,,0,0,,,,False,False,False
2013-06-02,0,29,,0,,,,,9684,,,,,0,0,,,,False,False,False
2013-06-03,0,30,,0,,,,,9709,,,,,0,0,,,,False,False,False
