date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,22,,0,,,,,13711,,,,,0,0,,,
2013-04-11,0,22,,0,,,,,13735,,,,,0,0,,,
2013-04-12,0,22,,0,,,,,13759,,,,,0,0,,,
2013-04-13,0,22,,0,,,,,13783,,,,,0,0,,,
2013-04-14,0,22,,0,,,,,13807,,,,,0,0,,,
2013-04-15,0,21,,0,,,,,13831,,,,,0,0,,,
2013-04-16,0,21,,0,,,,,13855,,,,,0,0,,,
2013-04-17,0,21,,0,,,,,13879,,,,,0,0,,,
2013-04-18,0,22,,0,,,,,13903,,,,,0,0,,,
2013-04-19,0,21,,131072,,,,,13927,,,,,0,0,,,
2013-04-20,0,22,,0,,,,,13951,,,,,0,0,,,
2013-04-21,0,21,,0,,,,,13975,,,,,0,0,,,
2013-04-22,0,21,,0,,,,,13998,,,,,0,0,,,
2013-04-23,0,21,,0,,,,,14023,,,,,0,0,,,
2013-04-24,0,21,,0,,,,,14047,,,,,0,0,,,
2013-04-25,0,22,,0,,,,,14071,,,,,0,0,,,
2013-04-26,0,23,,0,,,,,14095,,,,,0,0,,,
2013-04-27,0,21,,0,,,,,14119,,,,,0,0,,,
2013-04-28,0,21,,0,,,,,14143,,,,,0,0,,,
2013-04-29,0,21,,0,,,,,14167,,,,,0,0,,,
2013-04-30,0,21,,0,,,,,14191,,,,,0,0,,,
2013-05-01,0,30,,0,,,,,14215,,,,,0,0,,,
2013-05-02,0,31,,0,,,,,14239,,,,,0,0,,,
2013-05-03,0,31,,0,,,,,14263,,,,,0,0,,,
2013-05-04,0,31,,0,,,,,14287,,,,,0,0,,,
2013-05-05,0,31,,1,,,,,14311,,,,,0,0,,,
2013-05-06,0,30,,0,,,,,14335,,,,,0,0,,,
2013-05-07,0,31,,0,,,,,14358,,,,,0,0,,,
2013-05-08,0,31,,0,,,,,14383,,,,,0,0,,,
2013-05-09,0,31,,0,,,,,14407,,,,,0,0,,,
2013-05-10,0,31,,0,,,,,14431,,,,,0,0,,,
2013-05-11,0,31,,0,,,,,14455,,,,,0,0,,,
2013-05-12,0,31,,0,,,,,14479,,,,,0,0,,,
2013-05-13,0,31,,0,,,,,14503,,,,,0,0,,,
2013-05-14,0,31,,0,,,,,14527,,,,,0,0,,,
2013-05-15,0,31,,0,,,,,14551,,,,,0,0,,,
2013-05-16,0,31,,0,,,,,14575,,,,,0,0,,,
2013-05-17,0,31,,0,,,,,14599,,,,,0,0,,,
2013-05-18,0,31,,0,,,,,14623,,,,,0,0,,,
2013-05-19,0,31,,0,,,,,14647,,,,,0,0,,,
2013-05-20,0,31,,65536,,,,,14671,,,,,0,0,,,
2013-05-21,0,31,,0,,,,,14695,,,,,0,0,,,
2013-05-22,0,31,,0,,,,,14719,,,,,0,0,,,
2013-05-23,0,31,,0,,,,,14743,,,,,0,0,,,
2013-05-24,0,31,,0,,,,,14767,,,,,0,0,,,
2013-05-25,0,31,,0,,,,,14791,,,,,0,0,,,
2013-05-26,0,31,,0,,,,,14815,,,,,0,0,,,
2013-05-27,0,31,,0,,,,,14839,,,,,0,0,,,
2013-05-28,0,31,,0,,,,,14863,,,,,0,0,,,
2013-05-29,0,31,,0,,,,,14887,,,,,0,0,,,
2013-05-30,0,31,,0,,,,,14911,,,,,0,0,,,
