date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,32,,0,,,,,13884,,,,,0,0,,,
2013-04-11,0,32,,0,,,,,13908,,,,,0,0,,,
2013-04-12,0,32,,0,,,,,13932,,,,,0,0,,,
2013-04-13,0,32,,0,,,,,13956,,,,,0,0,,,
2013-04-14,0,31,,0,,,,,13980,,,,,0,0,,,
2013-04-15,0,32,,0,,,,,14004,,,,,0,0,,,
2013-04-16,0,32,,0,,,,,14028,,,,,0,0,,,
2013-04-17,0,31,,0,,,,,14052,,,,,0,0,,,
2013-04-18,0,31,,0,,,,,14076,,,,,0,0,,,
2013-04-19,0,29,,0,,,,,14100,,,,,0,0,,,
2013-04-20,0,30,,0,,,,,14124,,,,,0,0,,,
2013-04-21,0,30,,0,,,,,14148,,,,,0,0,,,
2013-04-22,0,29,,0,,,,,14172,,,,,0,0,,,
2013-04-23,0,29,,0,,,,,14196,,,,,0,0,,,
2013-04-24,0,28,,0,,,,,14213,,,,,0,0,,,
2013-04-25,0,28,,0,,,,,14237,,,,,0,0,,,
2013-04-26,0,26,,0,,,,,14261,,,,,0,0,,,
2013-04-27,0,26,,0,,,,,14285,,,,,0,0,,,
2013-04-28,0,27,,524288,,,,,14309,,,,,0,0,,,
2013-04-29,0,26,,0,,,,,14333,,,,,0,0,,,
2013-04-30,0,24,,0,,,,,14357,,,,,0,0,,,
2013-05-01,0,23,,0,,,,,14381,,,,,0,0,,,
2013-05-02,0,26,,0,,,,,14405,,,,,0,0,,,
2013-05-03,0,26,,0,,,,,14429,,,,,0,0,,,
2013-05-04,0,28,,0,,,,,14453,,,,,0,0,,,
2013-05-05,0,28,,0,,,,,14477,,,,,0,0,,,
2013-05-06,0,28,,0,,,,,14501,,,,,0,0,,,
2013-05-07,0,29,,0,,,,,14525,,,,,0,0,,,
2013-05-08,0,25,,0,,,,,14549,,,,,0,0,,,
2013-05-09,0,25,,0,,,,,14573,,,,,0,0,,,
2013-05-10,0,25,,0,,,,,14597,,,,,0,0,,,
2013-05-11,0,25,,0,,,,,14621,,,,,0,0,,,
2013-05-12,0,24,,0,,,,,14645,,,,,0,0,,,
2013-05-13,0,24,,393217,,,,,14669,,,,,0,0,,,
2013-05-14,0,25,,0,,,,,14693,,,,,0,0,,,
2013-05-15,0,25,,0,,,,,14717,,,,,0,0,,,
2013-05-16,0,25,,0,,,,,14740,,,,,0,0,,,
2013-05-17,0,26,,0,,,,,14765,,,,,0,0,,,
2013-05-18,0,25,,0,,,,,14789,,,,,0,0,,,
2013-05-19,0,25,,0,,,,,14813,,,,,0,0,,,
2013-05-20,0,25,,0,,,,,14837,,,,,0,0,,,
2013-05-21,0,25,,0,,,,,14861,,,,,0,0,,,
2013-05-22,0,25,,0,,,,,14885,,,,,0,0,,,
2013-05-23,0,25,,0,,,,,14909,,,,,0,0,,,
2013-05-24,0,26,,0,,,,,14933,,,,,0,0,,,
2013-05-25,0,25,,0,,,,,14956,,,,,0,0,,,
2013-05-26,0,25,,0,,,,,14981,,,,,0,0,,,
2013-05-27,0,25,,0,,,,,15005,,,,,0,0,,,
2013-05-28,0,25,,0,,,,,15029,,,,,0,0,,,
2013-05-29,0,25,,0,,,,,15053,,,,,0,0,,,
2013-05-30,0,27,,0,,,,,15077,,,,,0,0,,,
2013-05-31,0,26,,0,,,,,15101,,,,,0,0,,,
2013-06-01,0,28,,0,,,,,15125,,,,,0,0,,,
