date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-10-15,0,28,,0,,,,,657,,,,,0,0,,,
2013-10-16,0,27,,0,,,,,681,,,,,0,0,,,
2013-10-17,0,28,,0,,,,,705,,,,,0,0,,,
2013-10-18,0,27,,0,,,,,729,,,,,0,0,,,
2013-10-19,0,27,,0,,,,,753,,,,,0,0,,,
2013-10-20,0,27,,0,,,,,777,,,,,0,0,,,
2013-10-21,0,27,,0,,,,,801,,,,,0,0,,,
2013-10-22,0,28,,0,,,,,825,,,,,0,0,,,
2013-10-23,0,28,,0,,,,,849,,,,,0,0,,,
2013-10-24,0,26,,0,,,,,873,,,,,0,0,,,
2013-10-25,0,26,,0,,,,,897,,,,,0,0,,,
2013-10-26,0,26,,0,,,,,921,,,,,0,0,,,
2013-10-27,0,26,,0,,,,,945,,,,,0,0,,,
2013-10-28,0,26,,0,,,,,969,,,,,0,0,,,
2013-10-29,0,25,,0,,,,,993,,,,,0,0,,,
2013-10-30,0,26,,0,,,,,1017,,,,,0,0,,,
2013-10-31,0,26,,0,,,,,1041,,,,,0,0,,,
2013-11-01,0,26,,0,,,,,1065,,,,,0,0,,,
2013-11-02,0,26,,0,,,,,1089,,,,,0,0,,,
2013-11-03,0,26,,0,,,,,1113,,,,,0,0,,,
2013-11-04,0,25,,0,,,,,1138,,,,,0,0,,,
2013-11-05,0,25,,0,,,,,1162,,,,,0,0,,,
2013-11-06,0,26,,0,,,,,1186,,,,,0,0,,,
2013-11-07,0,25,,0,,,,,1210,,,,,0,0,,,
2013-11-08,0,25,,0,,,,,1234,,,,,0,0,,,
2013-11-09,0,25,,0,,,,,1258,,,,,0,0,,,
2013-11-10,0,25,,0,,,,,1282,,,,,0,0,,,
2013-11-11,0,25,,0,,,,,1306,,,,,0,0,,,
2013-11-12,0,25,,0,,,,,1330,,,,,0,0,,,
2013-11-13,0,25,,0,,,,,1354,,,,,0,0,,,
2013-11-14,0,25,,0,,,,,1378,,,,,0,0,,,
2013-11-15,0,25,,0,,,,,1402,,,,,0,0,,,
2013-11-16,0,25,,0,,,,,1426,,,,,0,0,,,
2013-11-17,0,25,,0,,,,,1450,,,,,0,0,,,
