date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-05-09,0,34,3,,,,,31269,,,,,,0,0,,,
2013-05-10,0,34,3,,,,,31293,,,,,,0,0,,,
2013-05-11,0,34,3,,,,,31316,,,,,,0,0,,,
2013-05-12,0,34,3,,,,,31339,,,,,,0,0,,,
2013-05-13,0,34,3,,,,,31362,,,,,,0,0,,,
2013-05-14,0,34,3,,,,,31386,,,,,,0,0,,,
2013-05-15,0,34,3,,,,,31409,,,,,,0,0,,,
2013-05-16,0,34,3,,,,,31433,,,,,,0,0,,,
2013-05-17,0,34,3,,,,,31456,,,,,,0,0,,,
2013-05-18,0,35,3,,,,,31480,,,,,,0,0,,,
2013-05-19,0,34,3,,,,,31504,,,,,,0,0,,,
2013-05-20,0,34,3,,,,,31527,,,,,,0,0,,,
2013-05-21,0,34,3,,,,,31551,,,,,,0,0,,,
2013-05-22,0,34,3,,,,,31575,,,,,,0,0,,,
2013-05-23,0,34,3,,,,,31598,,,,,,0,0,,,
2013-05-24,0,35,3,,,,,31622,,,,,,0,0,,,
2013-05-25,0,35,3,,,,,31645,,,,,,0,0,,,
2013-05-26,0,35,3,,,,,31669,,,,,,0,0,,,
2013-05-27,0,34,3,,,,,31693,,,,,,0,0,,,
2013-05-28,0,34,3,,,,,31716,,,,,,0,0,,,
2013-05-29,0,35,3,,,,,31740,,,,,,0,0,,,
2013-05-30,0,34,3,,,,,31764,,,,,,0,0,,,
2013-05-31,0,34,3,,,,,31787,,,,,,0,0,,,
2013-06-01,0,34,3,,,,,31811,,,,,,0,0,,,
2013-06-02,0,34,3,,,,,31834,,,,,,0,0,,,
2013-06-03,0,34,3,,,,,31858,,,,,,0,0,,,
2013-06-04,0,34,3,,,,,31882,,,,,,0,0,,,
2013-06-05,0,34,3,,,,,31905,,,,,,0,0,,,
2013-06-06,0,34,3,,,,,31929,,,,,,0,0,,,
2013-06-07,0,34,3,,,,,31952,,,,,,0,0,,,
2013-06-08,0,34,3,,,,,31976,,,,,,0,0,,,
2013-06-09,0,35,3,,,,,32000,,,,,,0,0,,,
2013-06-10,0,34,3,,,,,32023,,,,,,0,0,,,
2013-06-11,0,34,3,,,,,32047,,,,,,0,0,,,
2013-06-12,0,34,3,,,,,32070,,,,,,0,0,,,
2013-06-13,0,34,3,,,,,32093,,,,,,0,0,,,
2013-06-14,0,34,3,,,,,32117,,,,,,0,0,,,
2013-06-15,0,35,3,,,,,32140,,,,,,0,0,,,
2013-06-16,0,34,3,,,,,32164,,,,,,0,0,,,
2013-06-17,0,34,3,,,,,32187,,,,,,0,0,,,
2013-06-18,0,34,3,,,,,32211,,,,,,0,0,,,
2013-06-19,0,34,3,,,,,32234,,,,,,0,0,,,
2013-06-20,0,34,3,,,,,32258,,,,,,0,0,,,
2013-06-21,0,34,3,,,,,32282,,,,,,0,0,,,
2013-06-22,0,35,3,,,,,32305,,,,,,0,0,,,
2013-06-23,0,34,3,,,,,32329,,,,,,0,0,,,
2013-06-24,0,34,3,,,,,32352,,,,,,0,0,,,
2013-06-25,0,34,3,,,,,32376,,,,,,0,0,,,
2013-06-26,0,34,3,,,,,32400,,,,,,0,0,,,
2013-06-27,0,35,3,,,,,32423,,,,,,0,0,,,
2013-06-28,0,36,3,,,,,32447,,,,,,0,0,,,
2013-06-29,0,34,3,,,,,32471,,,,,,0,0,,,
2013-06-30,0,35,3,,,,,32494,,,,,,0,0,,,
2013-07-01,0,35,3,,,,,32517,,,,,,0,0,,,
2013-07-02,0,35,3,,,,,32541,,,,,,0,0,,,
2013-07-03,0,34,3,,,,,32565,,,,,,0,0,,,
2013-07-04,0,34,3,,,,,32588,,,,,,0,0,,,
2013-07-05,0,35,3,,,,,32612,,,,,,0,0,,,
2013-07-06,0,35,3,,,,,32635,,,,,,0,0,,,
2013-07-07,0,34,3,,,,,32659,,,,,,0,0,,,
2013-07-08,0,35,3,,,,,32682,,,,,,0,0,,,
2013-07-09,0,35,3,,,,,32705,,,,,,0,0,,,
2013-07-10,0,33,3,,,,,32729,,,,,,0,0,,,
2013-07-11,0,34,3,,,,,32753,,,,,,0,0,,,
2013-07-12,0,35,3,,,,,32776,,,,,,0,0,,,
2013-07-13,0,35,3,,,,,32800,,,,,,0,0,,,
2013-07-14,0,35,3,,,,,32824,,,,,,0,0,,,
2013-07-15,0,34,3,,,,,32847,,,,,,0,0,,,
2013-07-16,0,35,3,,,,,32871,,,,,,0,0,,,
2013-07-17,0,35,3,,,,,32894,,,,,,0,0,,,
2013-07-18,0,34,3,,,,,32918,,,,,,0,0,,,
2013-07-19,0,35,3,,,,,32941,,,,,,0,0,,,
2013-07-20,0,35,3,,,,,32965,,,,,,0,0,,,
2013-07-21,0,35,3,,,,,32988,,,,,,0,0,,,
2013-07-22,0,34,3,,,,,33011,,,,,,0,0,,,
2013-07-23,0,35,3,,,,,33035,,,,,,0,0,,,
2013-07-24,0,34,3,,,,,33058,,,,,,0,0,,,
2013-07-25,0,34,3,,,,,33081,,,,,,0,0,,,
2013-07-26,0,33,3,,,,,33104,,,,,,0,0,,,
2013-07-27,0,34,3,,,,,33128,,,,,,0,0,,,
2013-07-28,0,33,3,,,,,33151,,,,,,0,0,,,
2013-07-29,0,34,3,,,,,33174,,,,,,0,0,,,
2013-07-30,0,34,3,,,,,33197,,,,,,0,0,,,
2013-07-31,0,33,3,,,,,33221,,,,,,0,0,,,
2013-08-01,0,33,3,,,,,33245,,,,,,0,0,,,
2013-08-02,0,34,3,,,,,33268,,,,,,0,0,,,
2013-08-03,0,34,3,,,,,33292,,,,,,0,0,,,
2013-08-04,0,33,3,,,,,33315,,,,,,0,0,,,
2013-08-05,0,33,3,,,,,33339,,,,,,0,0,,,
2013-08-06,0,32,3,,,,,33362,,,,,,0,0,,,
2013-08-07,0,33,3,,,,,33386,,,,,,0,0,,,
2013-08-08,0,31,3,,,,,33409,,,,,,0,0,,,
2013-08-09,0,33,3,,,,,33433,,,,,,0,0,,,
2013-08-10,0,33,3,,,,,33457,,,,,,0,0,,,
2013-08-11,0,33,3,,,,,33480,,,,,,0,0,,,
2013-08-12,0,33,4,,,,,33504,,,,,,0,0,,,
2013-08-13,0,33,4,,,,,33527,,,,,,0,0,,,
2013-08-14,0,33,4,,,,,33551,,,,,,0,0,,,
2013-08-15,0,32,4,,,,,33574,,,,,,0,0,,,
2013-08-16,0,33,4,,,,,33598,,,,,,0,0,,,
2013-08-17,0,32,4,,,,,33621,,,,,,0,0,,,
2013-08-18,0,33,4,,,,,33645,,,,,,0,0,,,
2013-08-19,0,32,4,,,,,33668,,,,,,0,0,,,
2013-10-15,0,30,4,,,,,35011,,,,,,0,0,,,
2013-10-16,0,30,4,,,,,35034,,,,,,0,0,,,
2013-10-17,0,30,4,,,,,35058,,,,,,0,0,,,
2013-10-18,0,30,4,,,,,35082,,,,,,0,0,,,
2013-10-19,0,30,4,,,,,35105,,,,,,0,0,,,
2013-10-20,0,30,4,,,,,35129,,,,,,0,0,,,
2013-10-21,0,30,4,,,,,35152,,,,,,0,0,,,
2013-10-22,0,30,4,,,,,35175,,,,,,0,0,,,
2013-10-23,0,30,4,,,,,35199,,,,,,0,0,,,
2013-10-24,0,27,4,,,,,35222,,,,,,0,0,,,
2013-10-25,0,26,4,,,,,35245,,,,,,0,0,,,
2013-10-26,0,26,4,,,,,35269,,,,,,0,0,,,
2013-10-27,0,26,4,,,,,35293,,,,,,0,0,,,
2013-10-28,0,27,4,,,,,35316,,,,,,0,0,,,
2013-10-29,0,27,4,,,,,35340,,,,,,0,0,,,
2013-10-30,0,27,4,,,,,35364,,,,,,0,0,,,
2013-10-31,0,27,4,,,,,35387,,,,,,0,0,,,
2013-11-01,0,27,4,,,,,35411,,,,,,0,0,,,
2013-11-02,0,26,4,,,,,35434,,,,,,0,0,,,
2013-11-03,0,26,4,,,,,35458,,,,,,0,0,,,
2013-11-04,0,27,4,,,,,35483,,,,,,0,0,,,
2013-11-05,0,27,4,,,,,35506,,,,,,0,0,,,
2013-11-06,0,27,4,,,,,35530,,,,,,0,0,,,
2013-11-07,0,26,4,,,,,35553,,,,,,0,0,,,
2013-11-08,0,28,4,,,,,35577,,,,,,0,0,,,
2013-11-09,0,27,4,,,,,35601,,,,,,0,0,,,
2013-11-10,0,27,4,,,,,35624,,,,,,0,0,,,
2013-11-11,0,27,4,,,,,35648,,,,,,0,0,,,
2013-11-12,0,27,4,,,,,35672,,,,,,0,0,,,
2013-11-13,0,27,4,,,,,35695,,,,,,0,0,,,
2013-11-14,0,27,4,,,,,35718,,,,,,0,0,,,
2013-11-15,0,27,4,,,,,35742,,,,,,0,0,,,
2013-11-16,0,27,4,,,,,35765,,,,,,0,0,,,
2013-11-17,0,27,4,,,,,35789,,,,,,0,0,,,
2013-11-18,0,26,4,,,,,35813,,,,,,0,0,,,
2013-11-19,0,27,4,,,,,35836,,,,,,0,0,,,
2013-11-20,0,27,4,,,,,35859,,,,,,0,0,,,
2013-11-21,0,27,4,,,,,35883,,,,,,0,0,,,
2013-11-22,0,27,4,,,,,35906,,,,,,0,0,,,
2013-11-23,0,27,4,,,,,35930,,,,,,0,0,,,
2013-11-24,0,27,4,,,,,35953,,,,,,0,0,,,
2013-11-25,0,26,4,,,,,35976,,,,,,0,0,,,
2013-11-26,0,26,4,,,,,36000,,,,,,0,0,,,
2013-11-27,0,27,4,,,,,36023,,,,,,0,0,,,
2013-11-28,0,26,4,,,,,36047,,,,,,0,0,,,
2013-11-29,0,26,4,,,,,36070,,,,,,0,0,,,
2013-11-30,0,27,4,,,,,36093,,,,,,0,0,,,
2013-12-01,0,26,4,,,,,36117,,,,,,0,0,,,
2013-12-02,0,27,4,,,,,36140,,,,,,0,0,,,
2013-12-03,0,26,4,,,,,36163,,,,,,0,0,,,
2013-12-04,0,27,4,,,,,36187,,,,,,0,0,,,
2013-12-05,0,26,4,,,,,36210,,,,,,0,0,,,
2013-12-06,0,27,4,,,,,36234,,,,,,0,0,,,
2013-12-07,0,27,4,,,,,36257,,,,,,0,0,,,
2013-12-08,0,27,4,,,,,36281,,,,,,0,0,,,
2013-12-09,0,27,4,,,,,36304,,,,,,0,0,,,
2013-12-10,0,27,4,,,,,36327,,,,,,0,0,,,
2013-12-11,0,27,4,,,,,36350,,,,,,0,0,,,
2013-12-12,0,26,4,,,,,36373,,,,,,0,0,,,
2013-12-13,0,26,4,,,,,36397,,,,,,0,0,,,
2013-12-14,0,26,4,,,,,36420,,,,,,0,0,,,
2013-12-15,0,26,4,,,,,36443,,,,,,0,0,,,
2013-12-16,0,27,4,,,,,36466,,,,,,0,0,,,
2013-12-17,0,26,4,,,,,36490,,,,,,0,0,,,
2013-12-18,0,26,4,,,,,36513,,,,,,0,0,,,
2013-12-19,0,27,4,,,,,36536,,,,,,0,0,,,
2013-12-20,0,26,4,,,,,36560,,,,,,0,0,,,
2013-12-21,0,26,4,,,,,36583,,,,,,0,0,,,
2013-12-22,0,27,4,,,,,36607,,,,,,0,0,,,
2013-12-23,0,27,4,,,,,36630,,,,,,0,0,,,
2013-12-24,0,27,4,,,,,36653,,,,,,0,0,,,
2013-12-25,0,27,4,,,,,36677,,,,,,0,0,,,
2013-12-26,0,26,4,,,,,36700,,,,,,0,0,,,
2013-12-27,0,27,4,,,,,36723,,,,,,0,0,,,
2013-12-28,0,26,4,,,,,36746,,,,,,0,0,,,
2013-12-29,0,27,4,,,,,36770,,,,,,0,0,,,
2013-12-30,0,27,4,,,,,36793,,,,,,0,0,,,
2013-12-31,0,27,4,,,,,36816,,,,,,0,0,,,
2014-01-01,0,26,4,,,,,36840,,,,,,0,0,,,
2014-01-02,0,27,4,,,,,36863,,,,,,0,0,,,
2014-01-03,0,26,4,,,,,36886,,,,,,0,0,,,
2014-01-04,0,26,4,,,,,36910,,,,,,0,0,,,
2014-01-05,0,26,4,,,,,36933,,,,,,0,0,,,
2014-01-06,0,26,4,,,,,36956,,,,,,0,0,,,
2014-01-07,0,26,4,,,,,36979,,,,,,0,0,,,
2014-01-08,0,26,4,,,,,37003,,,,,,0,0,,,
2014-01-09,0,26,4,,,,,37026,,,,,,0,0,,,
2014-01-10,0,26,4,,,,,37049,,,,,,0,0,,,
2014-01-11,0,27,4,,,,,37073,,,,,,0,0,,,
2014-01-12,0,27,4,,,,,37096,,,,,,0,0,,,
2014-01-13,0,26,4,,,,,37119,,,,,,0,0,,,
2014-01-14,0,26,4,,,,,37142,,,,,,0,0,,,
2014-01-15,0,26,4,,,,,37165,,,,,,0,0,,,
2014-01-16,0,26,4,,,,,37189,,,,,,0,0,,,
2014-01-17,0,26,4,,,,,37212,,,,,,0,0,,,
2014-01-18,0,26,4,,,,,37235,,,,,,0,0,,,
2014-01-19,0,26,4,,,,,37259,,,,,,0,0,,,
2014-01-20,0,26,4,,,,,37282,,,,,,0,0,,,
2014-01-21,0,25,4,,,,,37305,,,,,,0,0,,,
2014-01-22,0,26,4,,,,,37329,,,,,,0,0,,,
2014-01-23,0,26,4,,,,,37352,,,,,,0,0,,,
2014-01-24,0,26,4,,,,,37375,,,,,,0,0,,,
2014-01-25,0,26,4,,,,,37399,,,,,,0,0,,,
2014-01-26,0,26,4,,,,,37422,,,,,,0,0,,,
2014-01-27,0,26,4,,,,,37445,,,,,,0,0,,,
2014-01-28,0,26,4,,,,,37469,,,,,,0,0,,,
2014-01-29,0,26,4,,,,,37492,,,,,,0,0,,,
2014-01-30,0,25,4,,,,,37515,,,,,,0,0,,,
2014-01-31,0,26,4,,,,,37538,,,,,,0,0,,,
2014-02-01,0,26,4,,,,,37562,,,,,,0,0,,,
2014-02-02,0,27,4,,,,,37585,,,,,,0,0,,,
2014-02-03,0,26,4,,,,,37608,,,,,,0,0,,,
2014-02-04,0,26,4,,,,,37632,,,,,,0,0,,,
2014-02-05,0,26,4,,,,,37655,,,,,,0,0,,,
2014-02-06,0,26,4,,,,,37678,,,,,,0,0,,,
2014-02-07,0,26,4,,,,,37702,,,,,,0,0,,,
2014-02-08,0,26,4,,,,,37725,,,,,,0,0,,,
2014-02-09,0,26,4,,,,,37748,,,,,,0,0,,,
2014-02-10,0,26,4,,,,,37771,,,,,,0,0,,,
2014-02-11,0,26,4,,,,,37795,,,,,,0,0,,,
2014-02-12,0,26,4,,,,,37818,,,,,,0,0,,,
2014-02-13,0,26,4,,,,,37841,,,,,,0,0,,,
2014-02-14,0,26,4,25,27,0,9,37864,0,27,6391,0,0,0,0,0,0,0
2014-02-15,0,25,4,25,27,0,9,37888,0,27,6391,0,0,0,0,0,0,0
2014-02-16,0,26,4,25,27,0,9,37911,0,27,6391,0,0,0,0,0,0,0
2014-02-17,0,26,4,25,27,0,9,37934,0,27,6391,0,0,0,0,0,0,0
2014-02-18,0,25,4,25,27,0,9,37958,0,27,6391,0,0,0,0,0,0,0
2014-02-19,0,26,4,25,27,0,9,37982,0,27,6391,0,0,0,0,0,0,0
2014-02-20,0,26,4,25,27,0,9,38005,0,27,6391,0,0,0,0,0,0,0
2014-02-21,0,26,4,25,27,0,9,38028,0,27,6391,0,0,0,0,0,0,0
2014-02-22,0,25,4,25,27,0,9,38052,0,27,6391,0,0,0,0,0,0,0
2014-02-23,0,26,4,25,27,0,9,38076,0,27,6391,0,0,0,0,0,0,0
2014-02-24,0,26,4,25,27,0,9,38099,0,27,6391,0,0,0,0,0,0,0
2014-02-25,0,25,4,25,27,0,9,38123,0,27,6391,0,0,0,0,0,0,0
2014-02-26,0,26,4,25,27,0,9,38147,0,27,6391,0,0,0,0,0,0,0
2014-02-27,0,25,4,25,27,0,9,38170,0,27,6391,0,0,0,0,0,0,0
2014-02-28,0,26,4,25,27,0,9,38194,0,27,6391,0,0,0,0,0,0,0
2014-03-01,0,26,4,25,27,0,9,38217,0,27,6391,0,0,0,0,0,0,0
2014-03-02,0,26,4,25,27,0,9,38241,0,27,6391,0,0,0,0,0,0,0
2014-03-03,0,25,4,25,27,0,9,38264,0,27,6391,0,0,0,0,0,0,0
2014-03-04,0,25,4,25,27,0,9,38288,0,27,6391,0,0,0,0,0,0,0
2014-03-05,0,26,4,25,27,0,9,38312,0,27,6391,0,0,0,0,0,0,0
2014-03-06,0,26,4,25,27,0,9,38335,0,27,6391,0,0,0,0,0,0,0
2014-03-07,0,26,4,25,27,0,9,38359,0,27,6391,0,0,0,0,0,0,0
2014-03-08,0,26,4,25,27,0,9,38382,0,27,6391,0,0,0,0,0,0,0
2014-03-09,0,26,4,25,27,0,9,38405,0,27,6391,0,0,0,0,0,0,0
2014-03-10,0,26,4,25,27,0,9,38429,0,27,6391,0,0,0,0,0,0,0
2014-03-11,0,25,4,25,27,0,9,38452,0,27,6391,0,0,0,0,0,0,0
2014-03-12,0,26,4,25,27,0,9,38475,0,27,6391,0,0,0,0,0,0,0
2014-03-13,0,26,4,25,27,0,9,38498,0,27,6391,0,0,0,0,0,0,0
2014-03-14,0,26,4,25,27,0,9,38522,0,27,6391,0,0,0,0,0,0,0
2014-03-15,0,26,4,25,27,0,9,38546,0,27,6391,0,0,0,0,0,0,0
2014-03-16,0,26,4,25,27,0,9,38569,0,27,6391,0,0,0,0,0,0,0
2014-03-17,0,26,5,25,27,0,9,38593,0,27,6391,0,0,0,0,0,0,0
2014-03-18,0,26,5,25,27,0,9,38616,0,27,6391,0,0,0,0,0,0,0
2014-03-19,0,25,5,25,27,0,9,38640,0,27,6391,0,0,0,0,0,0,0
2014-03-20,0,26,5,25,27,0,9,38663,0,27,6391,0,0,0,0,0,0,0
2014-03-21,0,26,5,25,27,0,9,38687,0,27,6391,0,0,0,0,0,0,0
2014-03-22,0,26,5,25,27,0,9,38710,0,27,6391,0,0,0,0,0,0,0
2014-03-23,0,26,5,25,27,0,9,38733,0,27,6391,0,0,0,0,0,0,0
2014-03-24,0,26,5,25,27,0,9,38757,0,27,6391,0,0,0,0,0,0,0
2014-03-25,0,26,5,25,27,0,9,38780,0,27,6391,0,0,0,0,0,0,0
2014-03-26,0,26,5,25,27,0,9,38804,0,27,6391,0,0,0,0,0,0,0
2014-03-27,0,26,5,25,27,0,9,38828,0,27,6391,0,0,0,0,0,0,0
2014-03-28,0,25,5,25,27,0,9,38851,0,27,6391,0,0,0,0,0,0,0
2014-03-29,0,26,5,25,27,0,9,38874,0,27,6391,0,0,0,0,0,0,0
2014-03-30,0,26,5,25,27,0,9,38897,0,27,6391,0,0,0,0,0,0,0
2014-03-31,0,26,5,25,27,0,9,38921,0,27,6391,0,0,0,0,0,0,0
2014-04-01,0,26,5,25,27,0,9,38945,0,27,6391,0,0,0,0,0,0,0
2014-04-02,0,26,5,25,27,0,9,38968,0,27,6391,0,0,0,0,0,0,0
2014-04-03,0,26,5,25,27,0,9,38992,0,27,6391,0,0,0,0,0,0,0
2014-04-04,0,26,5,25,27,0,9,39015,0,27,6391,0,0,0,0,0,0,0
2014-04-05,0,26,5,25,27,0,9,39038,0,27,6391,0,0,0,0,0,0,0
2014-04-06,0,25,5,25,27,0,9,39063,0,27,6391,0,0,0,0,0,0,0
2014-04-07,0,24,5,25,27,0,9,39086,0,27,6391,0,0,0,0,0,0,0
2014-04-08,0,25,5,25,27,0,9,39110,0,27,6391,0,0,0,0,0,0,0
2014-04-09,0,24,5,25,27,0,9,39134,0,27,6391,0,0,0,0,0,0,0
2014-04-10,0,24,5,25,27,0,9,39158,0,27,6391,0,0,0,0,0,0,0
2014-04-11,0,30,5,26,28,0,9,39182,0,28,6383,0,0,0,0,0,0,0
2014-04-12,0,30,5,26,28,0,9,39205,0,28,6383,0,0,0,0,0,0,0
2014-04-13,0,30,5,26,28,0,9,39230,0,28,6383,0,0,0,0,0,0,0
2014-04-14,0,30,5,26,28,0,9,39253,0,28,6383,0,0,0,0,0,0,0
2014-04-15,0,30,5,26,28,0,9,39277,0,28,6383,0,0,0,0,0,0,0
2014-04-16,0,30,5,26,28,0,9,39302,0,28,6383,0,0,0,0,0,0,0
2014-04-17,0,31,5,26,28,0,9,39325,0,28,6383,0,0,0,0,0,0,0
2014-04-18,0,31,5,26,28,0,9,39349,0,28,6383,0,0,0,0,0,0,0
2014-04-19,0,32,5,26,28,0,9,39374,0,28,6383,0,0,0,0,0,0,0
2014-04-20,0,27,5,32,34,0,13,39395,0,34,6858,0,0,0,0,0,0,0
2014-04-21,0,27,5,32,34,0,13,39420,0,34,6858,0,0,0,0,0,0,0
2014-04-22,0,28,5,32,34,0,13,39443,0,34,6858,0,0,0,0,0,0,0
2014-04-23,0,27,5,32,34,0,13,39467,0,34,6858,0,0,0,0,0,0,0
2014-04-24,0,27,5,32,34,0,13,39491,0,34,6858,0,0,0,0,0,0,0
2014-04-25,0,29,5,32,34,0,13,39515,0,34,6858,0,0,0,0,0,0,0
2014-04-26,0,29,5,32,34,0,13,39538,0,34,6858,0,0,0,0,0,0,0
2014-04-27,0,29,5,32,34,0,13,39560,0,34,6858,0,0,0,0,0,0,0
2014-04-28,0,29,5,32,34,0,13,39584,0,34,6858,0,0,0,0,0,0,0
2014-04-29,0,28,5,32,34,0,13,39608,0,34,6858,0,0,0,0,0,0,0
2014-04-30,0,28,5,32,34,0,13,39632,0,34,6858,0,0,0,0,0,0,0
2014-11-24,0,34,5,49,51,0,21,40122,0,51,4950,0,0,0,0,0,0,0
2014-11-25,0,34,5,49,51,0,21,40146,0,51,4950,0,0,0,0,0,0,0
2014-11-26,0,32,5,49,51,0,21,40169,0,51,4950,0,0,0,0,0,0,0
2014-11-27,0,32,5,49,51,0,21,40193,0,51,4950,0,0,0,0,0,0,0
2014-11-28,0,32,5,49,51,0,21,40218,0,51,4950,0,0,0,0,0,0,0
2014-11-29,0,31,5,49,51,0,21,40241,0,51,4950,0,0,0,0,0,0,0
2014-11-30,0,32,5,49,51,0,21,40265,0,51,4950,0,0,0,0,0,0,0
2014-12-01,0,32,5,49,51,0,21,40290,0,51,4950,0,0,0,0,0,0,0
2014-12-02,0,32,5,50,52,0,21,40313,0,52,4933,0,0,0,0,0,0,0
2014-12-03,0,34,5,50,52,0,21,40337,0,52,4933,0,0,0,0,0,0,0
2014-12-04,0,34,5,50,52,0,21,40360,0,52,4933,0,0,0,0,0,0,0
2014-12-05,0,34,5,50,52,0,21,40384,0,52,4933,0,0,0,0,0,0,0
2014-12-06,0,32,5,50,52,0,21,40408,0,52,4933,0,0,0,0,0,0,0
2014-12-07,0,32,5,50,52,0,21,40432,0,52,4933,0,0,0,0,0,0,0
2014-12-08,0,32,5,50,52,0,21,40455,0,52,4933,0,0,0,0,0,0,0
2014-12-09,0,31,5,50,52,0,21,40479,0,52,4933,0,0,0,0,0,0,0
2014-12-10,0,32,5,50,52,0,21,40504,0,52,4933,0,0,0,0,0,0,0
2014-12-11,0,32,5,50,52,0,21,40527,0,52,4933,0,0,0,0,0,0,0
2014-12-12,0,32,5,50,52,0,21,40551,0,52,4933,0,0,0,0,0,0,0
2014-12-13,0,32,5,50,52,0,21,40576,0,52,4933,0,0,0,0,0,0,0
2014-12-14,0,32,5,50,52,0,21,40599,0,52,4933,0,0,0,0,0,0,0
2014-12-15,0,32,5,50,52,0,21,40623,0,52,4933,0,0,0,0,0,0,0
2014-12-16,0,32,5,50,52,0,21,40648,0,52,4933,0,0,0,0,0,0,0
2014-12-17,0,32,5,50,52,0,21,40671,0,52,4933,0,0,0,0,0,0,0
2014-12-18,0,32,5,50,52,0,21,40695,0,52,4933,0,0,0,0,0,0,0
2014-12-19,0,32,5,50,52,0,21,40719,0,52,4933,0,0,0,0,0,0,0
2014-12-20,0,32,5,50,52,0,21,40743,0,52,4933,0,0,0,0,0,0,0
2014-12-21,0,30,5,50,52,0,21,40767,0,52,4933,0,0,0,0,0,0,0
2014-12-22,0,32,5,50,52,0,21,40790,0,52,4933,0,0,0,0,0,0,0
2015-01-24,0,25,5,61,63,0,28,40810,0,63,6516,0,0,0,0,0,0,0
2015-02-05,0,26,5,65,67,0,28,41008,0,67,6516,0,0,0,0,0,0,0
2015-02-06,0,26,5,65,67,0,28,41032,0,67,6516,0,0,0,0,0,0,0
2015-02-07,0,26,5,65,67,0,28,41055,0,67,6516,0,0,0,0,0,0,0
2015-02-08,0,27,5,65,67,0,28,41080,0,67,6516,0,0,0,0,0,0,0
2015-02-09,0,27,5,65,67,0,28,41103,0,67,6516,0,0,0,0,0,0,0
2015-02-10,0,26,5,65,67,0,28,41127,0,67,6516,0,0,0,0,0,0,0
