date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,31,,0,,,,,10201,,,,,0,0,,,
2013-04-11,0,31,,0,,,,,10225,,,,,0,0,,,
2013-04-12,0,31,,0,,,,,10249,,,,,0,0,,,
2013-04-13,0,31,,0,,,,,10273,,,,,0,0,,,
2013-04-14,0,31,,0,,,,,10297,,,,,0,0,,,
2013-04-15,0,31,,0,,,,,10321,,,,,0,0,,,
2013-04-16,0,31,,131072,,,,,10345,,,,,0,0,,,
2013-04-17,0,31,,0,,,,,10369,,,,,0,0,,,
2013-04-18,0,31,,2,,,,,10393,,,,,0,0,,,
2013-04-19,0,30,,65536,,,,,10417,,,,,0,0,,,
2013-04-20,0,30,,1638426,,,,,10441,,,,,0,0,,,
2013-04-21,0,30,,0,,,,,10465,,,,,0,0,,,
2013-04-22,0,30,,131072,,,,,10489,,,,,0,0,,,
2013-04-23,0,30,,131072,,,,,10513,,,,,0,0,,,
2013-04-24,0,29,,0,,,,,10537,,,,,0,0,,,
2013-04-25,0,30,,0,,,,,10561,,,,,0,0,,,
2013-04-26,0,29,,0,,,,,10585,,,,,0,0,,,
2013-04-27,0,29,,0,,,,,10609,,,,,0,0,,,
2013-04-28,0,29,,0,,,,,10633,,,,,0,0,,,
2013-04-29,0,29,,0,,,,,10657,,,,,0,0,,,
2013-04-30,0,29,,0,,,,,10681,,,,,0,0,,,
2013-05-01,0,29,,0,,,,,10705,,,,,0,0,,,
2013-05-02,0,28,,0,,,,,10729,,,,,0,0,,,
2013-05-03,0,28,,0,,,,,10753,,,,,0,0,,,
2013-05-04,0,29,,1,,,,,10778,,,,,0,0,,,
2013-05-05,0,29,,31129652,,,,,10801,,,,,0,0,,,
2013-05-06,0,29,,65729,,,,,10825,,,,,0,0,,,
2013-05-07,0,29,,7209065,,,,,10849,,,,,3,0,,,
2013-05-08,0,29,,0,,,,,10873,,,,,3,0,,,
2013-05-09,0,29,,131072,,,,,10897,,,,,3,0,,,
2013-05-10,0,29,,65536,,,,,10921,,,,,3,0,,,
2013-05-11,0,29,,0,,,,,10946,,,,,3,0,,,
2013-05-12,0,29,,0,,,,,10969,,,,,3,0,,,
2013-05-13,0,29,,11,,,,,10993,,,,,3,0,,,
2013-05-14,0,29,,0,,,,,11017,,,,,3,0,,,
2013-05-15,0,29,,0,,,,,11041,,,,,3,0,,,
2013-05-16,0,30,,0,,,,,11065,,,,,3,0,,,
2013-05-17,0,29,,0,,,,,11089,,,,,3,0,,,
2013-05-18,0,29,,0,,,,,11113,,,,,3,0,,,
2013-05-19,0,29,,0,,,,,11137,,,,,3,0,,,
2013-05-20,0,30,,1,,,,,11161,,,,,3,0,,,
2013-05-21,0,29,,1,,,,,11185,,,,,3,0,,,
2013-05-22,0,29,,0,,,,,11210,,,,,3,0,,,
2013-05-23,0,30,,0,,,,,11233,,,,,3,0,,,
