date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,28,,0,,,,,10201,,,,,0,0,,,,False,False,False
2013-04-11,0,27,,0,,,,,10225,,,,,0,0,,,,False,False,False
2013-04-12,0,28,,0,,,,,10249,,,,,0,0,,,,False,False,False
2013-04-13,0,28,,0,,,,,10273,,,,,0,0,,,,False,False,False
2013-04-14,0,28,,0,,,,,10297,,,,,0,0,,,,False,False,False
2013-04-15,0,27,,0,,,,,10321,,,,,0,0,,,,False,False,False
2013-04-16,0,28,,0,,,,,10345,,,,,0,0,,,,False,False,False
2013-04-17,0,28,,0,,,,,10369,,,,,0,0,,,,False,False,False
2013-04-18,0,28,,0,,,,,10393,,,,,0,0,,,,False,False,False
2013-04-19,0,27,,0,,,,,10417,,,,,0,0,,,,False,False,False
2013-04-20,0,27,,0,,,,,10441,,,,,0,0,,,,False,False,False
2013-04-21,0,27,,0,,,,,10465,,,,,0,0,,,,False,False,False
2013-04-22,0,27,,0,,,,,10489,,,,,0,0,,,,False,False,False
2013-04-23,0,27,,0,,,,,10513,,,,,0,0,,,,False,False,False
2013-04-24,0,26,,0,,,,,10537,,,,,0,0,,,,False,False,False
2013-04-25,0,26,,0,,,,,10561,,,,,0,0,,,,False,False,False
2013-04-26,0,25,,0,,,,,10585,,,,,0,0,,,,False,False,False
2013-04-27,0,25,,0,,,,,10609,,,,,0,0,,,,False,False,False
2013-04-28,0,25,,0,,,,,10633,,,,,0,0,,,,False,False,False
2013-04-29,0,25,,0,,,,,10657,,,,,0,0,,,,False,False,False
2013-04-30,0,25,,0,,,,,10681,,,,,0,0,,,,False,False,False
2013-05-01,0,25,,0,,,,,10705,,,,,0,0,,,,False,False,False
2013-05-02,0,25,,0,,,,,10729,,,,,0,0,,,,False,False,False
2013-05-03,0,25,,0,,,,,10753,,,,,0,0,,,,False,False,False
2013-05-04,0,26,,0,,,,,10777,,,,,0,0,,,,False,False,False
2013-05-05,0,26,,0,,,,,10801,,,,,0,0,,,,False,False,False
2013-05-06,0,26,,0,,,,,10825,,,,,0,0,,,,False,False,False
2013-05-07,0,26,,0,,,,,10849,,,,,0,0,,,,False,False,False
2013-05-08,0,26,,0,,,,,10873,,,,,0,0,,,,False,False,False
2013-05-09,0,26,,0,,,,,10897,,,,,0,0,,,,False,False,False
2013-05-10,0,26,,0,,,,,10921,,,,,0,0,,,,False,False,False
2013-05-11,0,26,,0,,,,,10945,,,,,0,0,,,,False,False,False
2013-05-12,0,26,,0,,,,,10969,,,,,0,0,,,,False,False,False
2013-05-13,0,26,,0,,,,,10993,,,,,0,0,,,,False,False,False
