date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2016-04-22,0,29,42,0,3,3,0,6,84,96,0,6,0,0,0,0,0,0
2016-04-23,0,29,42,0,3,3,0,7,108,96,0,7,0,0,0,0,0,0
2016-04-24,0,29,42,0,3,3,0,8,132,96,0,8,0,0,0,0,0,0
2016-04-25,0,29,42,0,3,3,0,9,155,96,0,9,0,0,0,0,0,0
2016-04-26,0,30,42,0,18,18,0,24,178,97,0,24,537,0,0,0,0,0
2016-04-27,0,29,42,0,18,18,0,25,202,97,0,25,537,0,0,0,0,0
2016-04-28,0,29,42,0,18,18,0,26,226,97,0,26,537,0,0,0,0,0
2016-04-29,0,28,42,0,18,18,0,27,249,97,0,27,537,0,0,0,0,0
2016-04-30,0,30,42,0,18,18,0,27,273,97,0,27,537,0,0,0,0,0
2016-05-01,0,32,42,0,18,18,0,27,297,97,0,27,537,0,0,0,0,0
2016-05-02,0,30,42,0,18,18,0,27,322,97,0,27,537,0,0,0,0,0
2016-05-03,0,29,42,0,18,18,0,27,345,97,0,27,537,0,0,0,0,0
2016-05-04,0,29,42,0,18,18,0,27,369,97,0,27,537,0,0,0,0,0
2016-05-05,0,30,42,0,18,18,0,27,394,97,0,27,537,0,0,0,0,0
2016-05-06,0,29,42,0,18,18,0,27,418,97,0,27,537,0,0,0,0,0
2016-05-07,0,29,42,0,18,18,0,27,441,97,0,27,537,0,0,0,0,0
2016-05-08,0,29,42,0,18,18,0,27,466,97,0,27,537,0,0,0,0,0
2016-05-09,0,30,42,0,18,18,0,27,490,97,0,27,537,0,0,0,0,0
2016-05-10,0,31,42,0,18,18,0,27,513,97,0,27,537,0,0,0,0,0
2016-05-11,0,29,42,0,18,18,0,27,537,97,0,27,537,0,0,0,0,0
2016-05-12,0,29,42,0,18,18,0,27,562,97,0,27,537,0,0,0,0,0
