date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2016-05-03,0,27,42,0,3,3,0,14,273,106,0,14,0,0,0,0,0,0,False,False,False
2016-05-04,0,27,42,0,3,3,0,15,297,106,0,15,0,0,0,0,0,0,False,False,False
2016-05-05,0,26,42,0,3,3,0,16,321,106,0,16,0,0,0,0,0,0,False,False,False
2016-05-06,0,26,42,0,3,3,0,17,345,107,0,17,0,0,0,0,0,0,False,False,False
2016-05-07,0,26,42,0,3,3,0,18,368,106,0,18,0,0,0,0,0,0,False,False,False
2016-05-08,0,27,42,0,3,3,0,19,393,106,0,19,0,0,0,0,0,0,False,False,False
2016-05-09,0,27,42,0,3,3,0,20,417,106,0,20,0,0,0,0,0,0,False,False,False
2016-05-10,0,27,42,0,3,3,0,21,440,106,0,21,0,0,0,0,0,0,False,False,False
2016-05-11,0,30,42,0,3,3,0,22,465,106,0,22,0,0,0,0,0,0,False,False,False
2016-05-12,0,31,42,0,3,3,0,23,489,106,0,23,0,0,0,0,0,0,False,False,False
2016-05-13,0,31,42,0,3,3,0,24,513,106,0,24,0,0,0,0,0,0,False,False,False
2016-05-14,0,32,42,0,3,3,0,25,537,106,0,25,0,0,0,0,0,0,False,False,False
2016-05-15,0,33,42,0,3,3,0,25,561,106,0,25,0,0,0,0,0,0,False,False,False
2016-05-16,0,27,42,0,3,3,0,26,585,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-17,0,27,42,0,3,3,0,26,609,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-18,0,27,42,0,3,3,0,26,633,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-19,0,27,42,0,3,3,0,26,657,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-20,0,27,42,0,3,3,0,26,681,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-21,0,26,42,0,3,3,0,26,705,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-22,0,26,42,0,3,3,0,26,729,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-23,0,27,42,0,3,3,0,26,753,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-24,0,27,42,0,3,3,0,26,777,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-25,0,28,42,0,3,3,0,26,801,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-26,0,27,42,0,3,3,0,26,825,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-27,0,34,42,0,3,3,0,26,848,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-28,0,34,42,0,3,3,0,26,873,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-29,0,35,42,0,3,3,0,26,897,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-30,0,35,42,0,3,3,0,26,921,106,0,26,0,0,0,0,0,0,False,False,False
2016-05-31,0,35,42,0,3,3,0,26,945,106,0,26,0,0,0,0,0,0,False,False,False
2016-06-01,0,34,42,0,3,3,0,26,969,106,0,26,0,0,0,0,0,0,False,False,False
2016-06-02,0,34,42,0,3,3,0,26,993,106,0,26,0,0,0,0,0,0,False,False,False
2016-06-03,0,27,42,0,3,3,0,26,1016,106,0,26,0,0,0,0,0,0,False,False,False
2016-06-04,0,28,42,0,3,3,0,26,1041,106,0,26,0,0,0,0,0,0,False,False,False
2016-06-05,0,27,42,0,3,3,0,26,1065,106,0,26,0,0,0,0,0,0,False,False,False
2016-06-06,0,27,42,0,3,3,0,26,1089,106,0,26,0,0,0,0,0,0,False,False,False
2016-06-07,0,28,42,0,3,3,0,26,1113,106,0,26,0,0,0,0,0,0,False,False,False
2016-06-08,0,28,42,0,3,3,0,27,1137,106,0,27,0,0,0,0,0,0,False,False,False
2016-06-09,0,28,42,0,3,3,0,27,1161,106,0,27,0,0,0,0,0,0,False,False,False
2016-06-10,0,27,42,0,3,3,0,28,1185,106,0,28,0,0,0,0,0,0,False,False,False
