date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-04-19,0,27,0,0,3,3,0,3,7,0,0,3,0,0,0,0,0,0,False,False,False
2014-04-20,0,27,0,0,3,3,0,4,31,102,0,4,0,0,0,0,0,0,False,False,False
2014-04-21,0,27,0,0,3,3,0,4,55,102,0,4,0,0,0,0,0,0,False,False,False
2014-04-22,0,23,43,0,4,4,0,6,79,102,0,6,0,0,0,0,0,0,False,False,False
2014-04-23,0,23,43,0,4,4,0,7,103,102,0,7,0,0,0,0,0,0,False,False,False
2014-04-24,0,24,43,0,4,4,0,7,126,102,0,7,0,0,0,0,0,0,False,False,False
2014-04-25,0,24,43,0,4,4,0,8,151,102,0,8,0,0,0,0,0,0,False,False,False
2014-04-26,0,24,43,0,4,4,0,9,175,102,0,9,0,0,0,0,0,0,False,False,False
2014-04-27,0,24,43,0,4,4,0,9,198,102,0,9,0,0,0,0,0,0,False,False,False
2014-04-28,0,24,43,0,4,4,0,9,223,102,0,9,0,0,0,0,0,0,False,False,False
2014-04-29,0,24,43,0,4,4,0,9,247,102,0,9,0,0,0,0,0,0,False,False,False
2014-04-30,0,24,43,0,4,4,0,9,271,102,0,9,0,0,0,0,0,0,False,False,False
2014-05-01,0,25,43,0,4,4,0,9,294,102,0,9,0,0,0,0,0,0,False,False,False
2014-05-02,0,25,43,0,4,4,0,9,319,102,0,9,0,0,0,0,0,0,False,False,False
2014-05-03,0,26,43,0,4,4,0,9,343,102,0,9,0,0,0,0,0,0,False,False,False
2014-05-04,0,25,43,0,4,4,0,9,367,102,0,9,0,0,0,0,0,0,False,False,False
2014-05-05,0,25,43,0,4,4,0,9,390,102,0,9,0,0,0,0,0,0,False,False,False
