date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-05-01,0,28,0,0,1,1,0,1,8,0,0,1,0,0,0,0,0,0
2014-05-02,0,28,0,0,1,1,0,2,32,0,0,2,0,0,0,0,0,0
2014-05-03,0,28,0,0,1,1,0,3,56,0,0,3,0,0,0,0,0,0
2014-05-04,0,28,0,0,1,1,0,4,80,0,0,4,0,0,0,0,0,0
2014-05-05,0,28,0,0,1,1,0,4,104,0,0,4,0,0,0,0,0,0
2014-05-06,0,28,0,0,1,1,0,4,128,0,0,4,0,0,0,0,0,0
2014-05-07,0,28,0,0,1,1,0,4,152,0,0,4,0,0,0,0,0,0
2014-05-08,0,28,0,0,1,1,0,4,176,0,0,4,0,0,0,0,0,0
2014-05-09,0,27,0,0,1,1,0,4,200,0,0,4,0,0,0,0,0,0
2014-05-10,0,27,0,0,1,1,0,4,224,0,0,4,0,0,0,0,0,0
2014-05-11,0,28,0,0,1,1,0,4,248,0,0,4,0,0,0,0,0,0
2014-05-12,0,28,0,0,1,1,0,4,272,0,0,4,0,0,0,0,0,0
2014-05-13,0,28,0,0,1,1,0,4,296,0,0,4,0,0,0,0,0,0
2014-05-14,0,27,0,0,1,1,0,4,320,0,0,4,0,0,0,0,0,0
2014-05-15,0,28,0,0,1,1,0,4,344,0,0,4,0,0,0,0,0,0
2014-05-16,0,28,0,0,1,1,0,4,368,0,0,4,0,0,0,0,0,0
2014-05-17,0,28,0,0,1,1,0,4,392,0,0,4,0,0,0,0,0,0
2014-05-18,0,28,0,0,1,1,0,4,416,0,0,4,0,0,0,0,0,0
2014-05-19,0,28,0,0,1,1,0,4,440,0,0,4,0,0,0,0,0,0
2014-05-20,0,31,0,0,1,1,0,4,464,0,0,4,0,0,0,0,0,0
2014-05-21,0,32,0,0,1,1,0,4,488,0,0,4,0,0,0,0,0,0
2014-05-22,0,31,0,0,1,1,0,4,512,0,0,4,0,0,0,0,0,0
2014-05-23,0,31,0,0,1,1,0,4,536,0,0,4,0,0,0,0,0,0
2014-05-24,0,31,0,0,1,1,0,4,560,0,0,4,0,0,0,0,0,0
2014-05-25,0,31,0,0,1,1,0,4,584,0,0,4,0,0,0,0,0,0
2014-05-26,0,31,0,0,1,1,0,4,608,0,0,4,0,0,0,0,0,0
2014-05-27,0,31,0,0,1,1,0,4,632,0,0,4,0,0,0,0,0,0
2014-05-28,0,31,0,0,1,1,0,4,656,0,0,4,0,0,0,0,0,0
