date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-04-19,0,27,0,0,3,3,0,3,8,0,0,3,0,0,0,0,0,0,False,False,False
2014-04-20,0,28,0,0,3,3,0,4,32,0,0,4,0,0,0,0,0,0,False,False,False
2014-04-21,0,27,0,0,3,3,0,5,57,0,0,5,0,0,0,0,0,0,False,False,False
2014-04-22,0,27,0,0,3,3,0,6,80,0,0,6,0,0,0,0,0,0,False,False,False
2014-04-23,0,27,0,0,3,3,0,7,104,0,0,7,0,0,0,0,0,0,False,False,False
2014-04-24,0,28,0,0,3,3,0,8,129,0,0,8,0,0,0,0,0,0,False,False,False
2014-04-25,0,28,0,0,3,3,0,9,152,0,0,9,0,0,0,0,0,0,False,False,False
2014-04-26,0,29,0,0,3,3,0,10,176,0,0,10,0,0,0,0,0,0,False,False,False
2014-04-27,0,29,0,0,3,3,0,11,200,0,0,11,0,0,0,0,0,0,False,False,False
2014-04-28,0,28,0,0,3,3,0,12,225,0,0,12,0,0,0,0,0,0,False,False,False
2014-04-29,0,28,0,0,3,3,0,13,248,0,0,13,0,0,0,0,0,0,False,False,False
2014-04-30,0,28,0,0,3,3,0,14,272,0,0,14,0,0,0,0,0,0,False,False,False
2014-05-01,0,30,0,0,3,3,0,15,296,0,0,15,0,0,0,0,0,0,False,False,False
2014-05-02,0,30,0,0,3,3,0,16,320,0,0,16,0,0,0,0,0,0,False,False,False
2014-05-03,0,31,0,0,3,3,0,16,344,0,0,16,0,0,0,0,0,0,False,False,False
2014-05-04,0,30,0,0,3,3,0,17,368,0,0,17,0,0,0,0,0,0,False,False,False
2014-05-05,0,30,0,0,3,3,0,18,392,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-06,0,30,0,0,3,3,0,18,416,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-07,0,30,0,0,3,3,0,18,440,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-08,0,30,0,0,3,3,0,18,465,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-09,0,29,0,0,3,3,0,18,488,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-10,0,30,0,0,3,3,0,18,512,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-11,0,29,0,0,3,3,0,18,537,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-12,0,30,0,0,3,3,0,18,560,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-13,0,30,0,0,3,3,0,18,584,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-14,0,30,0,0,3,3,0,18,608,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-15,0,30,0,0,3,3,0,18,632,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-16,0,30,0,0,3,3,0,18,656,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-17,0,30,0,0,3,3,0,18,680,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-18,0,30,0,0,3,3,0,18,705,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-19,0,30,0,0,3,3,0,18,728,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-20,0,32,0,0,3,3,0,18,752,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-21,0,32,0,0,3,3,0,18,777,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-22,0,33,0,0,3,3,0,18,800,0,0,18,0,0,0,0,0,0,False,False,False
2014-05-23,0,33,0,0,3,3,0,18,824,0,0,18,0,0,0,0,0,0,False,False,False
