date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-11-14,0,29,42,0,10,10,0,150,3753,99,0,150,561,0,0,0,0,0
2014-11-15,0,28,42,0,10,10,0,150,3777,99,0,150,561,0,0,0,0,0
2014-11-16,0,28,42,0,10,10,0,150,3801,99,0,150,561,0,0,0,0,0
2014-11-17,0,28,43,0,10,10,0,150,3825,99,0,150,561,0,0,0,0,0
2014-11-18,0,29,43,0,10,10,0,150,3849,100,0,150,561,0,0,0,0,0
2014-11-19,0,28,42,0,10,10,0,150,3873,99,0,150,561,0,0,0,0,0
2014-11-20,0,28,42,0,10,10,0,150,3897,99,0,150,561,0,0,0,0,0
2014-11-21,0,29,42,0,10,10,0,150,3921,99,0,150,561,0,0,0,0,0
2014-11-22,0,29,42,0,10,10,0,150,3945,99,0,150,561,0,0,0,0,0
2014-11-23,0,29,43,0,10,10,0,150,3968,99,0,150,561,0,0,0,0,0
2014-11-24,0,29,42,0,10,10,0,150,3993,99,0,150,561,0,0,0,0,0
2014-11-25,0,28,42,0,10,10,0,150,4017,99,0,150,561,0,0,0,0,0
2014-11-26,0,29,42,0,10,10,0,150,4040,99,0,150,561,0,0,0,0,0
2014-11-27,0,29,42,0,10,10,0,150,4065,99,0,150,561,0,0,0,0,0
2014-11-28,0,29,42,0,10,10,0,150,4089,100,0,150,561,0,0,0,0,0
2014-11-29,0,29,42,0,10,10,0,150,4113,99,0,150,561,0,0,0,0,0
2014-11-30,0,29,42,0,10,10,0,150,4137,99,0,150,561,0,0,0,0,0
2014-12-01,0,29,42,0,10,10,0,150,4161,99,0,150,561,0,0,0,0,0
2014-12-02,0,28,42,0,10,10,0,150,4185,100,0,150,561,0,0,0,0,0
2014-12-03,0,30,42,0,10,10,0,150,4209,100,0,150,561,0,0,0,0,0
2014-12-04,0,29,43,0,10,10,0,150,4233,99,0,150,561,0,0,0,0,0
2014-12-05,0,29,43,0,11,11,0,151,4256,100,0,151,561,0,0,0,0,0
