date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-03-29,0,29,44,0,3,3,0,4,34,102,0,4,0,0,0,0,0,0
2014-03-30,0,28,44,0,3,3,0,5,58,102,0,5,0,0,0,0,0,0
2014-03-31,0,28,44,0,3,3,0,6,81,102,0,6,0,0,0,0,0,0
2014-04-01,0,26,44,0,3,3,0,7,106,102,0,7,0,0,0,0,0,0
2014-04-02,0,26,44,0,3,3,0,7,130,102,0,7,0,0,0,0,0,0
2014-04-03,0,26,44,0,3,3,0,7,153,102,0,7,0,0,0,0,0,0
2014-04-04,0,26,44,0,3,3,0,7,178,102,0,7,0,0,0,0,0,0
2014-04-05,0,23,44,0,3,3,0,7,202,102,0,7,0,0,0,0,0,0
2014-04-06,0,23,44,0,3,3,0,7,226,102,0,7,0,0,0,0,0,0
2014-04-07,0,23,44,0,3,3,0,7,249,102,0,7,0,0,0,0,0,0
2014-04-08,0,23,44,0,3,3,0,7,274,102,0,7,0,0,0,0,0,0
2014-04-09,0,23,44,0,3,3,0,7,298,102,0,7,0,0,0,0,0,0
2014-04-10,0,23,44,0,3,3,0,7,321,102,0,7,0,0,0,0,0,0
2014-04-11,0,23,44,0,3,3,0,7,346,102,0,7,0,0,0,0,0,0
2014-04-12,0,23,44,0,3,3,0,7,370,102,0,7,0,0,0,0,0,0
2014-04-13,0,23,44,0,3,3,0,7,393,102,0,7,0,0,0,0,0,0
