date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2016-06-17,0,38,42,0,3,3,0,6,77,100,0,6,0,0,0,0,0,0
2016-06-18,0,34,42,0,3,3,0,6,102,100,0,6,0,0,0,0,0,0
2016-06-19,0,33,42,0,3,3,0,7,126,100,0,7,0,0,0,0,0,0
2016-06-20,0,33,42,0,3,3,0,8,150,100,0,8,0,0,0,0,0,0
2016-06-21,0,33,42,0,3,3,0,8,174,100,0,8,0,0,0,0,0,0
2016-06-22,0,33,42,0,3,3,0,9,198,100,0,9,0,0,0,0,0,0
2016-06-23,0,33,42,0,3,3,0,9,222,100,0,9,0,0,0,0,0,0
2016-06-24,0,33,42,0,3,3,0,9,246,100,0,9,0,0,0,0,0,0
2016-06-25,0,34,42,0,3,3,0,9,270,100,0,9,0,0,0,0,0,0
2016-06-26,0,33,42,0,3,3,0,9,294,100,0,9,0,0,0,0,0,0
2016-06-27,0,33,42,0,3,3,0,9,318,100,0,9,0,0,0,0,0,0
2016-06-28,0,33,42,0,3,3,0,9,342,100,0,9,0,0,0,0,0,0
2016-06-29,0,33,42,0,3,3,0,9,365,100,0,9,0,0,0,0,0,0
2016-06-30,0,33,42,0,3,3,0,9,390,100,0,9,0,0,0,0,0,0
