date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2016-05-03,0,30,42,0,3,3,0,3,273,107,0,3,0,0,0,0,0,0
2016-05-04,0,30,42,0,3,3,0,3,297,107,0,3,0,0,0,0,0,0
2016-05-05,0,29,42,0,3,3,0,3,321,107,0,3,0,0,0,0,0,0
2016-05-06,0,30,42,0,3,3,0,3,345,107,0,3,0,0,0,0,0,0
2016-05-07,0,30,42,0,3,3,0,3,368,107,0,3,0,0,0,0,0,0
2016-05-08,0,29,42,0,3,3,0,3,393,107,0,3,0,0,0,0,0,0
2016-05-09,0,30,42,0,3,3,0,3,417,107,0,3,0,0,0,0,0,0
2016-05-10,0,31,42,0,3,3,0,3,441,107,0,3,0,0,0,0,0,0
2016-05-11,0,33,42,0,3,3,0,3,464,108,0,3,0,0,0,0,0,0
2016-05-12,0,33,42,0,3,3,0,3,489,108,0,3,0,0,0,0,0,0
2016-05-13,0,33,42,0,3,3,0,3,513,107,0,3,0,0,0,0,0,0
2016-05-14,0,34,43,0,3,3,0,3,536,107,0,3,0,0,0,0,0,0
2016-05-15,0,34,43,0,3,3,0,3,561,107,0,3,0,0,0,0,0,0
2016-05-16,0,30,43,0,3,3,0,3,585,107,0,3,0,0,0,0,0,0
2016-05-17,0,30,43,0,3,3,0,3,609,107,0,3,0,0,0,0,0,0
2016-05-18,0,31,43,0,3,3,0,3,633,107,0,3,0,0,0,0,0,0
2016-05-19,0,30,43,0,3,3,0,3,657,107,0,3,0,0,0,0,0,0
