date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-05-30,0,31,42,0,3,3,0,3,32,99,0,3,0,0,0,0,0,0
2014-05-31,0,30,42,0,3,3,0,4,57,99,0,4,0,0,0,0,0,0
2014-06-01,0,31,42,0,3,3,0,4,81,99,0,4,0,0,0,0,0,0
2014-06-02,0,31,42,0,3,3,0,4,105,99,0,4,0,0,0,0,0,0
2014-06-03,0,29,42,0,3,3,0,4,129,99,0,4,0,0,0,0,0,0
2014-06-04,0,31,42,0,3,3,0,4,153,99,0,4,0,0,0,0,0,0
2014-06-05,0,31,42,0,3,3,0,4,176,99,0,4,0,0,0,0,0,0
2014-06-06,0,31,42,0,3,3,0,4,201,99,0,4,0,0,0,0,0,0
2014-06-07,0,30,42,0,3,3,0,4,225,99,0,4,0,0,0,0,0,0
2014-06-08,0,30,42,0,3,3,0,4,248,99,0,4,0,0,0,0,0,0
2014-06-09,0,30,42,0,3,3,0,4,272,99,0,4,0,0,0,0,0,0
2014-06-10,0,29,42,0,3,3,0,4,297,99,0,4,0,0,0,0,0,0
2014-06-11,0,31,42,0,3,3,0,4,321,99,0,4,0,0,0,0,0,0
2014-06-12,0,30,42,0,3,3,0,4,345,99,0,4,0,0,0,0,0,0
2014-06-13,0,30,42,0,3,3,0,4,369,99,0,4,0,0,0,0,0,0
2014-06-14,0,31,42,0,3,3,0,4,393,99,0,4,0,0,0,0,0,0
2014-06-15,0,31,42,0,3,3,0,4,416,99,0,4,0,0,0,0,0,0
2014-06-16,0,30,42,0,3,3,0,4,441,99,0,4,0,0,0,0,0,0
2014-06-17,0,30,42,0,3,3,0,4,465,99,0,4,0,0,0,0,0,0
2014-06-18,0,31,42,0,3,3,0,4,488,99,0,4,0,0,0,0,0,0
2014-06-19,0,31,42,0,3,3,0,4,513,99,0,4,0,0,0,0,0,0
2014-06-20,0,28,42,0,3,3,0,4,537,99,0,4,0,0,0,0,0,0
2014-06-21,0,28,42,0,3,3,0,4,560,99,0,4,0,0,0,0,0,0
2014-06-22,0,28,42,0,3,3,0,4,585,99,0,4,0,0,0,0,0,0
2014-06-23,0,28,42,0,3,3,0,4,609,99,0,4,0,0,0,0,0,0
2014-06-24,0,31,42,0,3,3,0,4,633,99,0,4,0,0,0,0,0,0
2014-06-25,0,31,42,0,3,3,0,4,656,99,0,4,0,0,0,0,0,0
2014-06-26,0,31,42,0,3,3,0,4,681,99,0,4,0,0,0,0,0,0
2014-06-27,0,31,42,0,3,3,0,4,705,99,0,4,0,0,0,0,0,0
2014-06-28,0,30,42,0,3,3,0,4,729,99,0,4,0,0,0,0,0,0
2014-06-29,0,30,42,0,3,3,0,4,753,99,0,4,0,0,0,0,0,0
2014-06-30,0,30,42,0,3,3,0,4,777,99,0,4,0,0,0,0,0,0
2014-07-01,0,30,42,0,3,3,0,4,800,99,0,4,0,0,0,0,0,0
2014-07-02,0,30,42,0,3,3,0,4,825,99,0,4,0,0,0,0,0,0
2014-07-03,0,30,42,0,3,3,0,4,849,99,0,4,0,0,0,0,0,0
2014-07-04,0,30,42,0,3,3,0,4,873,99,0,4,0,0,0,0,0,0
2014-07-05,0,29,42,0,3,3,0,4,896,99,0,4,0,0,0,0,0,0
2014-07-06,0,30,42,0,3,3,0,4,921,99,0,4,0,0,0,0,0,0
2014-07-07,0,30,42,0,3,3,0,4,945,99,0,4,0,0,0,0,0,0
2014-07-08,0,29,42,0,3,3,0,4,968,99,0,4,0,0,0,0,0,0
2014-07-09,0,29,42,0,3,3,0,4,993,99,0,4,0,0,0,0,0,0
2014-07-10,0,29,42,0,3,3,0,4,1017,99,0,4,0,0,0,0,0,0
2014-07-11,0,29,42,0,3,3,0,4,1040,99,0,4,0,0,0,0,0,0
2014-07-12,0,30,42,0,3,3,0,4,1065,99,0,4,0,0,0,0,0,0
2014-07-13,0,30,42,0,3,3,0,4,1089,99,0,4,0,0,0,0,0,0
2014-07-14,0,29,42,0,3,3,0,4,1113,99,0,4,0,0,0,0,0,0
2014-07-15,0,30,42,0,3,3,0,4,1137,99,0,4,0,0,0,0,0,0
2014-07-16,0,30,42,0,3,3,0,4,1161,99,0,4,0,0,0,0,0,0
2014-07-17,0,30,42,0,3,3,0,4,1185,99,0,4,0,0,0,0,0,0
2014-07-18,0,30,42,0,3,3,0,4,1209,99,0,4,0,0,0,0,0,0
2014-07-19,0,31,42,0,3,3,0,4,1233,99,0,4,0,0,0,0,0,0
2014-07-20,0,31,42,0,3,3,0,4,1257,99,0,4,0,0,0,0,0,0
2014-07-21,0,30,42,0,3,3,0,4,1280,99,0,4,0,0,0,0,0,0
2014-07-22,0,32,42,0,3,3,0,4,1305,99,0,4,0,0,0,0,0,0
2014-07-23,0,29,42,0,3,3,0,4,1329,99,0,4,0,0,0,0,0,0
2014-07-24,0,29,42,0,3,3,0,4,1353,99,0,4,0,0,0,0,0,0
2014-07-25,0,29,42,0,3,3,0,4,1377,99,0,4,0,0,0,0,0,0
2014-07-26,0,29,42,0,3,3,0,4,1401,99,0,4,0,0,0,0,0,0
2014-07-27,0,29,42,0,3,3,0,4,1425,99,0,4,0,0,0,0,0,0
