date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-04-04,0,33,42,0,3,3,0,5,57,100,0,5,0,0,0,0,0,0
2014-04-05,0,28,42,0,3,3,0,6,81,100,0,6,0,0,0,0,0,0
2014-04-06,0,28,42,0,3,3,0,6,105,100,0,6,0,0,0,0,0,0
2014-04-07,0,28,42,0,3,3,0,6,129,100,0,6,0,0,0,0,0,0
2014-04-08,0,28,42,0,3,3,0,6,153,100,0,6,0,0,0,0,0,0
2014-04-09,0,28,42,0,3,3,0,6,177,100,0,6,0,0,0,0,0,0
2014-04-10,0,29,42,0,3,3,0,6,201,100,0,6,0,0,0,0,0,0
2014-04-11,0,28,42,0,3,3,0,6,225,100,0,6,0,0,0,0,0,0
2014-04-12,0,28,42,0,3,3,0,6,249,100,0,6,0,0,0,0,0,0
2014-04-13,0,28,42,0,3,3,0,6,273,100,0,6,0,0,0,0,0,0
2014-04-14,0,28,42,0,3,3,0,6,297,100,0,6,0,0,0,0,0,0
2014-04-15,0,26,42,0,3,3,0,6,321,100,0,6,0,0,0,0,0,0
2014-04-16,0,26,42,0,3,3,0,6,345,100,0,6,0,0,0,0,0,0
2014-04-17,0,25,42,0,3,3,0,6,369,100,0,6,0,0,0,0,0,0
2014-04-18,0,25,42,0,3,3,0,6,393,100,0,6,0,0,0,0,0,0
2014-04-19,0,26,42,0,3,3,0,6,417,100,0,6,0,0,0,0,0,0
2014-04-20,0,25,42,0,3,3,0,6,441,100,0,6,0,0,0,0,0,0
2014-04-21,0,27,42,0,3,3,0,6,465,100,0,6,0,0,0,0,0,0
2014-04-22,0,25,42,0,3,3,0,6,489,100,0,6,0,0,0,0,0,0
2014-04-23,0,25,42,0,3,3,0,6,513,100,0,6,0,0,0,0,0,0
2014-04-24,0,26,42,0,3,3,0,6,537,100,0,6,0,0,0,0,0,0
2014-04-25,0,26,42,0,3,3,0,6,561,100,0,6,0,0,0,0,0,0
2014-04-26,0,26,42,0,3,3,0,6,584,100,0,6,0,0,0,0,0,0
2014-04-27,0,26,42,0,3,3,0,6,609,100,0,6,0,0,0,0,0,0
2014-04-28,0,26,42,0,3,3,0,6,633,100,0,6,0,0,0,0,0,0
2014-04-29,0,26,42,0,3,3,0,6,657,100,0,6,0,0,0,0,0,0
2014-04-30,0,26,42,0,3,3,0,6,681,100,0,6,0,0,0,0,0,0
2014-05-01,0,27,42,0,3,3,0,6,705,100,0,6,0,0,0,0,0,0
2014-05-02,0,27,42,0,3,3,0,6,729,100,0,6,0,0,0,0,0,0
2014-05-03,0,27,42,0,3,3,0,6,752,100,0,6,0,0,0,0,0,0
2014-05-04,0,26,42,0,3,3,0,6,777,100,0,6,0,0,0,0,0,0
2014-05-05,0,27,42,0,3,3,0,6,801,100,0,6,0,0,0,0,0,0
2014-05-06,0,26,42,0,3,3,0,6,824,100,0,6,0,0,0,0,0,0
2014-05-07,0,27,42,0,3,3,0,6,849,100,0,6,0,0,0,0,0,0
2014-05-08,0,26,42,0,3,3,0,6,873,100,0,6,0,0,0,0,0,0
2014-05-09,0,26,42,0,3,3,0,6,897,100,0,6,0,0,0,0,0,0
2014-05-10,0,26,42,0,3,3,0,6,921,100,0,6,0,0,0,0,0,0
2014-05-11,0,26,42,0,3,3,0,6,945,100,0,6,0,0,0,0,0,0
2014-05-12,0,26,42,0,3,3,0,6,969,100,0,6,0,0,0,0,0,0
2014-05-13,0,27,42,0,3,3,0,6,993,100,0,6,0,0,0,0,0,0
2014-05-14,0,26,42,0,3,3,0,6,1017,100,0,6,0,0,0,0,0,0
2014-05-15,0,26,42,0,3,3,0,6,1041,100,0,6,0,0,0,0,0,0
2014-05-16,0,26,42,0,3,3,0,6,1065,100,0,6,0,0,0,0,0,0
