date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-05-25,0,26,43,0,4,4,0,5,30,100,0,5,0,0,0,0,0,0
2014-05-26,0,26,43,0,4,4,0,6,54,100,0,6,0,0,0,0,0,0
2014-05-27,0,26,43,0,4,4,0,6,78,100,0,6,0,0,0,0,0,0
2014-05-28,0,26,43,0,4,4,0,7,102,100,0,7,0,0,0,0,0,0
2014-05-29,0,29,43,0,4,4,0,7,126,100,0,7,0,0,0,0,0,0
2014-05-30,0,29,43,0,4,4,0,8,150,100,0,8,0,0,0,0,0,0
2014-05-31,0,26,43,0,4,4,0,9,174,100,0,9,0,0,0,0,0,0
2014-06-01,0,29,43,0,4,4,0,10,198,100,0,10,0,0,0,0,0,0
2014-06-02,0,29,43,0,4,4,0,11,222,100,0,11,0,0,0,0,0,0
2014-06-03,0,27,43,0,4,4,0,12,246,100,0,12,0,0,0,0,0,0
2014-06-04,0,28,43,0,4,4,0,13,270,100,0,13,0,0,0,0,0,0
2014-06-05,0,29,43,0,4,4,0,14,286,100,0,14,0,0,0,0,0,0
2014-06-06,0,29,42,0,4,4,0,15,318,100,0,15,0,0,0,0,0,0
2014-06-07,0,29,42,0,4,4,0,16,342,100,0,16,0,0,0,0,0,0
2014-06-08,0,29,42,0,4,4,0,17,366,100,0,17,0,0,0,0,0,0
2014-06-09,0,29,42,0,4,4,0,17,390,100,0,17,0,0,0,0,0,0
2014-06-10,0,29,42,0,4,4,0,17,414,100,0,17,0,0,0,0,0,0
2014-06-11,0,30,42,0,4,4,0,18,438,100,0,18,0,0,0,0,0,0
2014-06-12,0,29,42,0,4,4,0,19,462,100,0,19,0,0,0,0,0,0
2014-06-13,0,29,42,0,4,4,0,20,486,100,0,20,0,0,0,0,0,0
2014-06-14,0,29,42,0,4,4,0,20,510,100,0,20,0,0,0,0,0,0
2014-06-15,0,29,42,0,4,4,0,21,534,100,0,21,0,0,0,0,0,0
2014-06-16,0,28,42,0,4,4,0,22,558,100,0,22,0,0,0,0,0,0
2014-06-17,0,29,42,0,4,4,0,22,582,100,0,22,0,0,0,0,0,0
2014-06-18,0,30,42,0,4,4,0,23,606,100,0,23,0,0,0,0,0,0
2014-06-19,0,31,42,0,4,4,0,24,630,100,0,24,0,0,0,0,0,0
2014-06-20,0,28,42,0,4,4,0,25,654,100,0,25,0,0,0,0,0,0
2014-06-21,0,28,42,0,4,4,0,26,678,100,0,26,0,0,0,0,0,0
2014-06-22,0,28,42,0,4,4,0,26,702,100,0,26,0,0,0,0,0,0
2014-06-23,0,28,42,0,4,4,0,27,726,100,0,27,0,0,0,0,0,0
2014-06-24,0,30,42,0,4,4,0,28,750,100,0,28,0,0,0,0,0,0
2014-06-25,0,30,42,0,4,4,0,29,774,100,0,29,0,0,0,0,0,0
2014-06-26,0,30,42,0,4,4,0,29,798,100,0,29,0,0,0,0,0,0
2014-06-27,0,30,42,0,4,4,0,30,822,100,0,30,0,0,0,0,0,0
2014-06-28,0,29,42,0,4,4,0,30,846,100,0,30,0,0,0,0,0,0
2014-06-29,0,29,42,0,4,4,0,31,870,100,0,31,0,0,0,0,0,0
2014-06-30,0,28,42,0,4,4,0,31,894,100,0,31,0,0,0,0,0,0
2014-07-01,0,28,42,0,4,4,0,32,918,100,0,32,0,0,0,0,0,0
2014-07-02,0,29,42,0,4,4,0,32,942,100,0,32,0,0,0,0,0,0
2014-07-03,0,28,42,0,4,4,0,32,966,100,0,32,0,0,0,0,0,0
2014-07-04,0,28,42,0,4,4,0,33,990,100,0,33,0,0,0,0,0,0
2014-07-05,0,27,42,0,4,4,0,33,1014,100,0,33,0,0,0,0,0,0
2014-07-06,0,27,42,0,4,4,0,34,1038,100,0,34,0,0,0,0,0,0
2014-07-07,0,27,42,0,4,4,0,34,1062,100,0,34,0,0,0,0,0,0
