date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-04-04,0,32,42,0,3,3,0,5,57,103,0,5,0,0,0,0,0,0
2014-04-05,0,27,42,0,3,3,0,6,81,103,0,6,0,0,0,0,0,0
2014-04-06,0,27,42,0,3,3,0,6,104,103,0,6,0,0,0,0,0,0
2014-04-07,0,27,42,0,3,3,0,6,129,103,0,6,0,0,0,0,0,0
2014-04-08,0,27,42,0,3,3,0,6,153,103,0,6,0,0,0,0,0,0
2014-04-09,0,27,42,0,3,3,0,6,177,103,0,6,0,0,0,0,0,0
2014-04-10,0,27,42,0,3,3,0,6,201,103,0,6,0,0,0,0,0,0
2014-04-11,0,27,42,0,3,3,0,6,225,103,0,6,0,0,0,0,0,0
2014-04-12,0,27,42,0,3,3,0,6,249,103,0,6,0,0,0,0,0,0
2014-04-13,0,26,42,0,3,3,0,6,273,103,0,6,0,0,0,0,0,0
2014-04-14,0,26,42,0,3,3,0,6,297,103,0,6,0,0,0,0,0,0
2014-04-15,0,25,42,0,3,3,0,6,321,103,0,6,0,0,0,0,0,0
2014-04-16,0,26,42,0,3,3,0,6,345,103,0,6,0,0,0,0,0,0
2014-04-17,0,25,42,0,3,3,0,6,369,103,0,6,0,0,0,0,0,0
2014-04-18,0,25,42,0,3,3,0,6,393,103,0,6,0,0,0,0,0,0
2014-04-19,0,25,42,0,3,3,0,6,417,103,0,6,0,0,0,0,0,0
2014-04-20,0,25,42,0,3,3,0,6,441,103,0,6,0,0,0,0,0,0
2014-04-21,0,26,42,0,3,3,0,6,465,103,0,6,0,0,0,0,0,0
2014-04-22,0,25,42,0,3,3,0,6,489,103,0,6,0,0,0,0,0,0
2014-04-23,0,25,42,0,3,3,0,6,513,103,0,6,0,0,0,0,0,0
2014-04-24,0,26,42,0,3,3,0,6,537,103,0,6,0,0,0,0,0,0
2014-04-25,0,27,42,0,3,3,0,6,561,103,0,6,0,0,0,0,0,0
2014-04-26,0,27,42,0,3,3,0,6,585,103,0,6,0,0,0,0,0,0
