date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-05-13,0,30,42,0,3,3,0,6,84,101,0,6,0,0,0,0,0,0
2014-05-14,0,30,42,0,3,3,0,6,108,101,0,6,0,0,0,0,0,0
2014-05-15,0,30,42,0,3,3,0,7,131,101,0,7,0,0,0,0,0,0
2014-05-16,0,30,42,0,3,3,0,8,156,101,0,8,0,0,0,0,0,0
2014-05-17,0,31,42,0,3,3,0,9,180,101,0,9,0,0,0,0,0,0
2014-05-18,0,31,42,0,3,3,0,10,203,101,0,10,0,0,0,0,0,0
2014-05-19,0,31,42,0,3,3,0,11,227,101,0,11,0,0,0,0,0,0
2014-05-20,0,33,42,0,3,3,0,12,252,101,0,12,0,0,0,0,0,0
2014-05-21,0,33,42,0,3,3,0,13,275,101,0,13,0,0,0,0,0,0
2014-05-22,0,33,42,0,3,3,0,14,299,101,0,14,0,0,0,0,0,0
2014-05-23,0,33,42,0,3,3,0,15,324,101,0,15,0,0,0,0,0,0
2014-05-24,0,33,42,0,3,3,0,16,348,101,0,16,0,0,0,0,0,0
2014-05-25,0,33,42,0,3,3,0,17,371,101,0,17,0,0,0,0,0,0
2014-05-26,0,33,42,0,3,3,0,18,396,101,0,18,0,0,0,0,0,0
2014-05-27,0,33,42,0,3,3,0,19,420,101,0,19,0,0,0,0,0,0
2014-05-28,0,33,42,0,3,3,0,20,443,101,0,20,0,0,0,0,0,0
2014-05-29,0,33,42,0,3,3,0,21,468,101,0,21,0,0,0,0,0,0
2014-05-30,0,32,42,0,3,3,0,21,489,101,0,21,0,0,0,0,0,0
2014-05-31,0,31,42,0,3,3,0,22,515,101,0,22,0,0,0,0,0,0
2014-06-01,0,33,42,0,3,3,0,22,540,101,0,22,0,0,0,0,0,0
2014-06-02,0,33,42,0,3,3,0,22,564,101,0,22,0,0,0,0,0,0
2014-06-03,0,33,42,0,3,3,0,22,587,101,0,22,0,0,0,0,0,0
2014-06-04,0,33,42,0,3,3,0,22,611,101,0,22,0,0,0,0,0,0
2014-06-05,0,33,42,0,3,3,0,22,636,101,0,22,0,0,0,0,0,0
2014-06-06,0,33,42,0,3,3,0,23,660,103,0,23,0,0,0,0,0,0
