date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2016-05-03,0,26,42,0,3,3,0,14,272,106,0,14,0,0,0,0,0,0
2016-05-04,0,26,42,0,3,3,0,15,296,106,0,15,0,0,0,0,0,0
2016-05-05,0,28,42,0,3,3,0,16,320,107,0,16,0,0,0,0,0,0
2016-05-06,0,28,41,0,3,3,0,17,344,107,0,17,0,0,0,0,0,0
2016-05-07,0,28,42,0,3,3,0,18,368,107,0,18,0,0,0,0,0,0
2016-05-08,0,28,42,0,3,3,0,19,392,106,0,19,0,0,0,0,0,0
2016-05-09,0,28,42,0,3,3,0,20,416,106,0,20,0,0,0,0,0,0
2016-05-10,0,29,42,0,3,3,0,21,440,107,0,21,0,0,0,0,0,0
2016-05-11,0,26,42,0,3,3,0,22,464,107,0,22,0,0,0,0,0,0
2016-05-12,0,26,42,0,3,3,0,23,488,106,0,23,0,0,0,0,0,0
2016-05-13,0,26,42,0,3,3,0,24,512,107,0,24,0,0,0,0,0,0
2016-05-14,0,29,42,0,3,3,0,25,536,106,0,25,0,0,0,0,0,0
2016-05-15,0,29,42,0,3,3,0,25,560,106,0,25,0,0,0,0,0,0
2016-05-16,0,27,42,0,3,3,0,25,584,106,0,25,0,0,0,0,0,0
2016-05-17,0,27,42,0,3,3,0,26,608,106,0,26,0,0,0,0,0,0
2016-05-18,0,28,42,0,3,3,0,27,632,106,0,27,0,0,0,0,0,0
2016-05-19,0,28,42,0,3,3,0,27,656,106,0,27,0,0,0,0,0,0
2016-05-20,0,28,42,0,3,3,0,27,680,106,0,27,0,0,0,0,0,0
2016-05-21,0,29,42,0,3,3,0,27,704,106,0,27,0,0,0,0,0,0
2016-05-22,0,29,42,0,3,3,0,27,728,106,0,27,0,0,0,0,0,0
2016-05-23,0,29,42,0,3,3,0,27,752,106,0,27,0,0,0,0,0,0
2016-05-24,0,27,42,0,3,3,0,27,776,106,0,27,0,0,0,0,0,0
2016-05-25,0,29,42,0,3,3,0,27,800,106,0,27,0,0,0,0,0,0
2016-05-26,0,28,42,0,3,3,0,27,824,106,0,27,0,0,0,0,0,0
2016-05-27,0,28,42,0,3,3,0,27,848,106,0,27,0,0,0,0,0,0
