date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2016-05-03,0,29,42,0,3,3,0,14,273,105,0,14,0,0,0,0,0,0
2016-05-04,0,29,42,0,3,3,0,15,297,106,0,15,0,0,0,0,0,0
2016-05-05,0,28,42,0,3,3,0,16,321,106,0,16,0,0,0,0,0,0
2016-05-06,0,28,42,0,3,3,0,17,345,106,0,17,0,0,0,0,0,0
2016-05-07,0,28,42,0,3,3,0,18,369,105,0,18,0,0,0,0,0,0
2016-05-08,0,28,42,0,3,3,0,19,393,105,0,19,0,0,0,0,0,0
2016-05-09,0,28,42,0,3,3,0,20,417,106,0,20,0,0,0,0,0,0
2016-05-10,0,29,42,0,3,3,0,21,441,105,0,21,0,0,0,0,0,0
2016-05-11,0,31,42,0,3,3,0,22,464,106,0,22,0,0,0,0,0,0
2016-05-12,0,31,41,0,3,3,0,23,489,106,0,23,0,0,0,0,0,0
2016-05-13,0,31,41,0,3,3,0,24,513,106,0,24,0,0,0,0,0,0
2016-05-14,0,33,42,0,3,3,0,24,537,106,0,24,0,0,0,0,0,0
2016-05-15,0,33,42,0,3,3,0,25,560,106,0,25,0,0,0,0,0,0
2016-05-16,0,29,42,0,3,3,0,25,585,106,0,25,0,0,0,0,0,0
2016-05-17,0,29,42,0,3,3,0,26,609,106,0,26,0,0,0,0,0,0
2016-05-18,0,29,42,0,3,3,0,27,633,106,0,27,0,0,0,0,0,0
2016-05-19,0,29,42,0,3,3,0,27,657,106,0,27,0,0,0,0,0,0
2016-05-20,0,28,42,0,3,3,0,27,681,106,0,27,0,0,0,0,0,0
2016-05-21,0,28,42,0,3,3,0,27,704,106,0,27,0,0,0,0,0,0
2016-05-22,0,28,42,0,3,3,0,27,729,106,0,27,0,0,0,0,0,0
2016-05-23,0,28,42,0,3,3,0,27,753,106,0,27,0,0,0,0,0,0
2016-05-24,0,29,42,0,3,3,0,27,777,106,0,27,0,0,0,0,0,0
2016-05-25,0,29,42,0,3,3,0,27,801,106,0,27,0,0,0,0,0,0
2016-05-26,0,29,42,0,3,3,0,27,825,106,0,27,0,0,0,0,0,0
2016-05-27,0,35,42,0,3,3,0,27,849,106,0,27,0,0,0,0,0,0
2016-05-28,0,35,42,0,3,3,0,27,873,106,0,27,0,0,0,0,0,0
2016-05-29,0,36,42,0,3,3,0,27,897,106,0,27,0,0,0,0,0,0
2016-05-30,0,36,42,0,3,3,0,27,921,106,0,27,0,0,0,0,0,0
2016-05-31,0,36,42,0,3,3,0,27,944,106,0,27,0,0,0,0,0,0
2016-06-01,0,36,42,0,3,3,0,27,969,106,0,27,0,0,0,0,0,0
2016-06-02,0,35,42,0,3,3,0,27,993,106,0,27,0,0,0,0,0,0
2016-06-03,0,29,42,0,3,3,0,27,1017,106,0,27,0,0,0,0,0,0
2016-06-04,0,29,42,0,3,3,0,27,1040,106,0,27,0,0,0,0,0,0
2016-06-05,0,29,42,0,3,3,0,27,1065,106,0,27,0,0,0,0,0,0
2016-06-06,0,29,42,0,3,3,0,27,1089,106,0,27,0,0,0,0,0,0
2016-06-07,0,30,42,0,3,3,0,27,1113,106,0,27,0,0,0,0,0,0
2016-06-08,0,30,42,0,3,3,0,28,1137,106,0,28,0,0,0,0,0,0
2016-06-09,0,30,42,0,3,3,0,28,1161,106,0,28,0,0,0,0,0,0
2016-06-10,0,29,42,0,3,3,0,29,1185,106,0,29,0,0,0,0,0,0
2016-06-11,0,29,42,0,3,3,0,30,1209,106,0,30,0,0,0,0,0,0
2016-06-12,0,29,42,0,3,3,0,31,1233,106,0,31,0,0,0,0,0,0
2016-06-13,0,29,42,0,3,3,0,31,1256,106,0,31,0,0,0,0,0,0
