date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-04-19,0,27,0,0,3,3,0,3,9,0,0,3,0,0,0,0,0,0
2014-04-20,0,26,0,0,3,3,0,4,32,0,0,4,0,0,0,0,0,0
2014-04-21,0,26,0,0,3,3,0,5,56,0,0,5,0,0,0,0,0,0
2014-04-22,0,27,0,0,3,3,0,6,81,0,0,6,0,0,0,0,0,0
2014-04-23,0,27,42,0,3,3,0,7,104,101,0,7,0,0,0,0,0,0
2014-04-24,0,28,42,0,3,3,0,8,128,101,0,8,0,0,0,0,0,0
2014-04-25,0,28,42,0,3,3,0,9,152,101,0,9,0,0,0,0,0,0
2014-04-26,0,28,42,0,3,3,0,10,176,101,0,10,0,0,0,0,0,0
2014-04-27,0,28,42,0,3,3,0,11,200,101,0,11,0,0,0,0,0,0
2014-04-28,0,29,42,0,3,3,0,12,224,101,0,12,0,0,0,0,0,0
2014-04-29,0,28,42,0,3,3,0,13,249,101,0,13,0,0,0,0,0,0
2014-04-30,0,28,42,0,3,3,0,14,272,101,0,14,0,0,0,0,0,0
2014-05-01,0,29,42,0,3,3,0,15,296,101,0,15,0,0,0,0,0,0
2014-05-02,0,29,42,0,3,3,0,16,320,101,0,16,0,0,0,0,0,0
2014-05-03,0,29,42,0,3,3,0,17,344,101,0,17,0,0,0,0,0,0
2014-05-04,0,29,42,0,3,3,0,18,368,101,0,18,0,0,0,0,0,0
2014-05-05,0,29,42,0,3,3,0,18,392,101,0,18,0,0,0,0,0,0
2014-05-06,0,30,42,0,3,3,0,18,416,101,0,18,0,0,0,0,0,0
2014-05-07,0,30,42,0,3,3,0,18,440,101,0,18,0,0,0,0,0,0
2014-05-08,0,30,42,0,3,3,0,18,464,101,0,18,0,0,0,0,0,0
2014-05-09,0,29,42,0,3,3,0,18,489,101,0,18,0,0,0,0,0,0
2014-05-10,0,30,42,0,3,3,0,18,512,101,0,18,0,0,0,0,0,0
2014-05-11,0,30,42,0,3,3,0,18,536,101,0,18,0,0,0,0,0,0
2014-05-12,0,30,42,0,3,3,0,18,561,101,0,18,0,0,0,0,0,0
2014-05-13,0,30,42,0,3,3,0,18,584,101,0,18,0,0,0,0,0,0
2014-05-14,0,30,42,0,3,3,0,18,608,101,0,18,0,0,0,0,0,0
2014-05-15,0,30,42,0,3,3,0,18,633,101,0,18,0,0,0,0,0,0
2014-05-16,0,30,42,0,3,3,0,18,656,101,0,18,0,0,0,0,0,0
2014-05-17,0,30,42,0,3,3,0,18,680,101,0,18,0,0,0,0,0,0
2014-05-18,0,30,42,0,3,3,0,18,704,101,0,18,0,0,0,0,0,0
2014-05-19,0,30,42,0,3,3,0,18,729,101,0,18,0,0,0,0,0,0
