date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-04-19,0,30,0,0,3,3,0,3,8,0,0,3,0,0,0,0,1,0,False,False,False
2014-04-20,0,30,0,0,3,3,0,4,32,0,0,4,0,0,0,0,1,0,False,False,False
2014-04-21,0,29,0,0,3,3,0,5,57,0,0,5,0,0,0,0,1,0,False,False,False
2014-04-22,0,24,0,0,3,3,0,6,80,0,0,6,0,0,0,0,1,0,False,False,False
2014-04-23,0,24,42,0,3,3,0,7,104,102,0,7,0,0,0,0,1,0,False,False,False
2014-04-24,0,25,42,0,3,3,0,8,128,102,0,8,0,0,0,0,1,0,False,False,False
2014-04-25,0,25,42,0,3,3,0,9,153,102,0,9,0,0,0,0,1,0,False,False,False
2014-04-26,0,25,42,0,3,3,0,10,176,102,0,10,0,0,0,0,1,0,False,False,False
2014-04-27,0,25,42,0,3,3,0,10,200,102,0,10,0,0,0,0,1,0,False,False,False
2014-04-28,0,25,42,0,3,3,0,12,225,102,0,12,0,0,0,0,1,0,False,False,False
2014-04-29,0,25,42,0,3,3,0,12,248,102,0,12,0,0,0,0,1,0,False,False,False
2014-04-30,0,25,42,0,3,3,0,13,272,102,0,13,0,0,0,0,1,0,False,False,False
2014-05-01,0,25,42,0,3,3,0,14,296,102,0,14,0,0,0,0,1,0,False,False,False
2014-05-02,0,25,42,0,3,3,0,15,321,102,0,15,0,0,0,0,1,0,False,False,False
2014-05-03,0,26,42,0,3,3,0,16,344,102,0,16,0,0,0,0,1,0,False,False,False
2014-05-04,0,25,42,0,3,3,0,17,368,102,0,17,0,0,0,0,1,0,False,False,False
2014-05-05,0,26,42,0,3,3,0,18,393,102,0,18,0,0,0,0,1,0,False,False,False
2014-05-06,0,25,42,0,3,3,0,18,416,102,0,18,0,0,0,0,1,0,False,False,False
2014-05-07,0,26,42,0,3,3,0,18,440,102,0,18,0,0,0,0,1,0,False,False,False
2014-05-08,0,25,42,0,3,3,0,18,465,102,0,18,0,0,0,0,1,0,False,False,False
2014-05-09,0,25,42,0,3,3,0,18,488,102,0,18,0,0,0,0,1,0,False,False,False
2014-05-10,0,25,42,0,3,3,0,18,512,102,0,18,0,0,0,0,1,0,False,False,False
