date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2015-03-10,0,25,0,2,2,0,1,154,0,118,0,0,0,0,0,0,0,0
2015-03-11,0,25,0,2,2,0,1,178,0,118,0,0,0,0,0,0,0,0
2015-03-12,0,25,0,2,2,0,1,197,0,118,0,0,0,0,0,0,0,0
2015-03-24,0,26,0,2,2,0,1,491,0,118,0,0,0,0,0,0,0,0
2015-03-25,0,26,0,2,2,0,1,514,0,118,0,0,0,0,0,0,0,0
2015-03-26,0,27,0,2,2,0,1,538,0,118,0,0,0,0,0,0,0,0
2015-03-27,0,27,0,2,2,0,1,563,0,118,0,0,0,0,0,0,0,0
2015-03-28,0,26,0,2,2,0,1,586,0,118,0,0,0,0,0,0,0,0
2015-03-29,0,25,0,2,2,0,1,610,0,118,0,0,0,0,0,0,0,0
2015-03-30,0,26,0,2,2,0,1,635,0,118,0,0,0,0,0,0,0,0
2015-03-31,0,26,0,2,2,0,1,658,0,118,0,0,0,0,0,0,0,0
2015-04-01,0,25,0,2,2,0,1,682,0,118,0,0,0,0,0,0,0,0
2015-04-02,0,26,0,2,2,0,1,706,0,118,0,0,0,0,0,0,0,0
2015-04-03,0,26,0,2,2,0,1,730,0,118,0,0,0,0,0,0,0,0
2015-04-04,0,26,0,2,2,0,1,754,0,118,0,0,0,0,0,0,0,0
2015-04-05,0,26,0,2,2,0,1,778,0,118,0,0,0,0,0,0,0,0
2015-04-06,0,25,0,2,2,0,1,802,0,118,0,0,0,0,0,0,0,0
2015-04-07,0,26,0,2,2,0,1,826,0,118,0,0,0,0,0,0,0,0
2015-04-08,0,25,0,2,2,0,1,850,0,118,0,0,0,0,0,0,0,0
2015-04-09,0,27,0,2,2,0,1,874,0,118,0,0,0,0,0,0,0,0
2015-04-10,0,27,0,2,2,0,1,898,0,118,0,0,0,0,0,0,0,0
2015-04-11,0,25,0,2,2,0,1,922,0,118,0,0,0,0,0,0,0,0
2015-04-12,0,26,0,2,2,0,1,945,0,118,0,0,0,0,0,0,0,0
2015-04-13,0,25,0,2,2,0,1,970,0,118,0,0,0,0,0,0,0,0
2015-04-14,0,27,0,2,2,0,1,994,0,118,0,0,0,0,0,0,0,0
