date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,29,,0,,,,,1535,,,,,0,0,,,
2013-04-11,0,29,,0,,,,,1559,,,,,0,0,,,
2013-04-12,0,27,,0,,,,,1582,,,,,0,0,,,
2013-04-13,0,28,,0,,,,,1607,,,,,0,0,,,
2013-04-14,0,27,,0,,,,,1630,,,,,0,0,,,
2013-04-15,0,27,,0,,,,,1654,,,,,0,0,,,
2013-04-16,0,27,,0,,,,,1679,,,,,0,0,,,
2013-04-17,0,27,,0,,,,,1702,,,,,0,0,,,
2013-04-18,0,27,,0,,,,,1727,,,,,0,0,,,
2013-04-19,0,25,,0,,,,,1750,,,,,0,0,,,
2013-04-20,0,25,,0,,,,,1774,,,,,0,0,,,
2013-04-21,0,25,,0,,,,,1798,,,,,0,0,,,
2013-04-22,0,25,,0,,,,,1822,,,,,0,0,,,
2013-04-23,0,29,,0,,,,,1846,,,,,0,0,,,
2013-04-24,0,28,,0,,,,,1870,,,,,0,0,,,
2013-04-25,0,28,,0,,,,,1895,,,,,0,0,,,
2013-04-26,0,28,,0,,,,,1918,,,,,0,0,,,
2013-04-27,0,27,,0,,,,,1943,,,,,0,0,,,
2013-04-28,0,28,,0,,,,,1967,,,,,0,0,,,
2013-04-29,0,27,,0,,,,,1991,,,,,0,0,,,
2013-04-30,0,24,,0,,,,,2015,,,,,0,0,,,
2013-05-01,0,24,,0,,,,,2038,,,,,0,0,,,
2013-05-02,0,27,,0,,,,,2063,,,,,0,0,,,
2013-05-03,0,27,,0,,,,,2087,,,,,0,0,,,
2013-05-04,0,27,,0,,,,,2110,,,,,0,0,,,
2013-05-05,0,27,,0,,,,,2135,,,,,0,0,,,
2013-05-06,0,27,,0,,,,,2159,,,,,0,0,,,
2013-05-07,0,27,,0,,,,,2182,,,,,0,0,,,
2013-05-08,0,24,,0,,,,,2206,,,,,0,0,,,
2013-05-09,0,24,,0,,,,,2231,,,,,0,0,,,
2013-05-10,0,24,,0,,,,,2254,,,,,0,0,,,
2013-05-11,0,23,,0,,,,,2279,,,,,0,0,,,
2013-05-12,0,23,,0,,,,,2302,,,,,0,0,,,
2013-05-13,0,24,,0,,,,,2327,,,,,0,0,,,
2013-05-14,0,24,,0,,,,,2350,,,,,0,0,,,
2013-05-15,0,24,,0,,,,,2374,,,,,0,0,,,
2013-05-16,0,24,,0,,,,,2399,,,,,0,0,,,
2013-05-17,0,25,,0,,,,,2422,,,,,0,0,,,
2013-05-18,0,25,,0,,,,,2447,,,,,0,0,,,
2013-05-19,0,25,,0,,,,,2471,,,,,0,0,,,
2013-05-20,0,25,,0,,,,,2494,,,,,0,0,,,
2013-05-21,0,25,,0,,,,,2519,,,,,0,0,,,
2013-05-22,0,25,,0,,,,,2542,,,,,0,0,,,
2013-05-23,0,23,,0,,,,,2567,,,,,0,0,,,
2013-05-24,0,25,,0,,,,,2591,,,,,0,0,,,
2013-05-25,0,27,,0,,,,,2615,,,,,0,0,,,
2013-05-26,0,25,,0,,,,,2639,,,,,0,0,,,
2013-05-27,0,25,,0,,,,,2663,,,,,0,0,,,
2013-05-28,0,25,,0,,,,,2687,,,,,0,0,,,
2013-05-29,0,25,,0,,,,,2711,,,,,0,0,,,
2013-05-30,0,25,,0,,,,,2735,,,,,0,0,,,
2013-05-31,0,25,,0,,,,,2759,,,,,0,0,,,
2013-06-01,0,25,,0,,,,,2782,,,,,0,0,,,
2013-06-02,0,25,,0,,,,,2807,,,,,0,0,,,
2013-06-03,0,24,,0,,,,,2831,,,,,0,0,,,
2013-06-04,0,24,,0,,,,,2855,,,,,0,0,,,
2013-06-05,0,25,,0,,,,,2879,,,,,0,0,,,
2013-06-06,0,28,,0,,,,,2903,,,,,0,0,,,
2013-06-07,0,26,,0,,,,,2926,,,,,0,0,,,
2013-06-08,0,26,,0,,,,,2951,,,,,0,0,,,
2013-06-09,0,26,,0,,,,,2975,,,,,0,0,,,
2013-06-10,0,26,,0,,,,,2999,,,,,0,0,,,
2013-06-11,0,26,,0,,,,,3022,,,,,0,0,,,
2013-06-12,0,26,,0,,,,,3046,,,,,0,0,,,
2013-06-13,0,23,,0,,,,,3071,,,,,0,0,,,
2013-06-14,0,24,,0,,,,,3095,,,,,0,0,,,
2013-06-15,0,24,,0,,,,,3119,,,,,0,0,,,
2013-06-16,0,24,,0,,,,,3143,,,,,0,0,,,
2013-06-17,0,26,,0,,,,,3167,,,,,0,0,,,
2013-06-18,0,26,,0,,,,,3191,,,,,0,0,,,
2013-06-19,0,26,,0,,,,,3214,,,,,0,0,,,
2013-06-20,0,27,,0,,,,,3239,,,,,0,0,,,
2013-06-21,0,26,,0,,,,,3262,,,,,0,0,,,
2013-06-22,0,26,,0,,,,,3287,,,,,0,0,,,
2013-06-23,0,23,,0,,,,,3311,,,,,0,0,,,
2013-06-24,0,24,,0,,,,,3335,,,,,0,0,,,
2013-06-25,0,24,,0,,,,,3359,,,,,0,0,,,
2013-06-26,0,23,,0,,,,,3383,,,,,0,0,,,
2013-06-27,0,24,,0,,,,,3407,,,,,0,0,,,
2013-06-28,0,23,,0,,,,,3431,,,,,0,0,,,
2013-06-29,0,24,,0,,,,,3455,,,,,0,0,,,
2013-06-30,0,24,,0,,,,,3479,,,,,0,0,,,
2013-07-01,0,24,,0,,,,,3503,,,,,0,0,,,
2013-07-02,0,24,,0,,,,,3527,,,,,0,0,,,
2013-07-03,0,24,,0,,,,,3551,,,,,0,0,,,
2013-07-04,0,24,,0,,,,,3575,,,,,0,0,,,
2013-07-05,0,24,,0,,,,,3599,,,,,0,0,,,
