date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,29,,0,,,,,1538,,,,,0,0,,,,False,False,False
2013-04-11,0,28,,0,,,,,1562,,,,,0,0,,,,False,False,False
2013-04-12,0,28,,0,,,,,1586,,,,,0,0,,,,False,False,False
2013-04-13,0,28,,0,,,,,1610,,,,,0,0,,,,False,False,False
2013-04-14,0,28,,0,,,,,1634,,,,,0,0,,,,False,False,False
2013-04-15,0,28,,0,,,,,1658,,,,,0,0,,,,False,False,False
2013-04-16,0,28,,0,,,,,1682,,,,,0,0,,,,False,False,False
2013-04-17,0,27,,0,,,,,1706,,,,,0,0,,,,False,False,False
2013-04-18,0,28,,0,,,,,1730,,,,,0,0,,,,False,False,False
2013-04-19,0,27,,0,,,,,1754,,,,,0,0,,,,False,False,False
2013-04-20,0,27,,0,,,,,1778,,,,,0,0,,,,False,False,False
2013-04-21,0,27,,0,,,,,1802,,,,,0,0,,,,False,False,False
2013-04-22,0,27,,0,,,,,1826,,,,,0,0,,,,False,False,False
2013-04-23,0,29,,0,,,,,1850,,,,,0,0,,,,False,False,False
2013-04-24,0,27,,0,,,,,1874,,,,,0,0,,,,False,False,False
2013-04-25,0,27,,0,,,,,1898,,,,,0,0,,,,False,False,False
2013-04-26,0,27,,0,,,,,1922,,,,,0,0,,,,False,False,False
2013-04-27,0,27,,0,,,,,1946,,,,,0,0,,,,False,False,False
2013-04-28,0,27,,0,,,,,1970,,,,,0,0,,,,False,False,False
2013-04-29,0,27,,0,,,,,1994,,,,,0,0,,,,False,False,False
2013-04-30,0,24,,0,,,,,2018,,,,,0,0,,,,False,False,False
2013-05-01,0,23,,0,,,,,2042,,,,,0,0,,,,False,False,False
2013-05-02,0,27,,0,,,,,2066,,,,,0,0,,,,False,False,False
2013-05-03,0,27,,0,,,,,2090,,,,,0,0,,,,False,False,False
2013-05-04,0,27,,0,,,,,2114,,,,,0,0,,,,False,False,False
2013-05-05,0,27,,0,,,,,2138,,,,,0,0,,,,False,False,False
2013-05-06,0,27,,0,,,,,2162,,,,,0,0,,,,False,False,False
2013-05-07,0,27,,0,,,,,2186,,,,,0,0,,,,False,False,False
2013-05-08,0,24,,0,,,,,2210,,,,,0,0,,,,False,False,False
2013-05-09,0,24,,0,,,,,2234,,,,,0,0,,,,False,False,False
2013-05-10,0,24,,0,,,,,2258,,,,,0,0,,,,False,False,False
2013-05-11,0,23,,0,,,,,2282,,,,,0,0,,,,False,False,False
2013-05-12,0,23,,0,,,,,2306,,,,,0,0,,,,False,False,False
2013-05-13,0,24,,0,,,,,2330,,,,,0,0,,,,False,False,False
2013-05-14,0,24,,0,,,,,2354,,,,,0,0,,,,False,False,False
2013-05-15,0,24,,0,,,,,2378,,,,,0,0,,,,False,False,False
2013-05-16,0,23,,0,,,,,2402,,,,,0,0,,,,False,False,False
2013-05-17,0,24,,0,,,,,2426,,,,,0,0,,,,False,False,False
2013-05-18,0,24,,0,,,,,2450,,,,,0,0,,,,False,False,False
2013-05-19,0,24,,0,,,,,2474,,,,,0,0,,,,False,False,False
2013-05-20,0,24,,0,,,,,2498,,,,,0,0,,,,False,False,False
2013-05-21,0,24,,0,,,,,2522,,,,,0,0,,,,False,False,False
2013-05-22,0,24,,0,,,,,2546,,,,,0,0,,,,False,False,False
2013-05-23,0,23,,0,,,,,2570,,,,,0,0,,,,False,False,False
2013-05-24,0,24,,0,,,,,2594,,,,,0,0,,,,False,False,False
2013-05-25,0,25,,0,,,,,2618,,,,,0,0,,,,False,False,False
2013-05-26,0,24,,0,,,,,2642,,,,,0,0,,,,False,False,False
2013-05-27,0,24,,0,,,,,2666,,,,,0,0,,,,False,False,False
2013-05-28,0,24,,0,,,,,2690,,,,,0,0,,,,False,False,False
2013-05-29,0,24,,0,,,,,2714,,,,,0,0,,,,False,False,False
2013-05-30,0,24,,0,,,,,2738,,,,,0,0,,,,False,False,False
2013-05-31,0,24,,0,,,,,2762,,,,,0,0,,,,False,False,False
2013-06-01,0,24,,0,,,,,2786,,,,,0,0,,,,False,False,False
2013-06-02,0,24,,0,,,,,2810,,,,,0,0,,,,False,False,False
2013-06-03,0,23,,0,,,,,2834,,,,,0,0,,,,False,False,False
2013-06-04,0,23,,0,,,,,2858,,,,,0,0,,,,False,False,False
2013-06-05,0,24,,0,,,,,2882,,,,,0,0,,,,False,False,False
2013-06-06,0,27,,0,,,,,2906,,,,,0,0,,,,False,False,False
2013-06-07,0,25,,0,,,,,2930,,,,,0,0,,,,False,False,False
2013-06-08,0,26,,0,,,,,2954,,,,,0,0,,,,False,False,False
2013-06-09,0,25,,0,,,,,2978,,,,,0,0,,,,False,False,False
2013-06-10,0,26,,0,,,,,3002,,,,,0,0,,,,False,False,False
2013-06-11,0,26,,0,,,,,3026,,,,,0,0,,,,False,False,False
2013-06-12,0,25,,0,,,,,3050,,,,,0,0,,,,False,False,False
2013-06-13,0,22,,0,,,,,3074,,,,,0,0,,,,False,False,False
2013-06-14,0,23,,0,,,,,3098,,,,,0,0,,,,False,False,False
2013-06-15,0,23,,0,,,,,3122,,,,,0,0,,,,False,False,False
2013-06-16,0,23,,0,,,,,3146,,,,,0,0,,,,False,False,False
2013-06-17,0,26,,0,,,,,3170,,,,,0,0,,,,False,False,False
2013-06-18,0,26,,0,,,,,3194,,,,,0,0,,,,False,False,False
2013-06-19,0,27,,0,,,,,3218,,,,,0,0,,,,False,False,False
2013-06-20,0,26,,0,,,,,3242,,,,,0,0,,,,False,False,False
2013-06-21,0,25,,0,,,,,3266,,,,,0,0,,,,False,False,False
2013-06-22,0,26,,0,,,,,3290,,,,,0,0,,,,False,False,False
2013-06-23,0,23,,0,,,,,3314,,,,,0,0,,,,False,False,False
2013-06-24,0,23,,0,,,,,3338,,,,,0,0,,,,False,False,False
2013-06-25,0,23,,0,,,,,3362,,,,,0,0,,,,False,False,False
2013-06-26,0,23,,0,,,,,3386,,,,,0,0,,,,False,False,False
2013-06-27,0,24,,0,,,,,3410,,,,,0,0,,,,False,False,False
2013-06-28,0,23,,0,,,,,3434,,,,,0,0,,,,False,False,False
2013-06-29,0,23,,0,,,,,3458,,,,,0,0,,,,False,False,False
2013-06-30,0,23,,0,,,,,3482,,,,,0,0,,,,False,False,False
2013-07-01,0,23,,0,,,,,3506,,,,,0,0,,,,False,False,False
2013-07-02,0,23,,0,,,,,3530,,,,,0,0,,,,False,False,False
2013-07-03,0,23,,0,,,,,3554,,,,,0,0,,,,False,False,False
2013-07-04,0,23,,0,,,,,3578,,,,,0,0,,,,False,False,False
2013-07-05,0,24,,0,,,,,3602,,,,,0,0,,,,False,False,False
2013-07-06,0,23,,0,,,,,3626,,,,,0,0,,,,False,False,False
2013-07-07,0,23,,0,,,,,3650,,,,,0,0,,,,False,False,False
2013-07-08,0,23,,0,,,,,3674,,,,,0,0,,,,False,False,False
2013-07-09,0,23,,0,,,,,3698,,,,,0,0,,,,False,False,False
2013-07-10,0,23,,0,,,,,3722,,,,,0,0,,,,False,False,False
2013-07-11,0,23,,0,,,,,3746,,,,,0,0,,,,False,False,False
2013-07-12,0,23,,0,,,,,3770,,,,,0,0,,,,False,False,False
2013-07-13,0,23,,0,,,,,3794,,,,,0,0,,,,False,False,False
2013-07-14,0,23,,0,,,,,3818,,,,,0,0,,,,False,False,False
2013-07-15,0,23,,0,,,,,3842,,,,,0,0,,,,False,False,False
2013-07-16,0,23,,0,,,,,3866,,,,,0,0,,,,False,False,False
2013-07-17,0,23,,0,,,,,3890,,,,,0,0,,,,False,False,False
2013-07-18,0,26,,0,,,,,3914,,,,,0,0,,,,False,False,False
