date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-05-18,0,27,,65536,,,,,97,,,,,0,0,,,,True,False,False
2013-05-19,0,28,,0,,,,,121,,,,,0,0,,,,True,False,False
2013-05-20,0,28,,0,,,,,145,,,,,0,0,,,,True,False,False
2013-05-21,0,27,,0,,,,,169,,,,,0,0,,,,True,False,False
2013-05-22,0,28,,0,,,,,193,,,,,1,0,,,,True,True,False
2013-05-23,0,28,,0,,,,,217,,,,,1,0,,,,True,True,False
2013-05-24,0,27,,0,,,,,241,,,,,16,0,,,,True,True,False
2013-05-25,0,31,,0,,,,,265,,,,,16,0,,,,True,True,False
2013-05-26,0,29,,0,,,,,289,,,,,21,0,,,,True,True,False
2013-05-27,0,29,,0,,,,,313,,,,,44,0,,,,True,True,False
2013-05-28,0,29,,0,,,,,337,,,,,50,0,,,,True,True,False
2013-05-29,0,29,,0,,,,,361,,,,,51,0,,,,True,True,False
2013-05-30,0,30,,0,,,,,385,,,,,60,0,,,,True,True,False
2013-05-31,0,29,,0,,,,,409,,,,,66,0,,,,True,True,False
2013-06-01,0,27,,0,,,,,433,,,,,70,0,,,,True,True,False
2013-06-02,0,27,,0,,,,,457,,,,,72,0,,,,True,True,False
2013-06-03,0,29,,0,,,,,481,,,,,72,0,,,,True,True,False
2013-06-04,0,28,,0,,,,,505,,,,,72,0,,,,True,True,False
2013-06-05,0,28,,0,,,,,529,,,,,72,0,,,,True,True,True
2013-06-06,1,26,,0,,,,,553,,,,,72,0,,,,True,True,True
