date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-16,0,29,,0,,,,,845,,,,,0,0,,,,False,False,False
2013-04-17,0,29,,0,,,,,869,,,,,0,0,,,,False,False,False
2013-04-18,0,30,,0,,,,,892,,,,,0,0,,,,False,False,False
2013-04-19,0,29,,0,,,,,916,,,,,0,0,,,,False,False,False
2013-04-20,0,28,,0,,,,,941,,,,,0,0,,,,False,False,False
2013-04-21,0,29,,0,,,,,965,,,,,0,0,,,,False,False,False
2013-04-22,0,29,,0,,,,,989,,,,,0,0,,,,False,False,False
2013-04-23,0,30,,0,,,,,1012,,,,,0,0,,,,False,False,False
2013-04-24,0,27,,0,,,,,1036,,,,,0,0,,,,False,False,False
2013-04-25,0,26,,0,,,,,1060,,,,,0,0,,,,False,False,False
2013-04-26,0,27,,0,,,,,1084,,,,,0,0,,,,False,False,False
2013-04-27,0,27,,0,,,,,1109,,,,,0,0,,,,False,False,False
2013-04-28,0,27,,0,,,,,1132,,,,,0,0,,,,False,False,False
2013-04-29,0,27,,0,,,,,1157,,,,,0,0,,,,False,False,False
2013-04-30,0,27,,0,,,,,1181,,,,,0,0,,,,False,False,False
2013-05-01,0,27,,0,,,,,1205,,,,,0,0,,,,False,False,False
2013-05-02,0,27,,0,,,,,1228,,,,,0,0,,,,False,False,False
2013-05-03,0,27,,0,,,,,1253,,,,,0,0,,,,False,False,False
2013-05-04,0,27,,0,,,,,1276,,,,,0,0,,,,False,False,False
2013-05-05,0,27,,0,,,,,1300,,,,,0,0,,,,False,False,False
2013-05-06,0,27,,0,,,,,1324,,,,,0,0,,,,False,False,False
2013-05-07,0,27,,0,,,,,1348,,,,,0,0,,,,False,False,False
2013-05-08,0,27,,0,,,,,1373,,,,,0,0,,,,False,False,False
2013-05-09,0,27,,0,,,,,1397,,,,,0,0,,,,False,False,False
2013-05-10,0,27,,0,,,,,1420,,,,,0,0,,,,False,False,False
2013-05-11,0,27,,0,,,,,1444,,,,,0,0,,,,False,False,False
2013-05-12,0,27,,0,,,,,1468,,,,,0,0,,,,False,False,False
2013-05-13,0,27,,0,,,,,1493,,,,,0,0,,,,False,False,False
2013-05-14,0,27,,0,,,,,1516,,,,,0,0,,,,False,False,False
2013-05-15,0,26,,0,,,,,1541,,,,,0,0,,,,False,False,False
2013-05-16,0,26,,0,,,,,1564,,,,,0,0,,,,False,False,False
2013-05-17,0,27,,0,,,,,1588,,,,,0,0,,,,False,False,False
2013-05-18,0,28,,0,,,,,1612,,,,,0,0,,,,False,False,False
2013-05-19,0,29,,0,,,,,1636,,,,,0,0,,,,False,False,False
2013-05-20,0,28,,0,,,,,1660,,,,,0,0,,,,False,False,False
2013-05-21,0,29,,0,,,,,1684,,,,,0,0,,,,False,False,False
2013-05-22,0,29,,0,,,,,1708,,,,,0,0,,,,False,False,False
2013-05-23,0,28,,0,,,,,1732,,,,,0,0,,,,False,False,False
2013-05-24,0,28,,0,,,,,1756,,,,,0,0,,,,False,False,False
2013-05-25,0,28,,0,,,,,1780,,,,,0,0,,,,False,False,False
2013-05-26,0,29,,0,,,,,1804,,,,,0,0,,,,False,False,False
2013-05-27,0,29,,0,,,,,1829,,,,,0,0,,,,False,False,False
2013-05-28,0,29,,0,,,,,1853,,,,,0,0,,,,False,False,False
2013-05-29,0,29,,0,,,,,1876,,,,,0,0,,,,False,False,False
2013-05-30,0,27,,0,,,,,1901,,,,,0,0,,,,False,False,False
2013-05-31,0,28,,0,,,,,1924,,,,,0,0,,,,False,False,False
2013-06-01,0,28,,0,,,,,1949,,,,,0,0,,,,False,False,False
2013-06-02,0,28,,0,,,,,1972,,,,,0,0,,,,False,False,False
2013-06-03,0,27,,0,,,,,1997,,,,,0,0,,,,False,False,False
