date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,26,,0,,,,,1532,,,,,0,0,,,,False,False,False
2013-04-11,0,26,,0,,,,,1556,,,,,0,0,,,,False,False,False
2013-04-12,0,25,,0,,,,,1580,,,,,0,0,,,,False,False,False
2013-04-13,0,25,,0,,,,,1605,,,,,0,0,,,,False,False,False
2013-04-14,0,25,,0,,,,,1628,,,,,0,0,,,,False,False,False
2013-04-15,0,25,,0,,,,,1652,,,,,0,0,,,,False,False,False
2013-04-16,0,24,,0,,,,,1677,,,,,0,0,,,,False,False,False
2013-04-17,0,25,,0,,,,,1701,,,,,0,0,,,,False,False,False
2013-04-18,0,25,,0,,,,,1725,,,,,0,0,,,,False,False,False
2013-04-19,0,25,,0,,,,,1748,,,,,0,0,,,,False,False,False
2013-04-20,0,24,,0,,,,,1773,,,,,0,0,,,,False,False,False
2013-04-21,0,25,,0,,,,,1797,,,,,0,0,,,,False,False,False
2013-04-22,0,25,,0,,,,,1821,,,,,0,0,,,,False,False,False
2013-04-23,0,24,,0,,,,,1845,,,,,0,0,,,,False,False,False
2013-04-24,0,23,,0,,,,,1868,,,,,0,0,,,,False,False,False
2013-04-25,0,22,,0,,,,,1892,,,,,0,0,,,,False,False,False
2013-04-26,0,23,,0,,,,,1917,,,,,0,0,,,,False,False,False
2013-04-27,0,22,,0,,,,,1940,,,,,0,0,,,,False,False,False
2013-04-28,0,23,,0,,,,,1964,,,,,0,0,,,,False,False,False
2013-04-29,0,22,,0,,,,,1988,,,,,0,0,,,,False,False,False
2013-04-30,0,22,,0,,,,,2012,,,,,0,0,,,,False,False,False
2013-05-01,0,22,,0,,,,,2036,,,,,0,0,,,,False,False,False
2013-05-02,0,23,,0,,,,,2060,,,,,0,0,,,,False,False,False
2013-05-03,0,23,,0,,,,,2085,,,,,0,0,,,,False,False,False
2013-05-04,0,22,,0,,,,,2108,,,,,0,0,,,,False,False,False
2013-05-05,0,22,,0,,,,,2132,,,,,0,0,,,,False,False,False
2013-05-06,0,22,,0,,,,,2156,,,,,0,0,,,,False,False,False
2013-05-07,0,22,,0,,,,,2180,,,,,0,0,,,,False,False,False
2013-05-08,0,22,,0,,,,,2205,,,,,0,0,,,,False,False,False
2013-05-09,0,22,,0,,,,,2229,,,,,0,0,,,,False,False,False
2013-05-10,0,22,,0,,,,,2253,,,,,0,0,,,,False,False,False
2013-05-11,0,22,,0,,,,,2276,,,,,0,0,,,,False,False,False
2013-05-12,0,22,,0,,,,,2300,,,,,0,0,,,,False,False,False
2013-05-13,0,22,,0,,,,,2324,,,,,0,0,,,,False,False,False
2013-05-14,0,22,,0,,,,,2348,,,,,0,0,,,,False,False,False
2013-05-15,0,22,,0,,,,,2373,,,,,0,0,,,,False,False,False
2013-05-16,0,22,,0,,,,,2396,,,,,0,0,,,,False,False,False
2013-05-17,0,21,,0,,,,,2421,,,,,0,0,,,,False,False,False
2013-05-18,0,24,,0,,,,,2444,,,,,0,0,,,,False,False,False
2013-05-19,0,24,,0,,,,,2469,,,,,0,0,,,,False,False,False
2013-05-20,0,24,,0,,,,,2492,,,,,0,0,,,,False,False,False
2013-05-21,0,24,,0,,,,,2516,,,,,0,0,,,,False,False,False
2013-05-22,0,24,,0,,,,,2540,,,,,0,0,,,,False,False,False
2013-05-23,0,23,,0,,,,,2564,,,,,0,0,,,,False,False,False
2013-05-24,0,23,,0,,,,,2588,,,,,0,0,,,,False,False,False
2013-05-25,0,21,,0,,,,,2612,,,,,0,0,,,,False,False,False
2013-05-26,0,23,,0,,,,,2636,,,,,0,0,,,,False,False,False
2013-05-27,0,23,,0,,,,,2661,,,,,0,0,,,,False,False,False
2013-05-28,0,23,,0,,,,,2684,,,,,0,0,,,,False,False,False
2013-05-29,0,23,,0,,,,,2708,,,,,0,0,,,,False,False,False
2013-05-30,0,21,,0,,,,,2733,,,,,0,0,,,,False,False,False
2013-05-31,0,22,,0,,,,,2756,,,,,0,0,,,,False,False,False
2013-06-01,0,22,,0,,,,,2781,,,,,0,0,,,,False,False,False
2013-06-02,0,22,,0,,,,,2805,,,,,0,0,,,,False,False,False
2013-06-03,0,23,,0,,,,,2829,,,,,0,0,,,,False,False,False
2013-06-04,0,23,,0,,,,,2853,,,,,0,0,,,,False,False,False
2013-06-05,0,23,,0,,,,,2877,,,,,0,0,,,,False,False,False
2013-06-06,0,25,,0,,,,,2901,,,,,0,0,,,,False,False,False
2013-06-07,0,24,,0,,,,,2924,,,,,0,0,,,,False,False,False
2013-06-08,0,21,,0,,,,,2948,,,,,0,0,,,,False,False,False
2013-06-09,0,21,,0,,,,,2972,,,,,0,0,,,,False,False,False
2013-06-10,0,21,,0,,,,,2996,,,,,0,0,,,,False,False,False
