date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-05-18,0,29,,0,,,,,336,,,,,0,0,,,,False,False,False
2013-05-19,0,29,,0,,,,,360,,,,,0,0,,,,False,False,False
2013-05-20,0,29,,0,,,,,384,,,,,0,0,,,,False,False,False
2013-05-21,0,29,,0,,,,,408,,,,,0,0,,,,False,False,False
2013-05-22,0,29,,0,,,,,432,,,,,0,0,,,,False,False,False
2013-05-23,0,29,,0,,,,,456,,,,,0,0,,,,False,False,False
2013-05-24,0,28,,0,,,,,480,,,,,0,0,,,,False,False,False
2013-05-25,0,30,,0,,,,,504,,,,,0,0,,,,False,False,False
2013-05-26,0,28,,0,,,,,528,,,,,0,0,,,,False,False,False
2013-05-27,0,28,,0,,,,,552,,,,,0,0,,,,False,False,False
2013-05-28,0,28,,0,,,,,576,,,,,0,0,,,,False,False,False
2013-05-29,0,28,,0,,,,,600,,,,,0,0,,,,False,False,False
2013-05-30,0,30,,0,,,,,624,,,,,0,0,,,,False,False,False
2013-05-31,0,28,,0,,,,,648,,,,,0,0,,,,False,False,False
2013-06-01,0,27,,0,,,,,672,,,,,0,0,,,,False,False,False
2013-06-02,0,27,,0,,,,,696,,,,,0,0,,,,False,False,False
2013-06-03,0,28,,0,,,,,720,,,,,0,0,,,,False,False,False
2013-06-04,0,28,,0,,,,,744,,,,,0,0,,,,False,False,False
2013-06-05,0,27,,0,,,,,768,,,,,0,0,,,,False,False,False
2013-06-06,0,26,,0,,,,,792,,,,,0,0,,,,False,False,False
2013-06-07,0,27,,0,,,,,816,,,,,0,0,,,,False,False,False
2013-06-08,0,25,,0,,,,,840,,,,,0,0,,,,False,False,False
2013-06-09,0,26,,0,,,,,864,,,,,0,0,,,,False,False,False
2013-06-10,0,25,,0,,,,,888,,,,,0,0,,,,False,False,False
