date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-14,0,29,,0,,,,,151,,,,,0,0,,,
2013-04-15,0,29,,0,,,,,175,,,,,0,0,,,
2013-04-16,0,29,,0,,,,,199,,,,,0,0,,,
2013-04-17,0,29,,0,,,,,223,,,,,0,0,,,
2013-04-18,0,29,,0,,,,,247,,,,,0,0,,,
2013-04-19,0,29,,0,,,,,271,,,,,0,0,,,
2013-04-20,0,29,,0,,,,,294,,,,,0,0,,,
2013-04-21,0,29,,0,,,,,319,,,,,0,0,,,
2013-04-22,0,29,,0,,,,,343,,,,,0,0,,,
2013-04-23,0,28,,0,,,,,367,,,,,0,0,,,
2013-04-24,0,27,,0,,,,,390,,,,,0,0,,,
2013-04-25,0,26,,0,,,,,415,,,,,0,0,,,
2013-04-26,0,27,,0,,,,,438,,,,,0,0,,,
2013-04-27,0,26,,0,,,,,462,,,,,0,0,,,
2013-04-28,0,27,,0,,,,,486,,,,,0,0,,,
2013-04-29,0,26,,0,,,,,510,,,,,0,0,,,
2013-04-30,0,23,,0,,,,,535,,,,,0,0,,,
2013-05-01,0,23,,0,,,,,558,,,,,0,0,,,
2013-05-02,0,27,,0,,,,,582,,,,,0,0,,,
2013-05-03,0,27,,0,,,,,606,,,,,0,0,,,
2013-05-04,0,27,,0,,,,,630,,,,,0,0,,,
2013-05-05,0,27,,0,,,,,654,,,,,0,0,,,
2013-05-06,0,27,,0,,,,,679,,,,,0,0,,,
2013-05-07,0,27,,0,,,,,702,,,,,0,0,,,
2013-05-08,0,24,,0,,,,,726,,,,,0,0,,,
2013-05-09,0,24,,0,,,,,750,,,,,0,0,,,
2013-05-10,0,25,,0,,,,,774,,,,,0,0,,,
2013-05-11,0,24,,0,,,,,798,,,,,0,0,,,
2013-05-12,0,25,,0,,,,,822,,,,,0,0,,,
2013-05-13,0,25,,0,,,,,846,,,,,0,0,,,
2013-05-14,0,25,,0,,,,,870,,,,,0,0,,,
2013-05-15,0,25,,0,,,,,894,,,,,0,0,,,
2013-05-16,0,25,,0,,,,,919,,,,,0,0,,,
2013-05-17,0,23,,0,,,,,942,,,,,0,0,,,
2013-05-18,0,23,,0,,,,,967,,,,,0,0,,,
2013-05-19,0,23,,0,,,,,991,,,,,0,0,,,
2013-05-20,0,23,,0,,,,,1015,,,,,0,0,,,
2013-05-21,0,23,,0,,,,,1038,,,,,0,0,,,
2013-05-22,0,23,,0,,,,,1062,,,,,0,0,,,
2013-05-23,0,22,,0,,,,,1086,,,,,0,0,,,
2013-05-24,0,23,,0,,,,,1111,,,,,0,0,,,
2013-05-25,0,24,,0,,,,,1135,,,,,0,0,,,
2013-05-26,0,23,,0,,,,,1159,,,,,0,0,,,
2013-05-27,0,23,,0,,,,,1182,,,,,0,0,,,
2013-05-28,0,23,,0,,,,,1206,,,,,0,0,,,
2013-05-29,0,23,,0,,,,,1231,,,,,0,0,,,
2013-05-30,0,24,,0,,,,,1254,,,,,0,0,,,
2013-05-31,0,23,,0,,,,,1279,,,,,0,0,,,
2013-06-01,0,23,,0,,,,,1302,,,,,0,0,,,
2013-06-02,0,23,,0,,,,,1326,,,,,0,0,,,
2013-06-03,0,22,,0,,,,,1351,,,,,0,0,,,
2013-06-04,0,22,,0,,,,,1374,,,,,0,0,,,
2013-06-05,0,22,,0,,,,,1399,,,,,0,0,,,
2013-06-06,0,28,,0,,,,,1423,,,,,0,0,,,
2013-06-07,0,26,,0,,,,,1446,,,,,0,0,,,
2013-06-08,0,26,,0,,,,,1471,,,,,0,0,,,
2013-06-09,0,26,,0,,,,,1495,,,,,0,0,,,
2013-06-10,0,26,,0,,,,,1519,,,,,0,0,,,
2013-06-11,0,26,,0,,,,,1542,,,,,0,0,,,
2013-06-12,0,23,,0,,,,,1567,,,,,0,0,,,
2013-06-13,0,22,,0,,,,,1590,,,,,0,0,,,
2013-06-14,0,23,,0,,,,,1615,,,,,0,0,,,
2013-06-15,0,23,,0,,,,,1638,,,,,0,0,,,
2013-06-16,0,23,,0,,,,,1663,,,,,0,0,,,
2013-06-17,0,26,,0,,,,,1687,,,,,0,0,,,
2013-06-18,0,26,,0,,,,,1711,,,,,0,0,,,
2013-06-19,0,27,,0,,,,,1735,,,,,0,0,,,
2013-06-20,0,27,,0,,,,,1759,,,,,0,0,,,
2013-06-21,0,26,,0,,,,,1783,,,,,0,0,,,
2013-06-22,0,26,,0,,,,,1807,,,,,0,0,,,
2013-06-23,0,23,,0,,,,,1831,,,,,0,0,,,
2013-06-24,0,23,,0,,,,,1855,,,,,0,0,,,
2013-06-25,0,23,,0,,,,,1879,,,,,0,0,,,
2013-06-26,0,23,,0,,,,,1902,,,,,0,0,,,
2013-06-27,0,23,,0,,,,,1927,,,,,0,0,,,
2013-06-28,0,23,,0,,,,,1951,,,,,0,0,,,
2013-06-29,0,23,,0,,,,,1975,,,,,0,0,,,
2013-06-30,0,23,,0,,,,,1998,,,,,0,0,,,
2013-07-01,0,23,,0,,,,,2022,,,,,0,0,,,
2013-07-02,0,23,,0,,,,,2047,,,,,0,0,,,
2013-07-03,0,23,,0,,,,,2070,,,,,0,0,,,
2013-07-04,0,23,,0,,,,,2095,,,,,0,0,,,
2013-07-05,0,23,,0,,,,,2118,,,,,0,0,,,
2013-07-06,0,23,,0,,,,,2143,,,,,0,0,,,
2013-07-07,0,23,,0,,,,,2167,,,,,0,0,,,
2013-07-08,0,23,,0,,,,,2190,,,,,0,0,,,
2013-07-09,0,23,,0,,,,,2215,,,,,0,0,,,
2013-07-10,0,23,,0,,,,,2239,,,,,0,0,,,
2013-07-11,0,23,,0,,,,,2262,,,,,0,0,,,
2013-07-12,0,23,,0,,,,,2287,,,,,0,0,,,
2013-07-13,0,22,,0,,,,,2311,,,,,0,0,,,
2013-07-14,0,23,,0,,,,,2335,,,,,0,0,,,
2013-07-15,0,23,,0,,,,,2359,,,,,0,0,,,
2013-07-16,0,22,,0,,,,,2383,,,,,0,0,,,
2013-07-17,0,23,,0,,,,,2407,,,,,0,0,,,
2013-07-18,0,28,,0,,,,,2431,,,,,0,0,,,
2013-07-19,0,23,,0,,,,,2454,,,,,0,0,,,
2013-07-20,0,22,,0,,,,,2479,,,,,0,0,,,
2013-07-21,0,23,,0,,,,,2503,,,,,0,0,,,
2013-07-22,0,22,,0,,,,,2527,,,,,0,0,,,
2013-07-23,0,22,,0,,,,,2550,,,,,0,0,,,
2013-07-24,0,22,,0,,,,,2575,,,,,0,0,,,
2013-07-25,0,22,,0,,,,,2598,,,,,0,0,,,
2013-07-26,0,22,,0,,,,,2623,,,,,0,0,,,
2013-07-27,0,22,,0,,,,,2647,,,,,0,0,,,
2013-07-28,0,22,,0,,,,,2671,,,,,0,0,,,
2013-07-29,0,22,,0,,,,,2695,,,,,0,0,,,
2013-07-30,0,23,,0,,,,,2719,,,,,0,0,,,
2013-07-31,0,22,,0,,,,,2743,,,,,0,0,,,
2013-08-01,0,22,,0,,,,,2767,,,,,0,0,,,
2013-08-02,0,22,,0,,,,,2791,,,,,0,0,,,
2013-08-03,0,22,,0,,,,,2815,,,,,0,0,,,
2013-08-04,0,22,,0,,,,,2839,,,,,0,0,,,
2013-08-05,0,22,,0,,,,,2863,,,,,0,0,,,
2013-08-06,0,22,,0,,,,,2887,,,,,0,0,,,
2013-08-07,0,22,,0,,,,,2911,,,,,0,0,,,
2013-08-08,0,23,,0,,,,,2935,,,,,0,0,,,
2013-08-09,0,22,,0,,,,,2959,,,,,0,0,,,
2013-08-10,0,22,,0,,,,,2983,,,,,0,0,,,
2013-08-11,0,22,,0,,,,,3007,,,,,0,0,,,
2013-08-12,0,23,,0,,,,,3031,,,,,0,0,,,
2013-08-13,0,22,,0,,,,,3055,,,,,0,0,,,
2013-08-14,0,22,,0,,,,,3079,,,,,0,0,,,
2013-08-15,0,23,,0,,,,,3103,,,,,0,0,,,
2013-08-16,0,23,,0,,,,,3127,,,,,0,0,,,
2013-08-17,0,22,,0,,,,,3151,,,,,0,0,,,
2013-08-18,0,22,,0,,,,,3175,,,,,0,0,,,
2013-08-19,0,23,,0,,,,,3199,,,,,0,0,,,
2013-10-15,0,24,,0,,,,,4567,,,,,0,0,,,
2013-10-16,0,24,,0,,,,,4591,,,,,0,0,,,
2013-10-17,0,23,,0,,,,,4615,,,,,0,0,,,
2013-10-18,0,23,,0,,,,,4639,,,,,0,0,,,
2013-10-19,0,23,,0,,,,,4663,,,,,0,0,,,
2013-10-20,0,23,,0,,,,,4687,,,,,0,0,,,
2013-10-21,0,24,,0,,,,,4711,,,,,0,0,,,
2013-10-22,0,24,,0,,,,,4735,,,,,0,0,,,
2013-10-23,0,23,,0,,,,,4759,,,,,0,0,,,
2013-10-24,0,24,,0,,,,,4783,,,,,0,0,,,
2013-10-25,0,23,,0,,,,,4798,,,,,0,0,,,
2013-10-26,0,23,,0,,,,,4822,,,,,0,0,,,
2013-10-27,0,23,,0,,,,,4846,,,,,0,0,,,
2013-10-28,0,23,,0,,,,,4870,,,,,0,0,,,
2013-10-29,0,23,,0,,,,,4894,,,,,0,0,,,
2013-10-30,0,23,,0,,,,,4918,,,,,0,0,,,
2013-10-31,0,23,,0,,,,,4942,,,,,0,0,,,
2013-11-01,0,24,,0,,,,,4966,,,,,0,0,,,
2013-11-02,0,24,,0,,,,,4990,,,,,0,0,,,
2013-11-03,0,23,,0,,,,,5014,,,,,0,0,,,
2013-11-04,0,22,,0,,,,,5039,,,,,0,0,,,
2013-11-05,0,23,,0,,,,,5063,,,,,0,0,,,
2013-11-06,0,24,,0,,,,,5086,,,,,0,0,,,
2013-11-07,0,23,,0,,,,,5110,,,,,0,0,,,
2013-11-08,0,22,,0,,,,,5134,,,,,0,0,,,
2013-11-09,0,22,,0,,,,,5158,,,,,0,0,,,
2013-11-10,0,22,,0,,,,,5182,,,,,0,0,,,
2013-11-11,0,23,,0,,,,,5206,,,,,0,0,,,
2013-11-12,0,22,,0,,,,,5230,,,,,0,0,,,
2013-11-13,0,23,,0,,,,,5254,,,,,0,0,,,
2013-11-14,0,23,,0,,,,,5278,,,,,0,0,,,
2013-11-15,0,24,,0,,,,,5302,,,,,0,0,,,
2013-11-16,0,21,,0,,,,,5326,,,,,0,0,,,
2013-11-17,0,23,,0,,,,,5350,,,,,0,0,,,
2013-11-18,0,25,,0,,,,,5374,,,,,0,0,,,
2013-11-19,0,23,,0,,,,,5398,,,,,0,0,,,
2013-11-20,0,23,,0,,,,,5422,,,,,0,0,,,
2013-11-21,0,24,,0,,,,,5443,,,,,0,0,,,
2013-11-22,0,24,,0,,,,,5467,,,,,0,0,,,
2013-11-23,0,22,,0,,,,,5491,,,,,0,0,,,
2013-11-24,0,22,,0,,,,,5515,,,,,0,0,,,
2013-11-25,0,22,,0,,,,,5539,,,,,0,0,,,
2013-11-26,0,24,,0,,,,,5563,,,,,0,0,,,
2013-11-27,0,24,,0,,,,,5587,,,,,0,0,,,
2013-11-28,0,25,,0,,,,,5611,,,,,0,0,,,
2013-11-29,0,23,,0,,,,,5635,,,,,0,0,,,
2013-11-30,0,24,,0,,,,,5659,,,,,0,0,,,
2013-12-01,0,22,,0,,,,,5683,,,,,0,0,,,
2013-12-02,0,22,,0,,,,,5707,,,,,0,0,,,
2013-12-03,0,24,,0,,,,,5731,,,,,0,0,,,
2013-12-04,0,21,,0,,,,,5755,,,,,0,0,,,
2013-12-05,0,21,,0,,,,,5779,,,,,0,0,,,
2013-12-06,0,21,,0,,,,,5803,,,,,0,0,,,
2013-12-07,0,21,,0,,,,,5827,,,,,0,0,,,
2013-12-08,0,20,,0,,,,,5851,,,,,0,0,,,
2013-12-09,0,20,,0,,,,,5875,,,,,0,0,,,
2013-12-10,0,21,,0,,,,,5899,,,,,0,0,,,
2013-12-11,0,20,,0,,,,,5923,,,,,0,0,,,
