date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-05-18,0,30,,0,,,,,98,,,,,0,0,,,
2013-05-19,0,30,,0,,,,,122,,,,,0,0,,,
2013-05-20,0,30,,0,,,,,146,,,,,0,0,,,
2013-05-21,0,30,,0,,,,,170,,,,,0,0,,,
2013-05-22,0,30,,0,,,,,194,,,,,0,0,,,
2013-05-23,0,30,,0,,,,,218,,,,,0,0,,,
2013-05-24,0,29,,0,,,,,242,,,,,0,0,,,
2013-05-25,0,32,,0,,,,,266,,,,,0,0,,,
2013-05-26,0,30,,0,,,,,290,,,,,0,0,,,
2013-05-27,0,30,,0,,,,,314,,,,,0,0,,,
2013-05-28,0,30,,0,,,,,338,,,,,0,0,,,
2013-05-29,0,30,,0,,,,,362,,,,,0,0,,,
2013-05-30,0,32,,0,,,,,386,,,,,0,0,,,
2013-05-31,0,29,,0,,,,,410,,,,,0,0,,,
2013-06-01,0,29,,0,,,,,434,,,,,0,0,,,
2013-06-02,0,29,,0,,,,,458,,,,,0,0,,,
2013-06-03,0,30,,0,,,,,482,,,,,0,0,,,
2013-06-04,0,29,,0,,,,,506,,,,,0,0,,,
2013-06-05,0,30,,0,,,,,530,,,,,0,0,,,
2013-06-06,0,28,,0,,,,,554,,,,,0,0,,,
2013-06-07,0,28,,0,,,,,578,,,,,0,0,,,
2013-06-08,0,28,,0,,,,,602,,,,,0,0,,,
2013-06-09,0,27,,0,,,,,626,,,,,0,0,,,
2013-06-10,0,27,,0,,,,,650,,,,,0,0,,,
2013-06-11,0,28,,0,,,,,674,,,,,0,0,,,
2013-06-12,0,26,,0,,,,,698,,,,,0,0,,,
2013-06-13,0,30,,0,,,,,722,,,,,0,0,,,
2013-06-14,0,30,,0,,,,,746,,,,,0,0,,,
2013-06-15,0,30,,0,,,,,770,,,,,0,0,,,
2013-06-16,0,30,,0,,,,,794,,,,,0,0,,,
2013-06-17,0,28,,0,,,,,818,,,,,0,0,,,
2013-06-18,0,28,,0,,,,,842,,,,,0,0,,,
2013-06-19,0,30,,0,,,,,866,,,,,0,0,,,
2013-06-20,0,26,,0,,,,,890,,,,,0,0,,,
2013-06-21,0,27,,0,,,,,914,,,,,0,0,,,
2013-06-22,0,28,,0,,,,,938,,,,,0,0,,,
2013-06-23,0,30,,0,,,,,962,,,,,0,0,,,
2013-06-24,0,30,,0,,,,,986,,,,,0,0,,,
2013-06-25,0,30,,0,,,,,1010,,,,,0,0,,,
2013-06-26,0,30,,0,,,,,1034,,,,,0,0,,,
2013-06-27,0,30,,0,,,,,1058,,,,,0,0,,,
2013-06-28,0,30,,0,,,,,1082,,,,,0,0,,,
2013-06-29,0,30,,0,,,,,1106,,,,,0,0,,,
2013-06-30,0,30,,0,,,,,1130,,,,,0,0,,,
2013-07-01,0,30,,0,,,,,1154,,,,,0,0,,,
2013-07-02,0,30,,0,,,,,1178,,,,,0,0,,,
2013-07-03,0,30,,0,,,,,1202,,,,,0,0,,,
2013-07-04,0,30,,0,,,,,1226,,,,,0,0,,,
2013-07-05,0,30,,0,,,,,1250,,,,,0,0,,,
2013-07-06,0,30,,0,,,,,1274,,,,,0,0,,,
2013-07-07,0,30,,0,,,,,1298,,,,,0,0,,,
2013-07-08,0,29,,0,,,,,1322,,,,,0,0,,,
2013-07-09,0,30,,0,,,,,1346,,,,,0,0,,,
2013-07-10,0,29,,0,,,,,1370,,,,,0,0,,,
2013-07-11,0,29,,0,,,,,1394,,,,,0,0,,,
2013-07-12,0,30,,0,,,,,1418,,,,,0,0,,,
2013-07-13,0,30,,0,,,,,1442,,,,,0,0,,,
2013-07-14,0,30,,0,,,,,1466,,,,,0,0,,,
2013-07-15,0,30,,0,,,,,1490,,,,,0,0,,,
2013-07-16,0,29,,0,,,,,1514,,,,,0,0,,,
2013-07-17,0,29,,0,,,,,1538,,,,,0,0,,,
2013-07-18,0,30,,0,,,,,1562,,,,,0,0,,,
2013-07-19,0,30,,0,,,,,1586,,,,,0,0,,,
2013-07-20,0,30,,0,,,,,1610,,,,,0,0,,,
2013-07-21,0,30,,0,,,,,1634,,,,,0,0,,,
2013-07-22,0,30,,0,,,,,1658,,,,,0,0,,,
2013-07-23,0,30,,0,,,,,1682,,,,,0,0,,,
2013-07-24,0,28,,0,,,,,1706,,,,,0,0,,,
2013-07-25,0,28,,0,,,,,1730,,,,,0,0,,,
2013-07-26,0,28,,0,,,,,1754,,,,,0,0,,,
2013-07-27,0,27,,0,,,,,1778,,,,,0,0,,,
2013-07-28,0,28,,0,,,,,1802,,,,,0,0,,,
2013-07-29,0,28,,0,,,,,1826,,,,,0,0,,,
2013-07-30,0,29,,0,,,,,1850,,,,,0,0,,,
2013-07-31,0,29,,0,,,,,1874,,,,,0,0,,,
2013-08-01,0,29,,0,,,,,1898,,,,,0,0,,,
2013-08-02,0,29,,0,,,,,1922,,,,,0,0,,,
2013-08-03,0,29,,0,,,,,1946,,,,,0,0,,,
2013-08-04,0,28,,0,,,,,1970,,,,,0,0,,,
2013-08-05,0,29,,0,,,,,1994,,,,,0,0,,,
2013-08-06,0,29,,0,,,,,2018,,,,,0,0,,,
2013-08-07,0,29,,0,,,,,2042,,,,,0,0,,,
2013-08-08,0,29,,0,,,,,2066,,,,,0,0,,,
2013-08-09,0,28,,0,,,,,2090,,,,,0,0,,,
2013-08-10,0,29,,0,,,,,2114,,,,,0,0,,,
2013-08-11,0,29,,0,,,,,2138,,,,,0,0,,,
2013-08-12,0,29,,0,,,,,2162,,,,,0,0,,,
2013-08-13,0,28,,0,,,,,2186,,,,,0,0,,,
2013-08-14,0,29,,0,,,,,2210,,,,,0,0,,,
2013-08-15,0,29,,0,,,,,2234,,,,,0,0,,,
2013-08-16,0,29,,0,,,,,2258,,,,,0,0,,,
2013-08-17,0,29,,0,,,,,2282,,,,,0,0,,,
2013-08-18,0,29,,0,,,,,2306,,,,,0,0,,,
2013-08-19,0,29,,0,,,,,2330,,,,,0,0,,,
2013-10-15,0,30,,0,,,,,3698,,,,,0,0,,,
2013-10-16,0,30,,0,,,,,3722,,,,,0,0,,,
2013-10-17,0,30,,0,,,,,3746,,,,,0,0,,,
2013-10-18,0,30,,0,,,,,3770,,,,,0,0,,,
2013-10-19,0,30,,0,,,,,3794,,,,,0,0,,,
2013-10-20,0,30,,0,,,,,3818,,,,,0,0,,,
2013-10-21,0,30,,0,,,,,3842,,,,,0,0,,,
2013-10-22,0,30,,0,,,,,3866,,,,,0,0,,,
2013-10-23,0,30,,0,,,,,3890,,,,,0,0,,,
2013-10-24,0,30,,0,,,,,3914,,,,,0,0,,,
2013-10-25,0,30,,0,,,,,3936,,,,,0,0,,,
2013-10-26,0,30,,0,,,,,3959,,,,,0,0,,,
2013-10-27,0,30,,0,,,,,3984,,,,,0,0,,,
2013-10-28,0,30,,0,,,,,4008,,,,,0,0,,,
2013-10-29,0,30,,0,,,,,4032,,,,,0,0,,,
2013-10-30,0,30,,0,,,,,4056,,,,,0,0,,,
2013-10-31,0,30,,0,,,,,4080,,,,,0,0,,,
2013-11-01,0,30,,0,,,,,4104,,,,,0,0,,,
2013-11-02,0,30,,0,,,,,4128,,,,,0,0,,,
2013-11-03,0,30,,0,,,,,4152,,,,,0,0,,,
2013-11-04,0,30,,0,,,,,4176,,,,,0,0,,,
2013-11-05,0,29,,0,,,,,4201,,,,,0,0,,,
2013-11-06,0,30,,0,,,,,4225,,,,,0,0,,,
2013-11-07,0,29,,0,,,,,4249,,,,,0,0,,,
2013-11-08,0,28,,0,,,,,4272,,,,,0,0,,,
2013-11-09,0,30,,0,,,,,4296,,,,,0,0,,,
2013-11-10,0,30,,0,,,,,4320,,,,,0,0,,,
2013-11-11,0,29,,0,,,,,4345,,,,,0,0,,,
