date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-08-22,0,33,0,0,3,3,0,3,8,0,0,3,0,0,0,0,0,0
2014-08-23,0,33,0,0,3,3,0,3,32,0,0,3,0,0,0,0,0,0
2014-08-24,0,33,0,0,3,3,0,4,56,0,0,4,0,0,0,0,0,0
2014-08-25,0,33,0,0,3,3,0,5,80,0,0,5,0,0,0,0,0,0
2014-08-26,0,34,0,0,3,3,0,6,104,0,0,6,0,0,0,0,0,0
2014-08-27,0,34,0,0,3,3,0,7,128,0,0,7,0,0,0,0,0,0
2014-08-28,0,33,0,0,3,3,0,8,151,0,0,8,0,0,0,0,0,0
2014-08-29,0,33,0,0,4,4,0,10,176,0,0,10,0,0,0,0,0,0
2014-08-30,0,33,42,0,4,4,0,11,200,103,0,11,0,0,0,0,0,0
2014-08-31,0,34,42,0,4,4,0,12,224,103,0,12,0,0,0,0,0,0
2014-09-01,0,33,42,0,4,4,0,13,247,103,0,13,0,0,0,0,0,0
2014-09-02,0,33,42,0,4,4,0,13,272,103,0,13,0,0,0,0,0,0
2014-09-03,0,34,42,0,4,4,0,13,296,103,0,13,0,0,0,0,0,0
2014-09-04,0,33,42,0,4,4,0,14,319,104,0,14,0,0,0,0,0,0
2014-09-05,0,33,42,0,4,4,0,15,343,104,0,15,0,0,0,0,0,0
2014-09-06,0,33,42,0,4,4,0,16,368,104,0,16,0,0,0,0,0,0
2014-09-07,0,33,42,0,4,4,0,17,391,104,0,17,0,0,0,0,0,0
2014-09-08,0,33,42,0,4,4,0,17,415,104,0,17,0,0,0,0,0,0
2014-09-09,0,33,42,0,4,4,0,17,440,104,0,17,0,0,0,0,0,0
2014-09-10,0,33,42,0,4,4,0,17,464,104,0,17,0,0,0,0,0,0
2014-09-11,0,33,42,0,4,4,0,17,488,104,0,17,0,0,0,0,0,0
2014-09-12,0,33,42,0,4,4,0,17,512,104,0,17,0,0,0,0,0,0
2014-09-13,0,33,42,0,4,4,0,17,536,104,0,17,0,0,0,0,0,0
2014-09-14,0,33,42,0,4,4,0,17,559,104,0,17,0,0,0,0,0,0
