date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-06-11,0,34,0,0,4,4,0,4,8,0,0,4,0,0,0,0,0,0
2014-06-12,0,33,0,0,4,4,0,5,32,0,0,5,0,0,0,0,0,0
2014-06-13,0,33,0,0,4,4,0,6,55,0,0,6,0,0,0,0,0,0
2014-06-14,0,31,0,0,4,4,0,7,80,0,0,7,0,0,0,0,0,0
2014-06-15,0,31,42,0,4,4,0,8,104,101,0,8,0,0,0,0,0,0
2014-06-16,0,31,42,0,4,4,0,9,128,102,0,9,0,0,0,0,0,0
2014-06-17,0,31,42,0,4,4,0,10,152,102,0,10,0,0,0,0,0,0
2014-06-18,0,32,42,0,4,4,0,11,176,102,0,11,0,0,0,0,0,0
2014-06-19,0,32,42,0,4,4,0,11,200,102,0,11,0,0,0,0,0,0
2014-06-20,0,30,42,0,4,4,0,11,224,102,0,11,0,0,0,0,0,0
2014-06-21,0,30,42,0,4,4,0,11,248,102,0,11,0,0,0,0,0,0
2014-06-22,0,30,42,0,4,4,0,11,272,102,0,11,0,0,0,0,0,0
2014-06-23,0,29,42,0,4,4,0,11,295,102,0,11,0,0,0,0,0,0
2014-06-24,0,32,42,0,4,4,0,11,320,102,0,11,0,0,0,0,0,0
2014-06-25,0,32,42,0,4,4,0,11,344,102,0,11,0,0,0,0,0,0
2014-06-26,0,32,42,0,4,4,0,11,368,102,0,11,0,0,0,0,0,0
2014-06-27,0,32,42,0,4,4,0,11,392,102,0,11,0,0,0,0,0,0
2014-06-28,0,32,42,0,4,4,0,11,416,102,0,11,0,0,0,0,0,0
2014-06-29,0,32,42,0,4,4,0,11,440,102,0,11,0,0,0,0,0,0
2014-06-30,0,32,42,0,4,4,0,11,464,102,0,11,0,0,0,0,0,0
2014-07-01,0,32,42,0,4,4,0,11,488,102,0,11,0,0,0,0,0,0
2014-07-02,0,32,42,0,4,4,0,11,512,102,0,11,0,0,0,0,0,0
2014-07-03,0,32,42,0,4,4,0,11,536,102,0,11,0,0,0,0,0,0
2014-07-04,0,31,42,0,4,4,0,11,560,102,0,11,0,0,0,0,0,0
2014-07-05,0,31,42,0,4,4,0,11,584,102,0,11,0,0,0,0,0,0
2014-07-06,0,31,42,0,4,4,0,11,608,102,0,11,0,0,0,0,0,0
2014-07-07,0,31,42,0,4,4,0,11,632,102,0,11,0,0,0,0,0,0
2014-07-08,0,31,42,0,4,4,0,11,656,102,0,11,0,0,0,0,0,0
2014-07-09,0,32,42,0,4,4,0,11,680,102,0,11,0,0,0,0,0,0
2014-07-10,0,32,42,0,4,4,0,11,704,102,0,11,0,0,0,0,0,0
2014-07-11,0,31,42,0,4,4,0,11,728,102,0,11,0,0,0,0,0,0
2014-07-12,0,31,42,0,4,4,0,11,752,102,0,11,0,0,0,0,0,0
2014-07-13,0,31,42,0,4,4,0,11,776,102,0,11,0,0,0,0,0,0
2014-07-14,0,31,42,0,4,4,0,11,800,102,0,11,0,0,0,0,0,0
2014-07-15,0,31,42,0,4,4,0,11,824,102,0,11,0,0,0,0,0,0
2014-07-16,0,31,42,0,4,4,0,11,848,102,0,11,0,0,0,0,0,0
2014-07-17,0,31,42,0,4,4,0,11,872,102,0,11,0,0,0,0,0,0
2014-07-18,0,31,42,0,4,4,0,11,896,102,0,11,0,0,0,0,0,0
2014-07-19,0,33,42,0,4,4,0,11,920,102,0,11,0,0,0,0,0,0
2014-07-20,0,33,42,0,4,4,0,11,944,102,0,11,0,0,0,0,0,0
2014-07-21,0,33,42,0,4,4,0,11,968,102,0,11,0,0,0,0,0,0
2014-07-22,0,35,42,0,4,4,0,11,992,102,0,11,0,0,0,0,0,0
2014-07-23,0,29,42,0,4,4,0,11,1016,102,0,11,0,0,0,0,0,0
2014-07-24,0,30,42,0,4,4,0,11,1040,102,0,11,0,0,0,0,0,0
2014-07-25,0,30,42,0,4,4,0,11,1064,102,0,11,0,0,0,0,0,0
2014-07-26,0,29,42,0,4,4,0,11,1088,102,0,11,0,0,0,0,0,0
2014-07-27,0,29,42,0,4,4,0,11,1112,102,0,11,0,0,0,0,0,0
2014-07-28,0,29,42,0,4,4,0,11,1136,102,0,11,0,0,0,0,0,0
2014-07-29,0,29,42,0,4,4,0,11,1160,102,0,11,0,0,0,0,0,0
2014-07-30,0,29,42,0,4,4,0,11,1184,102,0,11,0,0,0,0,0,0
2014-07-31,0,29,42,0,4,4,0,11,1208,102,0,11,0,0,0,0,0,0
2014-08-01,0,28,43,0,4,4,0,11,1232,101,0,11,0,0,0,0,0,0
2014-08-02,0,28,43,0,4,4,0,12,1256,101,0,12,0,0,0,0,0,0
2014-08-03,0,29,43,0,4,4,0,13,1280,101,0,13,0,0,0,0,0,0
2014-08-04,0,28,43,0,4,4,0,14,1304,101,0,14,0,0,0,0,0,0
2014-08-05,0,29,43,0,4,4,0,14,1328,101,0,14,0,0,0,0,0,0
2014-08-06,0,29,43,0,4,4,0,15,1352,101,0,15,0,0,0,0,0,0
2014-08-07,0,28,43,0,4,4,0,16,1376,101,0,16,0,0,0,0,0,0
2014-08-08,0,28,43,0,4,4,0,17,1400,101,0,17,0,0,0,0,0,0
2014-08-09,0,28,43,0,4,4,0,17,1424,101,0,17,0,0,0,0,0,0
2014-08-10,0,37,43,0,4,4,0,18,1448,101,0,18,0,0,0,0,0,0
2014-08-11,0,36,43,0,4,4,0,19,1472,101,0,19,0,0,0,0,0,0
2014-08-12,0,37,43,0,4,4,0,20,1496,101,0,20,0,0,0,0,0,0
2014-08-13,0,31,43,0,4,4,0,20,1520,101,0,20,0,0,0,0,0,0
2014-08-14,0,31,43,0,4,4,0,21,1544,101,0,21,0,0,0,0,0,0
2014-08-15,0,30,43,0,4,4,0,21,1568,101,0,21,0,0,0,0,0,0
2014-08-16,0,30,43,0,4,4,0,22,1592,101,0,22,0,0,0,0,0,0
2014-08-17,0,30,43,0,4,4,0,23,1616,101,0,23,0,0,0,0,0,0
2014-08-18,0,30,43,0,4,4,0,23,1640,101,0,23,0,0,0,0,0,0
2014-08-19,0,30,43,0,4,4,0,24,1664,101,0,24,0,0,0,0,0,0
2014-08-20,0,30,43,0,4,4,0,24,1688,101,0,24,0,0,0,0,0,0
2014-08-21,0,30,43,0,4,4,0,25,1712,101,0,25,0,0,0,0,0,0
2014-08-22,0,29,43,0,4,4,0,26,1736,101,0,26,0,0,0,0,0,0
2014-08-23,0,29,43,0,4,4,0,26,1760,101,0,26,0,0,0,0,0,0
2014-08-24,0,29,43,0,4,4,0,27,1784,101,0,27,0,0,0,0,0,0
2014-08-25,0,29,43,0,4,4,0,28,1808,101,0,28,0,0,0,0,0,0
2014-08-26,0,27,43,0,4,4,0,29,1832,101,0,29,0,0,0,0,0,0
2014-08-27,0,27,42,0,4,4,0,29,1856,101,0,29,0,0,0,0,0,0
2014-08-28,0,28,42,0,4,4,0,29,1880,101,0,29,0,0,0,0,0,0
2014-08-29,0,28,42,0,4,4,0,30,1904,101,0,30,0,0,0,0,0,0
2014-08-30,0,30,42,0,4,4,0,31,1928,101,0,31,0,0,0,0,0,0
2014-08-31,0,28,42,0,4,4,0,32,1952,101,0,32,0,0,0,0,0,0
2014-09-01,0,28,42,0,4,4,0,33,1976,101,0,33,0,0,0,0,0,0
2014-09-02,0,28,42,0,4,4,0,33,2000,101,0,33,0,0,0,0,0,0
2014-09-03,0,28,42,0,4,4,0,33,2024,101,0,33,0,0,0,0,0,0
2014-09-04,0,28,42,0,4,4,0,34,2048,101,0,34,0,0,0,0,0,0
2014-09-05,0,28,42,0,4,4,0,35,2072,101,0,35,0,0,0,0,0,0
2014-09-06,0,29,42,0,4,4,0,35,2096,101,0,35,0,0,0,0,0,0
2014-09-07,0,28,42,0,4,4,0,36,2120,101,0,36,0,0,0,0,0,0
2014-09-08,0,28,42,0,4,4,0,37,2144,101,0,37,0,0,0,0,0,0
2014-09-09,0,27,42,0,4,4,0,38,2168,101,0,38,0,0,0,0,0,0
2014-09-10,0,28,42,0,4,4,0,38,2192,101,0,38,0,0,0,0,0,0
2014-09-11,0,35,42,0,4,4,0,39,2216,101,0,39,0,0,0,0,0,0
2014-09-12,0,35,42,0,4,4,0,40,2240,101,0,40,0,0,0,0,0,0
2014-09-13,0,37,42,0,4,4,0,40,2264,101,0,40,0,0,0,0,0,0
2014-09-14,0,37,42,0,4,4,0,41,2288,101,0,41,0,0,0,0,0,0
2014-09-15,0,37,42,0,4,4,0,42,2312,101,0,42,0,0,0,0,0,0
2014-09-16,0,37,42,0,4,4,0,42,2336,101,0,42,0,0,0,0,0,0
