date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-10-02,0,26,41,0,3,3,0,8,131,100,0,8,0,0,0,0,0,0,False,False,False
2014-10-03,0,26,41,0,3,3,0,8,156,100,0,8,0,0,0,0,0,0,False,False,False
2014-10-04,0,26,41,0,3,3,0,9,179,100,0,9,0,0,0,0,0,0,False,False,False
2014-10-05,0,26,41,0,3,3,0,10,204,100,0,10,0,0,0,0,0,0,False,False,False
2014-10-06,0,26,41,0,3,3,0,11,227,100,0,11,0,0,0,0,0,0,False,False,False
2014-10-07,0,26,41,0,3,3,0,12,251,100,0,12,0,0,0,0,0,0,False,False,False
2014-10-08,0,27,41,0,3,3,0,12,276,100,0,12,0,0,0,0,0,0,False,False,False
2014-10-09,0,26,41,0,3,3,0,13,299,100,0,13,0,0,0,0,0,0,False,False,False
2014-10-10,0,26,41,0,3,3,0,14,323,100,0,14,0,0,0,0,0,0,False,False,False
2014-10-11,0,26,41,0,3,3,0,15,348,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-12,0,27,41,0,3,3,0,15,372,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-13,0,26,41,0,3,3,0,16,395,100,0,16,0,0,0,0,0,0,False,False,False
2014-10-14,0,26,41,0,3,3,0,17,420,100,0,17,0,0,0,0,0,0,False,False,False
2014-10-15,0,25,41,0,3,3,0,18,444,100,0,18,0,0,0,0,0,0,False,False,False
2014-10-16,0,25,41,0,3,3,0,19,467,100,0,19,0,0,0,0,0,0,False,False,False
2014-10-17,0,26,41,0,3,3,0,19,491,100,0,19,0,0,0,0,0,0,False,False,False
2014-10-18,0,26,41,0,3,3,0,20,516,100,0,20,0,0,0,0,0,0,False,False,False
2014-10-19,0,26,41,0,3,3,0,21,539,100,0,21,0,0,0,0,0,0,False,False,False
2014-10-20,0,26,41,0,3,3,0,22,563,100,0,22,0,0,0,0,0,0,False,False,False
2014-10-21,0,26,42,0,3,3,0,22,588,100,0,22,0,0,0,0,0,0,False,False,False
2014-10-22,0,25,42,0,3,3,0,23,612,100,0,23,0,0,0,0,0,0,False,False,False
2014-10-23,0,25,42,0,3,3,0,24,635,100,0,24,0,0,0,0,0,0,False,False,False
2014-10-24,0,24,42,0,3,3,0,25,660,100,0,25,0,0,0,0,0,0,False,False,False
2014-10-25,0,24,42,0,3,3,0,26,684,100,0,26,0,0,0,0,0,0,False,False,False
2014-10-26,0,24,41,0,3,3,0,27,707,100,0,27,0,0,0,0,0,0,False,False,False
2014-10-27,0,24,42,0,3,3,0,28,731,100,0,28,0,0,0,0,0,0,False,False,False
2014-10-28,0,24,41,0,3,3,0,29,756,100,0,29,0,0,0,0,0,0,False,False,False
2014-10-29,0,24,41,0,3,3,0,30,780,100,0,30,0,0,0,0,0,0,False,False,False
2014-10-30,0,24,41,0,3,3,0,31,803,100,0,31,0,0,0,0,0,0,False,False,False
2014-10-31,0,24,42,0,3,3,0,32,828,100,0,32,0,0,0,0,0,0,False,False,False
2014-11-01,0,24,42,0,3,3,0,33,852,100,0,33,0,0,0,0,0,0,False,False,False
2014-11-03,0,24,41,0,3,3,0,35,901,100,0,35,0,0,0,0,0,0,False,False,False
2014-11-04,0,24,41,0,3,3,0,36,924,100,0,36,0,0,0,0,0,0,False,False,False
2014-11-05,0,26,41,0,3,3,0,37,948,100,0,37,0,0,0,0,0,0,False,False,False
2014-11-06,0,24,42,0,3,3,0,38,973,100,0,38,0,0,0,0,0,0,False,False,False
