date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-06-14,0,29,0,0,3,3,0,3,11,0,0,3,0,0,0,0,0,0,False,False,False
2014-06-15,0,30,0,0,3,3,0,4,36,0,0,4,0,0,0,0,0,0,False,False,False
2014-06-16,0,30,0,0,3,3,0,5,60,0,0,5,0,0,0,0,0,0,False,False,False
2014-06-17,0,29,0,0,3,3,0,6,83,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-18,0,29,0,0,3,3,0,6,108,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-19,0,29,0,0,3,3,0,6,132,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-20,0,28,0,0,3,3,0,6,156,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-21,0,28,0,0,3,3,0,6,179,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-22,0,28,0,0,3,3,0,6,204,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-23,0,28,0,0,3,3,0,6,228,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-24,0,29,0,0,3,3,0,6,251,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-25,0,28,0,0,3,3,0,6,276,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-26,0,28,0,0,3,3,0,6,300,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-27,0,28,0,0,3,3,0,6,323,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-28,0,28,0,0,3,3,0,6,348,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-29,0,28,0,0,3,3,0,6,372,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-30,0,28,0,0,3,3,0,6,396,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-01,0,28,0,0,3,3,0,6,420,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-02,0,28,0,0,3,3,0,6,443,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-03,0,28,0,0,3,3,0,6,468,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-04,0,27,0,0,3,3,0,6,492,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-05,0,27,0,0,3,3,0,6,515,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-06,0,27,0,0,3,3,0,6,540,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-07,0,27,0,0,3,3,0,6,564,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-08,0,27,0,0,3,3,0,6,588,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-09,0,28,0,0,3,3,0,6,611,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-10,0,28,0,0,3,3,0,6,636,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-11,0,28,0,0,3,3,0,6,660,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-12,0,28,0,0,3,3,0,6,683,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-13,0,28,0,0,3,3,0,6,708,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-14,0,28,0,0,3,3,0,6,732,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-15,0,28,0,0,3,3,0,6,755,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-16,0,28,0,0,3,3,0,6,779,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-17,0,28,0,0,3,3,0,6,804,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-18,0,28,0,0,3,3,0,6,828,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-19,0,29,0,0,3,3,0,6,851,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-20,0,29,0,0,3,3,0,6,876,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-21,0,29,0,0,3,3,0,6,900,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-22,0,28,0,0,3,3,0,6,923,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-23,0,26,0,0,3,3,0,6,948,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-24,0,26,0,0,3,3,0,6,972,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-25,0,25,0,0,3,3,0,6,995,0,0,6,0,0,0,0,0,0,False,False,False
2014-07-26,0,25,0,0,3,3,0,6,1020,0,0,6,0,0,0,0,0,0,False,False,False
