date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-08-22,0,29,0,0,3,3,0,3,9,0,0,3,0,0,0,0,0,0
2014-08-23,0,29,0,0,3,3,0,4,33,0,0,4,0,0,0,0,0,0
2014-08-24,0,28,0,0,3,3,0,5,56,0,0,5,0,0,0,0,0,0
2014-08-25,0,29,0,0,3,3,0,5,81,0,0,5,0,0,0,0,0,0
2014-08-26,0,28,0,0,3,3,0,6,105,0,0,6,0,0,0,0,0,0
2014-08-27,0,29,0,0,3,3,0,7,129,0,0,7,0,0,0,0,0,0
2014-08-28,0,28,0,0,3,3,0,8,152,0,0,8,0,0,0,0,0,0
2014-08-29,0,29,0,0,3,3,0,9,177,0,0,9,0,0,0,0,0,0
2014-08-30,0,29,0,0,3,3,0,10,201,0,0,10,0,0,0,0,0,0
2014-08-31,0,29,0,0,3,3,0,11,224,0,0,11,0,0,0,0,0,0
2014-09-01,0,29,0,0,3,3,0,11,249,0,0,11,0,0,0,0,0,0
2014-09-02,0,29,0,0,3,3,0,11,273,0,0,11,0,0,0,0,0,0
2014-09-03,0,28,0,0,3,3,0,11,296,0,0,11,0,0,0,0,0,0
2014-09-04,0,28,0,0,3,3,0,11,321,0,0,11,0,0,0,0,0,0
2014-09-05,0,28,0,0,3,3,0,11,345,0,0,11,0,0,0,0,0,0
2014-09-26,0,29,42,0,3,3,0,18,849,108,0,18,0,0,0,0,0,0
2014-09-27,0,28,42,0,3,3,0,18,872,108,0,18,0,0,0,0,0,0
2014-09-28,0,28,42,0,3,3,0,18,897,108,0,18,0,0,0,0,0,0
2014-09-29,0,28,43,0,3,3,0,19,921,108,0,19,0,0,0,0,0,0
2014-09-30,0,28,43,0,3,3,0,19,945,108,0,19,0,0,0,0,0,0
2014-10-01,0,28,43,0,3,3,0,19,969,108,0,19,0,0,0,0,0,0
2014-10-02,0,28,42,0,3,3,0,20,993,108,0,20,0,0,0,0,0,0
2014-10-03,0,27,42,0,3,3,0,20,1017,108,0,20,0,0,0,0,0,0
2014-10-04,0,27,42,0,3,3,0,20,1041,108,0,20,0,0,0,0,0,0
2014-10-05,0,28,42,0,3,3,0,20,1065,108,0,20,0,0,0,0,0,0
2014-10-06,0,28,43,0,3,3,0,21,1089,108,0,21,0,0,0,0,0,0
2014-10-07,0,27,43,0,3,3,0,21,1113,108,0,21,0,0,0,0,0,0
2014-10-08,0,27,43,0,3,3,0,21,1137,108,0,21,0,0,0,0,0,0
2014-10-09,0,27,43,0,3,3,0,21,1161,108,0,21,0,0,0,0,0,0
2014-10-10,0,27,42,0,3,3,0,22,1184,108,0,22,0,0,0,0,0,0
2014-10-11,0,27,42,0,3,3,0,22,1209,108,0,22,0,0,0,0,0,0
2014-10-12,0,27,42,0,3,3,0,22,1233,108,0,22,0,0,0,0,0,0
2014-10-13,0,27,42,0,3,3,0,23,1257,108,0,23,0,0,0,0,0,0
2014-10-14,0,27,42,0,3,3,0,23,1281,106,0,23,0,0,0,0,0,0
2014-10-15,0,27,42,0,3,3,0,23,1305,106,0,23,0,0,0,0,0,0
2014-10-16,0,27,42,0,3,3,0,24,1329,106,0,24,0,0,0,0,0,0
2014-10-17,0,28,42,0,3,3,0,24,1353,108,0,24,0,0,0,0,0,0
2014-10-18,0,28,42,0,3,3,0,25,1377,108,0,25,0,0,0,0,0,0
2014-10-19,0,28,42,0,3,3,0,26,1401,108,0,26,0,0,0,0,0,0
2014-10-20,0,27,41,0,3,3,0,26,1424,108,0,26,0,0,0,0,0,0
2014-10-21,0,27,41,0,3,3,0,27,1449,108,0,27,0,0,0,0,0,0
2014-10-22,0,27,41,0,3,3,0,27,1473,108,0,27,0,0,0,0,0,0
2014-10-23,0,28,41,0,3,3,0,28,1497,108,0,28,0,0,0,0,0,0
2014-10-24,0,28,42,0,3,3,0,29,1521,107,0,29,0,0,0,0,0,0
2014-10-25,0,27,42,0,3,3,0,29,1545,107,0,29,0,0,0,0,0,0
2014-10-26,0,28,42,0,3,3,0,29,1569,107,0,29,0,0,0,0,0,0
2014-10-27,0,27,42,0,3,3,0,29,1593,108,0,29,0,0,0,0,0,0
2014-10-28,0,27,41,0,3,3,0,29,1617,108,0,29,0,0,0,0,0,0
2014-10-29,0,27,41,0,3,3,0,30,1641,108,0,30,0,0,0,0,0,0
2014-10-30,0,27,41,0,3,3,0,31,1665,108,0,31,0,0,0,0,0,0
2014-10-31,0,27,41,0,3,3,0,31,1689,108,0,31,0,0,0,0,0,0
2014-11-01,0,27,41,0,3,3,0,31,1713,108,0,31,0,0,0,0,0,0
2014-11-03,0,27,41,0,3,3,0,31,1762,108,0,31,0,0,0,0,0,0
2014-11-04,0,28,41,0,3,3,0,31,1786,108,0,31,0,0,0,0,0,0
2014-11-05,0,29,41,0,3,3,0,31,1810,108,0,31,0,0,0,0,0,0
2014-11-06,0,28,41,0,3,3,0,31,1834,108,0,31,0,0,0,0,0,0
2014-11-07,0,28,41,0,3,3,0,31,1858,108,0,31,0,0,0,0,0,0
2014-11-08,0,28,41,0,3,3,0,31,1882,108,0,31,0,0,0,0,0,0
2014-11-09,0,27,41,0,3,3,0,31,1906,108,0,31,0,0,0,0,0,0
