date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-06-20,0,28,42,0,1,1,0,2,31,99,0,2,0,0,0,0,0,0,False,False,False
2014-06-21,0,28,42,0,1,1,0,2,55,99,0,2,0,0,0,0,0,0,False,False,False
2014-06-22,0,28,42,0,1,1,0,3,79,99,0,3,0,0,0,0,0,0,False,False,False
2014-06-23,0,28,42,0,1,1,0,4,103,99,0,4,0,0,0,0,0,0,False,False,False
2014-06-24,0,27,42,0,1,1,0,5,127,99,0,5,0,0,0,0,0,0,False,False,False
2014-06-25,0,26,42,0,1,1,0,6,151,99,0,6,0,0,0,0,0,0,False,False,False
2014-06-26,0,28,42,0,1,1,0,7,175,99,0,7,0,0,0,0,0,0,False,False,False
2014-06-27,0,29,42,0,1,1,0,8,200,99,0,8,0,0,0,0,0,0,False,False,False
2014-06-28,0,28,42,0,1,1,0,9,223,99,0,9,0,0,0,0,0,0,False,False,False
2014-06-29,0,28,42,0,1,1,0,10,247,99,0,10,0,0,0,0,0,0,False,False,False
2014-06-30,0,28,42,0,1,1,0,11,272,99,0,11,0,0,0,0,0,0,False,False,False
2014-07-01,0,28,42,0,1,1,0,12,295,99,0,12,0,0,0,0,0,0,False,False,False
2014-07-02,0,28,42,0,1,1,0,13,319,99,0,13,0,0,0,0,0,0,False,False,False
2014-07-03,0,28,42,0,1,1,0,14,343,99,0,14,0,0,0,0,0,0,False,False,False
2014-07-04,0,28,42,0,1,1,0,14,367,99,0,14,0,0,0,0,0,0,False,False,False
2014-07-05,0,28,42,0,1,1,0,15,391,99,0,15,0,0,0,0,0,0,False,False,False
2014-07-06,0,28,42,0,1,1,0,16,415,99,0,16,0,0,0,0,0,0,False,False,False
2014-07-07,0,27,42,0,1,1,0,17,440,99,0,17,0,0,0,0,0,0,False,False,False
2014-07-08,0,28,42,0,1,1,0,18,463,99,0,18,0,0,0,0,0,0,False,False,False
2014-07-09,0,28,42,0,1,1,0,19,487,99,0,19,0,0,0,0,0,0,False,False,False
2014-07-10,0,29,42,0,1,1,0,20,511,99,0,20,0,0,0,0,0,0,False,False,False
2014-07-11,0,27,42,0,1,1,0,21,535,99,0,21,0,0,0,0,0,0,False,False,False
2014-07-12,0,27,42,0,1,1,0,22,559,99,0,22,0,0,0,0,0,0,False,False,False
