date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-07-16,0,37,42,0,4,4,0,5,107,108,0,5,0,0,0,0,0,0,False,False,False
2014-07-17,0,37,42,0,4,4,0,6,131,108,0,6,0,0,0,0,0,0,False,False,False
2014-07-18,0,37,42,0,4,4,0,7,156,108,0,7,0,0,0,0,0,0,False,False,False
2014-07-19,0,38,42,0,4,4,0,8,179,108,0,8,0,0,0,0,0,0,False,False,False
2014-07-20,0,38,42,0,4,4,0,9,203,108,0,9,0,0,0,0,0,0,False,False,False
2014-07-21,0,38,42,0,4,4,0,9,227,108,0,9,0,0,0,0,0,0,False,False,False
2014-07-22,0,40,42,0,4,4,0,9,251,108,0,9,0,0,0,0,0,0,False,False,False
2014-07-23,0,34,42,0,4,4,0,9,275,108,0,9,0,0,0,0,0,0,False,False,False
2014-07-24,0,34,42,0,4,4,0,9,299,108,0,9,0,0,0,0,0,0,False,False,False
2014-07-25,0,33,42,0,4,4,0,9,324,108,0,9,0,0,0,0,0,0,False,False,False
2014-07-26,0,33,42,0,4,4,0,9,347,108,0,9,0,0,0,0,0,0,False,False,False
2014-07-27,0,34,42,0,4,4,0,9,371,108,0,9,0,0,0,0,0,0,False,False,False
2014-07-28,0,33,42,0,4,4,0,9,396,108,0,9,0,0,0,0,0,0,False,False,False
2014-07-29,0,34,41,0,4,4,0,10,419,109,0,10,0,0,0,0,0,0,False,False,False
2014-07-30,0,34,41,0,4,4,0,11,443,109,0,11,0,0,0,0,0,0,False,False,False
2014-07-31,0,35,41,0,4,4,0,11,468,109,0,11,0,0,0,0,0,0,False,False,False
2014-08-01,0,35,41,0,4,4,0,11,491,109,0,11,0,0,0,0,0,0,False,False,False
2014-08-02,0,35,41,0,4,4,0,11,515,109,0,11,0,0,0,0,0,0,False,False,False
2014-08-03,0,35,41,0,4,4,0,11,539,109,0,11,0,0,0,0,0,0,False,False,False
2014-08-04,0,34,41,0,4,4,0,11,564,109,0,11,0,0,0,0,0,0,False,False,False
2014-08-05,0,35,41,0,4,4,0,11,587,109,0,11,0,0,0,0,0,0,False,False,False
2014-08-06,0,34,41,0,4,4,0,11,611,109,0,11,0,0,0,0,0,0,False,False,False
2014-08-07,0,34,41,0,4,4,0,11,636,109,0,11,0,0,0,0,0,0,False,False,False
2014-08-08,0,34,41,0,4,4,0,11,659,109,0,11,0,0,0,0,0,0,False,False,False
2014-08-09,0,34,41,0,4,4,0,11,683,109,0,11,0,0,0,0,0,0,False,False,False
2014-08-10,0,37,41,0,4,4,0,11,708,109,0,11,0,0,0,0,0,0,False,False,False
2014-08-11,0,37,41,0,4,4,0,11,731,109,0,11,0,0,0,0,0,0,False,False,False
2014-08-12,0,37,41,0,4,4,0,11,755,109,0,11,0,0,0,0,0,0,False,False,False
2014-08-20,0,35,41,0,4,4,0,17,947,110,0,17,0,0,0,0,0,0,False,False,False
2014-08-21,0,34,41,0,4,4,0,17,971,110,0,17,0,0,0,0,0,0,False,False,False
2014-08-22,0,35,41,0,4,4,0,18,996,110,0,18,0,0,0,0,0,0,False,False,False
2014-08-23,0,36,41,0,4,4,0,18,1019,110,0,18,0,0,0,0,0,0,False,False,False
2014-08-24,0,34,41,0,4,4,0,18,1043,110,0,18,0,0,0,0,0,0,False,False,False
2014-08-25,0,35,41,0,4,4,0,18,1068,110,0,18,0,0,0,0,0,0,False,False,False
2014-08-26,0,33,41,0,4,4,0,18,1092,110,0,18,0,0,0,0,0,0,False,False,False
2014-08-27,0,34,41,0,4,4,0,18,1115,110,0,18,0,0,0,0,0,0,False,False,False
2014-08-28,0,34,41,0,4,4,0,18,1139,110,0,18,0,0,0,0,0,0,False,False,False
2014-08-29,0,34,41,0,4,4,0,19,1164,110,0,19,0,0,0,0,0,0,False,False,False
2014-08-30,0,33,41,0,4,4,0,20,1187,110,0,20,0,0,0,0,0,0,False,False,False
2014-08-31,0,34,41,0,4,4,0,20,1211,110,0,20,0,0,0,0,0,0,False,False,False
2014-09-01,0,34,41,0,4,4,0,20,1236,110,0,20,0,0,0,0,0,0,False,False,False
2014-09-02,0,34,41,0,4,4,0,20,1259,110,0,20,0,0,0,0,0,0,False,False,False
2014-09-03,0,34,41,0,4,4,0,20,1283,110,0,20,0,0,0,0,0,0,False,False,False
2014-09-04,0,34,42,0,4,4,0,21,1308,111,0,21,0,0,0,0,0,0,False,False,False
2014-09-05,0,34,41,0,4,4,0,22,1332,110,0,22,0,0,0,0,0,0,False,False,False
2014-09-06,0,34,41,0,4,4,0,23,1355,109,0,23,0,0,0,0,0,0,False,False,False
2014-09-07,0,34,41,0,4,4,0,24,1380,109,0,24,0,0,0,0,0,0,False,False,False
2014-09-08,0,34,42,0,4,4,0,25,1404,109,0,25,0,0,0,0,0,0,False,False,False
2014-09-09,0,33,41,0,4,4,0,26,1427,109,0,26,0,0,0,0,0,0,False,False,False
2014-09-10,0,34,41,0,4,4,0,27,1451,109,0,27,0,0,0,0,0,0,False,False,False
2014-09-11,0,35,41,0,4,4,0,28,1476,109,0,28,0,0,0,0,0,0,False,False,False
2014-09-12,0,35,42,0,4,4,0,29,1499,109,0,29,0,0,0,0,0,0,False,False,False
2014-09-13,0,36,42,0,4,4,0,30,1523,109,0,30,0,0,0,0,0,0,False,False,False
2014-09-14,0,37,41,0,4,4,0,31,1548,109,0,31,0,0,0,0,0,0,False,False,False
2014-09-15,0,37,41,0,4,4,0,32,1572,109,0,32,0,0,0,0,0,0,False,False,False
2014-09-16,0,36,41,0,4,4,0,33,1595,109,0,33,0,0,0,0,0,0,False,False,False
