date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-11-14,0,28,41,0,11,11,0,164,3747,103,0,164,521,0,0,0,0,0
2014-11-15,0,27,42,0,11,11,0,164,3771,103,0,164,521,0,0,0,0,0
2014-11-16,0,27,42,0,11,11,0,164,3795,103,0,164,521,0,0,0,0,0
2014-11-17,0,27,42,0,11,11,0,164,3819,103,0,164,521,0,0,0,0,0
2014-11-18,0,27,42,0,11,11,0,164,3843,103,0,164,521,0,0,0,0,0
2014-11-19,0,27,42,0,11,11,0,164,3867,103,0,164,521,0,0,0,0,0
2014-11-20,0,27,42,0,11,11,0,164,3891,104,0,164,521,0,0,0,0,0
2014-11-21,0,27,41,0,11,11,0,164,3915,103,0,164,521,0,0,0,0,0
2014-11-22,0,27,42,0,11,11,0,164,3939,103,0,164,521,0,0,0,0,0
2014-11-23,0,27,42,0,11,11,0,164,3963,103,0,164,521,0,0,0,0,0
2014-11-24,0,27,42,0,11,11,0,164,3987,103,0,164,521,0,0,0,0,0
2014-11-25,0,27,42,0,11,11,0,164,4011,103,0,164,521,0,0,0,0,0
2014-11-26,0,28,40,0,11,11,0,164,4035,103,0,164,521,0,0,0,0,0
2014-11-27,0,27,42,0,11,11,0,164,4059,104,0,164,521,0,0,0,0,0
2014-11-28,0,27,41,0,11,11,0,164,4083,103,0,164,521,0,0,0,0,0
2014-11-29,0,27,42,0,11,11,0,164,4107,103,0,164,521,0,0,0,0,0
2014-11-30,0,27,42,0,11,11,0,164,4131,103,0,164,521,0,0,0,0,0
2014-12-01,0,27,42,0,11,11,0,164,4155,103,0,164,521,0,0,0,0,0
2014-12-02,0,27,41,0,11,11,0,164,4179,103,0,164,521,0,0,0,0,0
2014-12-03,0,27,41,0,11,11,0,164,4203,103,0,164,521,0,0,0,0,0
2014-12-04,0,27,42,0,11,11,0,164,4227,103,0,164,521,0,0,0,0,0
2014-12-05,0,27,41,0,11,11,0,164,4251,103,0,164,521,0,0,0,0,0
2014-12-06,0,27,42,0,11,11,0,164,4275,103,0,164,521,0,0,0,0,0
2014-12-07,0,27,40,0,11,11,0,164,4299,103,0,164,521,0,0,0,0,0
2014-12-08,0,27,41,0,11,11,0,164,4323,103,0,164,521,0,0,0,0,0
2014-12-09,0,27,42,0,11,11,0,164,4347,103,0,164,521,0,0,0,0,0
2014-12-10,0,27,41,0,11,11,0,164,4371,103,0,164,521,0,0,0,0,0
2014-12-11,0,28,42,0,11,11,0,164,4395,102,0,164,521,0,0,0,0,0
2014-12-12,0,27,42,0,11,11,0,164,4419,103,0,164,521,0,0,0,0,0
2014-12-13,0,29,41,0,11,11,0,164,4443,102,0,164,521,0,0,0,0,0
2014-12-14,0,27,41,0,11,11,0,164,4467,103,0,164,521,0,0,0,0,0
2014-12-15,0,27,42,0,11,11,0,164,4491,103,0,164,521,0,0,0,0,0
2014-12-16,0,27,42,0,12,12,0,165,4515,103,0,165,521,0,0,0,0,0
2014-12-17,0,27,43,0,12,12,0,165,4539,103,0,165,521,0,0,0,0,0
2014-12-18,0,28,43,0,13,13,0,166,4563,103,0,166,521,0,0,0,0,0
2014-12-19,0,29,43,0,13,13,0,166,4586,103,0,166,521,0,0,0,0,0
2014-12-20,0,29,43,0,13,13,0,166,4611,103,0,166,521,0,0,0,0,0
2014-12-21,0,29,43,0,13,13,0,166,4635,103,0,166,521,0,0,0,0,0
2014-12-22,0,29,43,0,13,13,0,166,4658,103,0,166,521,0,0,0,0,0
2014-12-23,0,29,43,0,13,13,0,166,4682,103,0,166,521,0,0,0,0,0
