date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-06-07,0,31,0,0,3,3,0,3,8,0,0,3,0,0,0,0,0,0,False,False,False
2014-06-08,0,31,0,0,3,3,0,4,32,0,0,4,0,0,0,0,0,0,False,False,False
2014-06-09,0,30,0,0,3,3,0,4,56,0,0,4,0,0,0,0,0,0,False,False,False
2014-06-10,0,30,0,0,3,3,0,5,80,0,0,5,0,0,0,0,0,0,False,False,False
2014-06-11,0,31,0,0,3,3,0,6,104,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-12,0,31,0,0,3,3,0,6,128,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-13,0,30,0,0,3,3,0,6,152,0,0,6,0,0,0,0,0,0,False,False,False
2014-06-14,0,31,42,0,3,3,0,7,176,100,0,7,0,0,0,0,0,0,False,False,False
2014-06-15,0,31,42,0,3,3,0,8,201,100,0,8,0,0,0,0,0,0,False,False,False
2014-06-16,0,29,42,0,3,3,0,8,224,100,0,8,0,0,0,0,0,0,False,False,False
2014-06-17,0,29,42,0,3,3,0,8,248,100,0,8,0,0,0,0,0,0,False,False,False
2014-06-18,0,31,42,0,3,3,0,8,273,100,0,8,0,0,0,0,0,0,False,False,False
