date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-08-22,0,25,0,0,1,1,0,1,12,0,0,1,0,0,0,0,0,0,False,False,False
2014-08-23,0,25,0,0,1,1,0,2,35,0,0,2,0,0,0,0,0,0,False,False,False
2014-08-24,0,24,0,0,1,1,0,3,60,0,0,3,0,0,0,0,0,0,False,False,False
2014-08-25,0,25,0,0,1,1,0,3,84,0,0,3,0,0,0,0,0,0,False,False,False
2014-08-26,0,26,0,0,1,1,0,4,108,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-27,0,26,0,0,1,1,0,5,132,0,0,5,0,0,0,0,0,0,False,False,False
2014-08-28,0,26,0,0,1,1,0,6,156,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-29,0,26,0,0,1,1,0,6,180,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-30,0,26,0,0,1,1,0,7,203,0,0,7,0,0,0,0,0,0,False,False,False
2014-08-31,0,26,0,0,1,1,0,8,228,0,0,8,0,0,0,0,0,0,False,False,False
2014-09-01,0,26,0,0,1,1,0,9,252,0,0,9,0,0,0,0,0,0,False,False,False
2014-09-02,0,26,0,0,1,1,0,9,275,0,0,9,0,0,0,0,0,0,False,False,False
2014-09-03,0,26,0,0,1,1,0,9,300,0,0,9,0,0,0,0,0,0,False,False,False
2014-09-04,0,26,0,0,1,1,0,9,324,0,0,9,0,0,0,0,0,0,False,False,False
2014-09-05,0,26,0,0,1,1,0,9,348,0,0,9,0,0,0,0,0,0,False,False,False
2014-09-26,0,27,42,0,1,1,0,27,852,100,0,27,0,0,0,0,0,0,False,False,False
2014-09-27,0,25,42,0,1,1,0,28,876,100,0,28,0,0,0,0,0,0,False,False,False
2014-09-28,0,25,42,0,1,1,0,28,900,100,0,28,0,0,0,0,0,0,False,False,False
2014-09-29,0,25,42,0,1,1,0,28,924,99,0,28,0,0,0,0,0,0,False,False,False
2014-09-30,0,25,43,0,1,1,0,29,948,99,0,29,0,0,0,0,0,0,False,False,False
2014-10-01,0,25,43,0,1,1,0,29,972,100,0,29,0,0,0,0,0,0,False,False,False
2014-10-02,0,24,43,0,1,1,0,30,996,100,0,30,0,0,0,0,0,0,False,False,False
2014-10-03,0,24,43,0,1,1,0,31,1020,100,0,31,0,0,0,0,0,0,False,False,False
2014-10-04,0,24,41,0,1,1,0,32,1044,100,0,32,0,0,0,0,0,0,False,False,False
2014-10-05,0,24,41,0,1,1,0,32,1068,100,0,32,0,0,0,0,0,0,False,False,False
2014-10-06,0,25,41,0,1,1,0,32,1092,100,0,32,0,0,0,0,0,0,False,False,False
2014-10-07,0,24,41,0,1,1,0,32,1116,100,0,32,0,0,0,0,0,0,False,False,False
2014-10-08,0,25,42,0,1,1,0,33,1140,100,0,33,0,0,0,0,0,0,False,False,False
2014-10-09,0,25,42,0,1,1,0,33,1164,100,0,33,0,0,0,0,0,0,False,False,False
2014-10-10,0,25,41,0,1,1,0,34,1188,100,0,34,0,0,0,0,0,0,False,False,False
2014-10-11,0,25,41,0,1,1,0,34,1212,100,0,34,0,0,0,0,0,0,False,False,False
2014-10-12,0,25,42,0,1,1,0,35,1236,100,0,35,0,0,0,0,0,0,False,False,False
2014-10-13,0,25,42,0,1,1,0,35,1260,100,0,35,0,0,0,0,0,0,False,False,False
2014-10-14,0,25,43,0,1,1,0,36,1284,100,0,36,0,0,0,0,0,0,False,False,False
2014-10-15,0,25,43,0,1,1,0,36,1308,100,0,36,0,0,0,0,0,0,False,False,False
