date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-08-30,0,33,42,0,3,3,0,4,54,102,0,4,0,0,0,0,0,0,False,False,False
2014-08-31,0,29,42,0,3,3,0,5,78,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-01,0,29,42,0,3,3,0,5,100,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-02,0,29,42,0,3,3,0,5,126,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-03,0,29,42,0,3,3,0,5,150,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-04,0,29,42,0,3,3,0,5,173,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-05,0,29,42,0,3,3,0,5,198,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-06,0,29,42,0,3,3,0,5,222,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-07,0,29,42,0,3,3,0,5,245,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-08,0,29,42,0,3,3,0,5,270,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-09,0,27,42,0,3,3,0,5,294,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-10,0,29,42,0,3,3,0,5,318,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-11,0,34,42,0,3,3,0,5,341,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-12,0,34,42,0,3,3,0,5,366,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-13,0,35,42,0,3,3,0,5,390,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-14,0,35,42,0,3,3,0,5,413,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-15,0,35,42,0,3,3,0,5,438,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-16,0,35,42,0,3,3,0,5,462,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-17,0,35,42,0,3,3,0,5,485,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-18,0,35,42,0,3,3,0,5,510,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-19,0,35,42,0,3,3,0,5,534,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-20,0,35,42,0,3,3,0,5,557,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-21,0,35,42,0,3,3,0,5,581,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-22,0,34,42,0,3,3,0,5,606,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-23,0,35,42,0,3,3,0,5,630,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-24,0,31,42,0,3,3,0,5,653,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-25,0,28,42,0,3,3,0,5,678,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-26,0,28,42,0,3,3,0,5,702,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-27,0,28,42,0,3,3,0,5,725,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-28,0,28,42,0,3,3,0,5,750,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-29,0,28,42,0,3,3,0,5,774,102,0,5,0,0,0,0,0,0,False,False,False
2014-09-30,0,28,42,0,3,3,0,5,797,102,0,5,0,0,0,0,0,0,False,False,False
2014-10-01,0,29,42,0,3,3,0,5,822,102,0,5,0,0,0,0,0,0,False,False,False
2014-10-02,0,28,42,0,3,3,0,5,846,102,0,5,0,0,0,0,0,0,False,False,False
