date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-06-07,0,34,0,0,3,3,0,3,9,0,0,3,0,0,0,0,0,0
2014-06-08,0,34,0,0,3,3,0,4,33,0,0,4,0,0,0,0,0,0
2014-06-09,0,34,0,0,3,3,0,4,57,0,0,4,0,0,0,0,0,0
2014-06-10,0,34,0,0,3,3,0,4,81,0,0,4,0,0,0,0,0,0
2014-06-11,0,36,0,0,3,3,0,5,105,0,0,5,0,0,0,0,0,0
2014-06-12,0,35,42,0,3,3,0,6,129,100,0,6,0,0,0,0,0,0
2014-06-13,0,35,42,0,3,3,0,7,153,100,0,7,0,0,0,0,0,0
2014-06-14,0,36,42,0,3,3,0,7,177,100,0,7,0,0,0,0,0,0
2014-06-15,0,36,42,0,3,3,0,7,201,100,0,7,0,0,0,0,0,0
2014-06-16,0,36,42,0,3,3,0,7,225,100,0,7,0,0,0,0,0,0
2014-06-17,0,35,42,0,3,3,0,7,249,100,0,7,0,0,0,0,0,0
2014-06-18,0,36,42,0,3,3,0,7,273,100,0,7,0,0,0,0,0,0
2014-06-19,0,36,42,0,3,3,0,7,297,100,0,7,0,0,0,0,0,0
2014-06-20,0,33,42,0,3,3,0,7,321,100,0,7,0,0,0,0,0,0
2014-06-21,0,33,42,0,3,3,0,7,345,100,0,7,0,0,0,0,0,0
2014-06-22,0,33,42,0,3,3,0,7,369,100,0,7,0,0,0,0,0,0
2014-06-23,0,33,42,0,3,3,0,7,393,100,0,7,0,0,0,0,0,0
2014-06-24,0,36,42,0,3,3,0,7,417,100,0,7,0,0,0,0,0,0
2014-06-25,0,36,42,0,3,3,0,7,441,100,0,7,0,0,0,0,0,0
2014-06-26,0,35,42,0,3,3,0,7,465,100,0,7,0,0,0,0,0,0
2014-06-27,0,35,42,0,3,3,0,7,489,100,0,7,0,0,0,0,0,0
2014-06-28,0,35,42,0,3,3,0,7,513,100,0,7,0,0,0,0,0,0
2014-06-29,0,35,42,0,3,3,0,7,537,100,0,7,0,0,0,0,0,0
2014-06-30,0,35,42,0,3,3,0,7,561,100,0,7,0,0,0,0,0,0
2014-07-01,0,36,42,0,3,3,0,7,585,100,0,7,0,0,0,0,0,0
2014-07-02,0,36,42,0,3,3,0,7,609,100,0,7,0,0,0,0,0,0
2014-07-03,0,35,42,0,3,3,0,7,633,100,0,7,0,0,0,0,0,0
2014-07-04,0,34,42,0,3,3,0,7,657,100,0,7,0,0,0,0,0,0
2014-07-05,0,34,42,0,3,3,0,7,681,100,0,7,0,0,0,0,0,0
2014-07-06,0,35,42,0,3,3,0,7,705,100,0,7,0,0,0,0,0,0
2014-07-07,0,35,42,0,3,3,0,7,729,100,0,7,0,0,0,0,0,0
2014-07-08,0,34,42,0,3,3,0,7,753,100,0,7,0,0,0,0,0,0
2014-07-09,0,33,42,0,3,3,0,7,777,100,0,7,0,0,0,0,0,0
2014-07-10,0,34,42,0,3,3,0,7,801,100,0,7,0,0,0,0,0,0
2014-07-11,0,34,42,0,3,3,0,7,825,100,0,7,0,0,0,0,0,0
2014-07-12,0,34,42,0,3,3,0,7,849,100,0,7,0,0,0,0,0,0
2014-07-13,0,34,42,0,3,3,0,7,873,100,0,7,0,0,0,0,0,0
2014-07-14,0,35,42,0,3,3,0,7,897,100,0,7,0,0,0,0,0,0
2014-07-15,0,34,42,0,3,3,0,7,921,100,0,7,0,0,0,0,0,0
