date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-08-21,0,32,42,0,3,3,0,4,31,102,0,4,0,0,0,0,0,0
2014-08-22,0,26,42,0,3,3,0,5,54,102,0,5,0,0,0,0,0,0
2014-08-23,0,26,42,0,3,3,0,6,78,102,0,6,0,0,0,0,0,0
2014-08-24,0,26,42,0,3,3,0,7,102,102,0,7,0,0,0,0,0,0
2014-08-25,0,27,42,0,3,3,0,7,126,102,0,7,0,0,0,0,0,0
2014-08-26,0,25,42,0,3,3,0,8,150,102,0,8,0,0,0,0,0,0
2014-08-27,0,25,42,0,3,3,0,9,174,102,0,9,0,0,0,0,0,0
2014-08-28,0,25,42,0,3,3,0,10,199,102,0,10,0,0,0,0,0,0
2014-08-29,0,25,42,0,3,3,0,11,222,102,0,11,0,0,0,0,0,0
2014-10-08,0,25,42,0,3,3,0,20,1182,103,0,20,0,0,0,0,0,0
2014-10-09,0,24,42,0,3,3,0,20,1207,104,0,20,0,0,0,0,0,0
2014-10-10,0,25,42,0,3,3,0,21,1230,104,0,21,0,0,0,0,0,0
2014-10-11,0,24,42,0,3,3,0,21,1254,104,0,21,0,0,0,0,0,0
2014-10-12,0,25,42,0,3,3,0,22,1279,104,0,22,0,0,0,0,0,0
2014-10-13,0,24,42,0,3,3,0,22,1302,104,0,22,0,0,0,0,0,0
2014-10-14,0,24,42,0,3,3,0,23,1326,104,0,23,0,0,0,0,0,0
2014-10-15,0,23,42,0,3,3,0,23,1350,104,0,23,0,0,0,0,0,0
2014-10-16,0,24,42,0,3,3,0,23,1375,104,0,23,0,0,0,0,0,0
2014-10-17,0,24,42,0,3,3,0,23,1398,104,0,23,0,0,0,0,0,0
2014-10-18,0,24,42,0,3,3,0,24,1422,104,0,24,0,0,0,0,0,0
2014-10-19,0,24,42,0,3,3,0,25,1447,104,0,25,0,0,0,0,0,0
2014-10-20,0,23,42,0,3,3,0,25,1470,104,0,25,0,0,0,0,0,0
2014-10-21,0,24,42,0,3,3,0,25,1494,104,0,25,0,0,0,0,0,0
2014-10-22,0,24,41,0,3,3,0,26,1518,104,0,26,0,0,0,0,0,0
2014-10-23,0,24,42,0,3,3,0,27,1542,103,0,27,0,0,0,0,0,0
2014-10-24,0,24,42,0,3,3,0,27,1566,103,0,27,0,0,0,0,0,0
2014-10-25,0,24,42,0,3,3,0,27,1590,103,0,27,0,0,0,0,0,0
2014-10-26,0,24,42,0,3,3,0,27,1615,103,0,27,0,0,0,0,0,0
2014-10-27,0,24,42,0,3,3,0,27,1638,104,0,27,0,0,0,0,0,0
2014-10-28,0,24,42,0,3,3,0,27,1662,104,0,27,0,0,0,0,0,0
2014-10-29,0,24,42,0,3,3,0,27,1687,104,0,27,0,0,0,0,0,0
2014-10-30,0,24,40,0,3,3,0,28,1710,104,0,28,0,0,0,0,0,0
2014-10-31,0,24,40,0,3,3,0,28,1734,104,0,28,0,0,0,0,0,0
2014-11-01,0,24,40,0,3,3,0,28,1758,104,0,28,0,0,0,0,0,0
2014-11-03,0,24,42,0,3,3,0,29,1807,104,0,29,0,0,0,0,0,0
2014-11-04,0,24,42,0,3,3,0,29,1831,104,0,29,0,0,0,0,0,0
2014-11-05,0,29,42,0,3,3,0,29,1855,104,0,29,0,0,0,0,0,0
2014-11-06,0,25,42,0,3,3,0,30,1879,104,0,30,0,0,0,0,0,0
2014-11-07,0,25,42,0,3,3,0,30,1904,104,0,30,0,0,0,0,0,0
2014-11-08,0,25,42,0,3,3,0,30,1927,104,0,30,0,0,0,0,0,0
2014-11-09,0,24,42,0,3,3,0,31,1951,104,0,31,0,0,0,0,0,0
2014-11-10,0,24,42,0,3,3,0,31,1976,104,0,31,0,0,0,0,0,0
2014-11-11,0,25,42,0,3,3,0,31,2000,104,0,31,0,0,0,0,0,0
2014-11-12,0,24,41,0,3,3,0,32,2023,104,0,32,0,0,0,0,0,0
2014-11-13,0,24,41,0,3,3,0,33,2047,104,0,33,0,0,0,0,0,0
2014-11-14,0,24,42,0,4,4,0,34,2071,102,0,34,0,0,0,0,0,0
2014-11-15,0,24,42,0,4,4,0,35,2095,102,0,35,0,0,0,0,0,0
2014-11-16,0,24,42,0,4,4,0,36,2119,104,0,36,0,0,0,0,0,0
