date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-08-13,0,30,0,0,3,3,0,3,6,0,0,3,0,0,0,0,0,0,False,False,False
2014-08-14,0,31,0,0,3,3,0,4,31,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-15,0,31,0,0,3,3,0,5,54,0,0,5,0,0,0,0,0,0,False,False,False
2014-08-16,0,30,0,0,3,3,0,6,78,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-17,0,29,0,0,3,3,0,6,102,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-18,0,31,0,0,3,3,0,6,127,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-19,0,30,0,0,3,3,0,6,150,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-20,0,30,0,0,3,3,0,6,174,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-21,0,31,0,0,3,3,0,6,198,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-22,0,29,0,0,3,3,0,6,222,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-23,0,29,0,0,3,3,0,6,246,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-24,0,28,0,0,3,3,0,6,270,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-25,0,29,0,0,3,3,0,6,294,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-26,0,25,0,0,3,3,0,6,318,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-27,0,25,0,0,3,3,0,6,342,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-28,0,26,42,0,3,3,0,6,359,104,0,6,0,0,0,0,0,0,False,False,False
2014-10-04,0,24,41,0,3,3,0,12,1255,104,0,12,0,0,0,0,0,0,False,False,False
2014-10-05,0,24,41,0,3,3,0,12,1278,104,0,12,0,0,0,0,0,0,False,False,False
2014-10-06,0,24,41,0,3,3,0,12,1302,104,0,12,0,0,0,0,0,0,False,False,False
2014-10-07,0,24,41,0,3,3,0,12,1326,104,0,12,0,0,0,0,0,0,False,False,False
2014-10-08,0,24,41,0,3,3,0,13,1350,104,0,13,0,0,0,0,0,0,False,False,False
2014-10-09,0,24,41,0,3,3,0,13,1374,104,0,13,0,0,0,0,0,0,False,False,False
2014-10-10,0,24,41,0,3,3,0,13,1398,104,0,13,0,0,0,0,0,0,False,False,False
2014-10-11,0,24,41,0,3,3,0,13,1423,104,0,13,0,0,0,0,0,0,False,False,False
2014-10-12,0,24,41,0,3,3,0,13,1446,104,0,13,0,0,0,0,0,0,False,False,False
2014-10-13,0,24,41,0,3,3,0,13,1470,104,0,13,0,0,0,0,0,0,False,False,False
2014-10-14,0,23,42,0,3,3,0,14,1495,104,0,14,0,0,0,0,0,0,False,False,False
2014-10-15,0,23,42,0,3,3,0,15,1518,104,0,15,0,0,0,0,0,0,False,False,False
2014-10-16,0,23,42,0,3,3,0,15,1542,104,0,15,0,0,0,0,0,0,False,False,False
2014-10-17,0,23,40,0,3,3,0,16,1566,104,0,16,0,0,0,0,0,0,False,False,False
2014-10-18,0,23,40,0,3,3,0,17,1591,104,0,17,0,0,0,0,0,0,False,False,False
2014-10-19,0,23,40,0,3,3,0,17,1614,104,0,17,0,0,0,0,0,0,False,False,False
2014-10-20,0,23,40,0,3,3,0,17,1638,104,0,17,0,0,0,0,0,0,False,False,False
2014-10-21,0,23,40,0,3,3,0,17,1663,104,0,17,0,0,0,0,0,0,False,False,False
2014-10-22,0,23,40,0,3,3,0,17,1686,104,0,17,0,0,0,0,0,0,False,False,False
2014-10-23,0,23,40,0,3,3,0,17,1710,104,0,17,0,0,0,0,0,0,False,False,False
2014-10-24,0,23,40,0,3,3,0,17,1734,104,0,17,0,0,0,0,0,0,False,False,False
2014-10-25,0,23,41,0,3,3,0,18,1758,104,0,18,0,0,0,0,0,0,False,False,False
