date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-06-07,0,26,43,0,3,3,0,4,31,103,0,4,0,0,0,0,0,0,False,False,False
2014-06-08,0,26,43,0,3,3,0,5,55,103,0,5,0,0,0,0,0,0,False,False,False
2014-06-09,0,26,43,0,3,3,0,6,78,103,0,6,0,0,0,0,0,0,False,False,False
2014-06-10,0,26,43,0,3,3,0,7,103,103,0,7,0,0,0,0,0,0,False,False,False
2014-06-11,0,25,43,0,3,3,0,8,127,103,0,8,0,0,0,0,0,0,False,False,False
2014-06-12,0,26,43,0,3,3,0,9,151,103,0,9,0,0,0,0,0,0,False,False,False
2014-06-13,0,25,43,0,3,3,0,9,174,103,0,9,0,0,0,0,0,0,False,False,False
2014-06-14,0,25,43,0,3,3,0,10,199,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-15,0,25,43,0,3,3,0,10,223,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-16,0,25,43,0,3,3,0,10,246,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-17,0,26,43,0,3,3,0,10,270,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-18,0,25,43,0,3,3,0,10,295,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-19,0,25,43,0,3,3,0,10,319,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-20,0,27,43,0,3,3,0,10,342,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-21,0,27,43,0,3,3,0,10,367,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-22,0,27,43,0,3,3,0,10,391,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-23,0,27,43,0,3,3,0,10,414,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-24,0,25,43,0,3,3,0,10,439,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-25,0,25,43,0,3,3,0,10,463,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-26,0,25,43,0,3,3,0,10,486,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-27,0,25,43,0,3,3,0,10,510,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-28,0,25,43,0,3,3,0,10,535,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-29,0,25,43,0,3,3,0,10,559,104,0,10,0,0,0,0,0,0,False,False,False
2014-06-30,0,25,43,0,3,3,0,10,582,104,0,10,0,0,0,0,0,0,False,False,False
2014-07-01,0,25,43,0,3,3,0,10,607,104,0,10,0,0,0,0,0,0,False,False,False
2014-07-02,0,25,41,0,3,3,0,11,631,104,0,11,0,0,0,0,0,0,False,False,False
2014-07-03,0,26,41,0,3,3,0,11,654,104,0,11,0,0,0,0,0,0,False,False,False
