date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-08-16,0,30,41,0,3,3,0,3,31,101,0,3,0,0,0,0,0,0,False,False,False
2014-08-17,0,30,41,0,3,3,0,4,55,101,0,4,0,0,0,0,0,0,False,False,False
2014-08-18,0,30,41,0,3,3,0,5,78,101,0,5,0,0,0,0,0,0,False,False,False
2014-08-19,0,31,42,0,3,3,0,6,102,101,0,6,0,0,0,0,0,0,False,False,False
2014-08-20,0,30,42,0,3,3,0,6,127,101,0,6,0,0,0,0,0,0,False,False,False
2014-08-21,0,31,42,0,3,3,0,7,151,101,0,7,0,0,0,0,0,0,False,False,False
2014-08-22,0,29,42,0,3,3,0,7,174,101,0,7,0,0,0,0,0,0,False,False,False
2014-08-23,0,28,41,0,3,3,0,8,199,101,0,8,0,0,0,0,0,0,False,False,False
2014-08-24,0,27,42,0,3,3,0,9,223,101,0,9,0,0,0,0,0,0,False,False,False
2014-08-25,0,28,42,0,3,3,0,10,246,101,0,10,0,0,0,0,0,0,False,False,False
2014-08-26,0,26,42,0,5,5,0,13,270,101,0,13,452,0,0,0,0,0,False,False,False
2014-08-27,0,27,42,0,8,8,0,17,291,101,0,17,452,0,0,0,0,0,False,False,False
2014-08-28,0,27,42,0,8,8,0,17,315,101,0,17,452,0,0,0,0,0,False,False,False
2014-08-29,0,27,42,0,8,8,0,17,339,101,0,17,452,0,0,0,0,0,False,False,False
2014-08-30,0,27,42,0,8,8,0,18,363,101,0,18,452,0,0,0,0,0,False,False,False
2014-08-31,0,27,42,0,8,8,0,18,387,101,0,18,452,0,0,0,0,0,False,False,False
2014-09-01,0,27,42,0,8,8,0,18,412,101,0,18,452,0,0,0,0,0,False,False,False
2014-09-02,0,27,42,0,8,8,0,18,435,101,0,18,452,0,0,0,0,0,False,False,False
2014-09-03,0,26,42,0,8,8,0,19,459,100,0,19,452,0,0,0,0,0,False,False,False
2014-09-04,0,26,42,0,8,8,0,20,483,101,0,20,452,0,0,0,0,0,False,False,False
2014-09-05,0,26,42,0,8,8,0,21,507,101,0,21,452,0,0,0,0,0,False,False,False
2014-09-06,0,26,42,0,8,8,0,22,531,101,0,22,452,0,0,0,0,0,False,False,False
2014-09-07,0,26,42,0,8,8,0,23,555,101,0,23,452,0,0,0,0,0,False,False,False
2014-09-08,0,26,42,0,8,8,0,24,579,101,0,24,452,0,0,0,0,0,False,False,False
2014-09-09,0,25,42,0,8,8,0,25,603,101,0,25,452,0,0,0,0,0,False,False,False
2014-09-10,0,26,42,0,8,8,0,26,627,101,0,26,452,0,0,0,0,0,False,False,False
2014-09-11,0,27,42,0,8,8,0,27,651,101,0,27,452,0,0,0,0,0,False,False,False
2014-09-12,0,27,42,0,8,8,0,28,675,101,0,28,452,0,0,0,0,0,False,False,False
2014-09-13,0,26,42,0,8,8,0,29,699,101,0,29,452,0,0,0,0,0,False,False,False
2014-09-14,0,26,42,0,8,8,0,30,723,101,0,30,452,0,0,0,0,0,False,False,False
2014-09-15,0,27,42,0,8,8,0,31,747,101,0,31,452,0,0,0,0,0,False,False,False
2014-09-16,0,27,42,0,8,8,0,32,771,101,0,32,452,0,0,0,0,0,False,False,False
