date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-10-02,0,22,42,0,3,3,0,7,132,101,0,7,0,0,0,0,0,0,False,False,False
2014-10-03,0,22,42,0,3,3,0,8,156,101,0,8,0,0,0,0,0,0,False,False,False
2014-10-04,0,22,42,0,3,3,0,9,180,101,0,9,0,0,0,0,0,0,False,False,False
2014-10-05,0,22,42,0,3,3,0,10,203,101,0,10,0,0,0,0,0,0,False,False,False
2014-10-06,0,22,42,0,3,3,0,11,228,101,0,11,0,0,0,0,0,0,False,False,False
2014-10-07,0,22,42,0,3,3,0,12,252,101,0,12,0,0,0,0,0,0,False,False,False
2014-10-08,0,22,42,0,3,3,0,13,276,101,0,13,0,0,0,0,0,0,False,False,False
2014-10-09,0,22,42,0,3,3,0,13,300,101,0,13,0,0,0,0,0,0,False,False,False
2014-10-10,0,22,42,0,3,3,0,14,324,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-11,0,22,42,0,3,3,0,14,348,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-12,0,22,42,0,3,3,0,14,372,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-13,0,22,42,0,3,3,0,14,396,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-14,0,21,42,0,3,3,0,14,420,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-15,0,21,42,0,3,3,0,14,444,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-16,0,21,42,0,3,3,0,14,468,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-17,0,21,42,0,3,3,0,14,492,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-18,0,21,42,0,3,3,0,14,516,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-19,0,21,42,0,3,3,0,14,540,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-20,0,21,42,0,3,3,0,14,564,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-21,0,21,42,0,3,3,0,14,588,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-22,0,21,42,0,3,3,0,14,612,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-23,0,21,42,0,3,3,0,14,636,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-24,0,21,42,0,3,3,0,14,660,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-25,0,21,42,0,3,3,0,14,684,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-26,0,21,42,0,3,3,0,14,708,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-27,0,21,42,0,3,3,0,14,732,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-28,0,21,42,0,3,3,0,14,756,101,0,14,0,0,0,0,0,0,False,False,False
2014-10-29,0,21,42,0,3,3,0,15,780,103,0,15,0,0,0,0,0,0,False,False,False
2014-10-30,0,21,42,0,3,3,0,16,804,103,0,16,0,0,0,0,0,0,False,False,False
2014-10-31,0,21,42,0,3,3,0,16,828,103,0,16,0,0,0,0,0,0,False,False,False
2014-11-01,0,21,42,0,3,3,0,17,852,103,0,17,0,0,0,0,0,0,False,False,False
2014-11-03,0,21,42,0,3,3,0,17,901,103,0,17,0,0,0,0,0,0,False,False,False
2014-11-04,0,21,42,0,3,3,0,17,925,103,0,17,0,0,0,0,0,0,False,False,False
2014-11-05,0,24,42,0,3,3,0,17,949,103,0,17,0,0,0,0,0,0,False,False,False
2014-11-06,0,22,42,0,4,4,0,18,972,102,0,18,0,0,0,0,0,0,False,False,False
2014-11-07,0,21,42,0,4,4,0,18,997,102,0,18,0,0,0,0,0,0,False,False,False
2014-11-08,0,21,42,0,4,4,0,18,1021,102,0,18,0,0,0,0,0,0,False,False,False
2014-11-09,0,21,42,0,4,4,0,19,1045,102,0,19,0,0,0,0,0,0,False,False,False
2014-11-10,0,21,42,0,4,4,0,20,1069,102,0,20,0,0,0,0,0,0,False,False,False
2014-11-11,0,20,42,0,4,4,0,21,1093,102,0,21,0,0,0,0,0,0,False,False,False
2014-11-12,0,21,42,0,4,4,0,22,1117,102,0,22,0,0,0,0,0,0,False,False,False
2014-11-13,0,20,42,0,4,4,0,23,1141,102,0,23,0,0,0,0,0,0,False,False,False
2014-11-14,0,21,42,0,4,4,0,24,1165,102,0,24,0,0,0,0,0,0,False,False,False
2014-11-15,0,20,42,0,4,4,0,25,1189,102,0,25,0,0,0,0,0,0,False,False,False
2014-11-16,0,20,42,0,4,4,0,26,1213,102,0,26,0,0,0,0,0,0,False,False,False
2014-11-17,0,20,42,0,4,4,0,27,1237,102,0,27,0,0,0,0,0,0,False,False,False
2014-11-18,0,20,42,0,4,4,0,28,1261,102,0,28,0,0,0,0,0,0,False,False,False
2014-11-19,0,22,42,0,4,4,0,29,1285,102,0,29,0,0,0,0,0,0,False,False,False
2014-11-20,0,21,42,0,4,4,0,30,1309,102,0,30,0,0,0,0,0,0,False,False,False
2014-11-21,0,21,42,0,4,4,0,30,1333,102,0,30,0,0,0,0,0,0,False,False,False
2014-11-22,0,21,42,0,4,4,0,31,1357,102,0,31,0,0,0,0,0,0,False,False,False
2014-11-23,0,21,42,0,4,4,0,32,1381,102,0,32,0,0,0,0,0,0,False,False,False
2014-11-24,0,21,42,0,4,4,0,33,1405,102,0,33,0,0,0,0,0,0,False,False,False
2014-11-25,0,21,42,0,4,4,0,33,1429,102,0,33,0,0,0,0,0,0,False,False,False
2014-11-26,0,21,42,0,4,4,0,34,1452,102,0,34,0,0,0,0,0,0,False,False,False
2014-11-27,0,21,42,0,4,4,0,35,1477,102,0,35,0,0,0,0,0,0,False,False,False
2014-11-28,0,21,42,0,4,4,0,36,1501,102,0,36,0,0,0,0,0,0,False,False,False
2014-11-29,0,21,42,0,4,4,0,37,1525,102,0,37,0,0,0,0,0,0,False,False,False
2014-11-30,0,20,42,0,4,4,0,38,1549,102,0,38,0,0,0,0,0,0,False,False,False
