date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-08-13,0,27,0,0,3,3,0,3,7,0,0,3,0,0,0,0,0,0,False,False,False
2014-08-14,0,27,0,0,3,3,0,3,31,0,0,3,0,0,0,0,0,0,False,False,False
2014-08-15,0,28,0,0,3,3,0,4,55,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-16,0,26,0,0,3,3,0,4,79,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-17,0,28,0,0,3,3,0,5,103,0,0,5,0,0,0,0,0,0,False,False,False
2014-08-18,0,28,0,0,3,3,0,6,127,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-19,0,28,0,0,3,3,0,6,151,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-20,0,28,0,0,3,3,0,6,175,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-21,0,29,0,0,3,3,0,6,199,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-22,0,26,0,0,3,3,0,6,223,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-23,0,26,0,0,3,3,0,6,247,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-24,0,26,0,0,3,3,0,6,271,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-25,0,27,0,0,3,3,0,6,295,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-26,0,23,0,0,3,3,0,6,319,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-27,0,23,0,0,3,3,0,6,343,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-28,0,23,42,0,3,3,0,6,360,103,0,6,0,0,0,0,0,0,False,False,False
2014-10-08,0,21,42,0,3,3,0,17,1351,102,0,17,0,0,0,0,0,0,False,False,False
2014-10-09,0,20,42,0,3,3,0,17,1375,102,0,17,0,0,0,0,0,0,False,False,False
2014-10-10,0,21,43,0,3,3,0,18,1399,104,0,18,0,0,0,0,0,0,False,False,False
2014-10-11,0,21,43,0,3,3,0,18,1423,104,0,18,0,0,0,0,0,0,False,False,False
2014-10-12,0,21,43,0,3,3,0,18,1447,104,0,18,0,0,0,0,0,0,False,False,False
2014-10-13,0,20,41,0,3,3,0,19,1471,104,0,19,0,0,0,0,0,0,False,False,False
2014-10-14,0,20,42,0,3,3,0,20,1495,103,0,20,0,0,0,0,0,0,False,False,False
2014-10-15,0,20,42,0,3,3,0,20,1519,103,0,20,0,0,0,0,0,0,False,False,False
2014-10-16,0,20,43,0,3,3,0,21,1543,104,0,21,0,0,0,0,0,0,False,False,False
2014-10-17,0,20,42,0,3,3,0,22,1567,102,0,22,0,0,0,0,0,0,False,False,False
2014-10-18,0,20,42,0,3,3,0,22,1591,102,0,22,0,0,0,0,0,0,False,False,False
2014-10-19,0,20,42,0,3,3,0,22,1615,104,0,22,0,0,0,0,0,0,False,False,False
2014-10-20,0,20,42,0,3,3,0,23,1639,104,0,23,0,0,0,0,0,0,False,False,False
2014-10-21,0,20,42,0,3,3,0,23,1663,104,0,23,0,0,0,0,0,0,False,False,False
2014-10-22,0,19,42,0,3,3,0,23,1687,104,0,23,0,0,0,0,0,0,False,False,False
2014-10-23,0,20,42,0,3,3,0,23,1711,104,0,23,0,0,0,0,0,0,False,False,False
2014-10-24,0,20,42,0,3,3,0,23,1735,104,0,23,0,0,0,0,0,0,False,False,False
2014-10-25,0,20,42,0,3,3,0,24,1759,104,0,24,0,0,0,0,0,0,False,False,False
