date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-09-30,0,29,42,0,3,3,0,7,131,105,0,7,0,0,0,0,0,0
2014-10-01,0,29,42,0,3,3,0,8,155,105,0,8,0,0,0,0,0,0
2014-10-02,0,29,42,0,3,3,0,9,179,105,0,9,0,0,0,0,0,0
2014-10-03,0,28,43,0,3,3,0,10,204,105,0,10,0,0,0,0,0,0
2014-10-04,0,28,42,0,3,3,0,11,227,105,0,11,0,0,0,0,0,0
2014-10-05,0,28,42,0,3,3,0,12,252,105,0,12,0,0,0,0,0,0
2014-10-06,0,28,42,0,3,3,0,12,276,105,0,12,0,0,0,0,0,0
2014-10-07,0,28,42,0,3,3,0,12,299,105,0,12,0,0,0,0,0,0
2014-10-08,0,28,42,0,3,3,0,12,323,105,0,12,0,0,0,0,0,0
2014-10-09,0,29,42,0,3,3,0,12,348,105,0,12,0,0,0,0,0,0
2014-10-10,0,29,42,0,3,3,0,12,372,105,0,12,0,0,0,0,0,0
2014-10-11,0,30,42,0,3,3,0,12,396,105,0,12,0,0,0,0,0,0
2014-10-12,0,29,42,0,3,3,0,12,420,105,0,12,0,0,0,0,0,0
2014-10-13,0,29,42,0,3,3,0,12,444,105,0,12,0,0,0,0,0,0
