date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-08-22,0,28,0,0,3,3,0,3,12,0,0,3,0,0,0,0,0,0,False,False,False
2014-08-23,0,28,0,0,3,3,0,4,36,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-24,0,28,0,0,3,3,0,4,60,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-25,0,28,0,0,3,3,0,5,84,0,0,5,0,0,0,0,0,0,False,False,False
2014-08-26,0,28,0,0,3,3,0,6,108,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-27,0,28,0,0,3,3,0,7,132,0,0,7,0,0,0,0,0,0,False,False,False
2014-08-28,0,28,0,0,3,3,0,8,156,0,0,8,0,0,0,0,0,0,False,False,False
2014-08-29,0,29,0,0,3,3,0,9,180,0,0,9,0,0,0,0,0,0,False,False,False
2014-08-30,0,29,0,0,3,3,0,9,204,0,0,9,0,0,0,0,0,0,False,False,False
2014-08-31,0,29,0,0,3,3,0,10,228,0,0,10,0,0,0,0,0,0,False,False,False
2014-09-01,0,29,0,0,3,3,0,11,252,0,0,11,0,0,0,0,0,0,False,False,False
2014-09-02,0,28,0,0,3,3,0,11,276,0,0,11,0,0,0,0,0,0,False,False,False
2014-09-03,0,29,0,0,3,3,0,11,299,0,0,11,0,0,0,0,0,0,False,False,False
2014-09-04,0,29,0,0,3,3,0,11,324,0,0,11,0,0,0,0,0,0,False,False,False
2014-09-05,0,28,0,0,3,3,0,11,348,0,0,11,0,0,0,0,0,0,False,False,False
2014-09-26,0,30,41,0,3,3,0,30,852,99,0,30,0,0,0,0,0,0,False,False,False
2014-09-27,0,28,41,0,3,3,0,30,876,99,0,30,0,0,0,0,0,0,False,False,False
2014-09-28,0,27,41,0,3,3,0,30,899,100,0,30,0,0,0,0,0,0,False,False,False
2014-09-29,0,27,41,0,3,3,0,31,924,100,0,31,0,0,0,0,0,0,False,False,False
2014-09-30,0,28,41,0,3,3,0,31,948,100,0,31,0,0,0,0,0,0,False,False,False
2014-10-01,0,27,41,0,3,3,0,31,972,100,0,31,0,0,0,0,0,0,False,False,False
2014-10-02,0,27,42,0,3,3,0,31,996,100,0,31,0,0,0,0,0,0,False,False,False
2014-10-03,0,26,42,0,3,3,0,32,1020,100,0,32,0,0,0,0,0,0,False,False,False
2014-10-04,0,27,41,0,3,3,0,33,1044,100,0,33,0,0,0,0,0,0,False,False,False
2014-10-05,0,27,41,0,3,3,0,33,1068,100,0,33,0,0,0,0,0,0,False,False,False
2014-10-06,0,27,41,0,3,3,0,33,1092,100,0,33,0,0,0,0,0,0,False,False,False
2014-10-07,0,27,41,0,3,3,0,33,1116,100,0,33,0,0,0,0,0,0,False,False,False
2014-10-08,0,27,41,0,3,3,0,34,1140,100,0,34,0,0,0,0,0,0,False,False,False
2014-10-09,0,27,41,0,3,3,0,34,1164,100,0,34,0,0,0,0,0,0,False,False,False
2014-10-10,0,28,41,0,3,3,0,35,1188,100,0,35,0,0,0,0,0,0,False,False,False
2014-10-11,0,28,41,0,3,3,0,35,1212,100,0,35,0,0,0,0,0,0,False,False,False
2014-10-12,0,27,40,0,3,3,0,36,1236,100,0,36,0,0,0,0,0,0,False,False,False
2014-10-13,0,28,40,0,3,3,0,36,1260,100,0,36,0,0,0,0,0,0,False,False,False
2014-10-14,0,27,42,0,3,3,0,37,1284,100,0,37,0,0,0,0,0,0,False,False,False
2014-10-15,0,27,42,0,3,3,0,38,1308,100,0,38,0,0,0,0,0,0,False,False,False
2014-10-16,0,28,42,0,3,3,0,38,1332,100,0,38,0,0,0,0,0,0,False,False,False
2014-10-17,0,28,40,0,3,3,0,39,1356,100,0,39,0,0,0,0,0,0,False,False,False
2014-10-18,0,28,40,0,3,3,0,39,1380,100,0,39,0,0,0,0,0,0,False,False,False
2014-10-19,0,28,40,0,3,3,0,39,1404,100,0,39,0,0,0,0,0,0,False,False,False
2014-10-20,0,27,41,0,3,3,0,40,1428,100,0,40,0,0,0,0,0,0,False,False,False
2014-10-21,0,27,41,0,3,3,0,41,1451,100,0,41,0,0,0,0,0,0,False,False,False
2014-10-22,0,28,41,0,3,3,0,42,1476,100,0,42,0,0,0,0,0,0,False,False,False
2014-10-23,0,28,41,0,3,3,0,42,1500,100,0,42,0,0,0,0,0,0,False,False,False
2014-10-24,0,28,41,0,3,3,0,43,1524,100,0,43,0,0,0,0,0,0,False,False,False
2014-10-25,0,28,41,0,3,3,0,43,1548,100,0,43,0,0,0,0,0,0,False,False,False
