date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-06-07,0,32,0,0,3,3,0,3,8,0,0,3,0,0,0,0,0,0,False,False,False
2014-06-08,0,32,0,0,3,3,0,4,31,0,0,4,0,0,0,0,0,0,False,False,False
2014-06-09,0,32,0,0,3,3,0,4,55,0,0,4,0,0,0,0,0,0,False,False,False
2014-06-10,0,32,0,0,3,3,0,4,80,0,0,4,0,0,0,0,0,0,False,False,False
2014-06-11,0,35,42,0,4,4,0,6,103,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-12,0,34,42,0,4,4,0,6,127,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-13,0,31,42,0,4,4,0,6,152,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-14,0,32,42,0,4,4,0,6,176,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-15,0,32,42,0,4,4,0,6,199,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-16,0,31,42,0,4,4,0,6,223,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-17,0,31,42,0,4,4,0,6,248,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-18,0,31,42,0,4,4,0,6,271,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-19,0,31,42,0,4,4,0,6,295,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-20,0,29,42,0,4,4,0,6,320,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-21,0,28,42,0,4,4,0,6,343,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-22,0,28,42,0,4,4,0,6,367,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-23,0,28,42,0,4,4,0,6,392,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-24,0,31,42,0,4,4,0,6,416,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-25,0,31,42,0,4,4,0,6,439,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-26,0,30,42,0,4,4,0,6,464,98,0,6,0,0,0,0,371,0,False,False,False
2014-06-27,0,30,42,0,4,4,0,7,488,98,0,7,0,0,0,0,371,0,False,False,False
2014-06-28,0,30,42,0,4,4,0,8,511,98,0,8,0,0,0,0,371,0,False,False,False
2014-06-29,0,30,42,0,4,4,0,9,535,98,0,9,0,0,0,0,371,0,False,False,False
2014-06-30,0,30,42,0,4,4,0,10,560,98,0,10,0,0,0,0,371,0,False,False,False
2014-07-01,0,30,42,0,4,4,0,11,583,98,0,11,0,0,0,0,371,0,False,False,False
2014-07-02,0,30,42,0,4,4,0,12,607,98,0,12,0,0,0,0,371,0,False,False,False
2014-07-03,0,30,42,0,4,4,0,12,632,98,0,12,0,0,0,0,371,0,False,False,False
2014-07-04,0,29,42,0,4,4,0,13,655,98,0,13,0,0,0,0,371,0,False,False,False
2014-07-05,0,29,42,0,4,4,0,14,679,98,0,14,0,0,0,0,371,0,False,False,False
2014-07-06,0,29,42,0,4,4,0,15,704,98,0,15,0,0,0,0,371,0,False,False,False
2014-07-07,0,30,42,0,4,4,0,16,728,98,0,16,0,0,0,0,371,0,False,False,False
2014-07-08,0,29,42,0,4,4,0,17,751,98,0,17,0,0,0,0,371,0,False,False,False
2014-07-09,0,28,42,0,4,4,0,18,775,98,0,18,0,0,0,0,371,0,False,False,False
2014-07-10,0,30,42,0,4,4,0,19,800,98,0,19,0,0,0,0,371,0,False,False,False
2014-07-11,0,29,42,0,4,4,0,19,823,98,0,19,0,0,0,0,371,0,False,False,False
2014-07-12,0,30,42,0,4,4,0,20,847,98,0,20,0,0,0,0,371,0,False,False,False
2014-07-13,0,30,42,0,4,4,0,21,872,98,0,21,0,0,0,0,371,0,False,False,False
2014-07-14,0,30,42,0,4,4,0,22,895,98,0,22,0,0,0,0,371,0,False,False,False
2014-07-15,0,30,42,0,4,4,0,23,919,98,0,23,0,0,0,0,371,0,False,False,False
2014-07-16,0,30,42,0,4,4,0,24,943,98,0,24,0,0,0,0,371,0,False,False,False
2014-07-17,0,29,42,0,4,4,0,25,968,98,0,25,0,0,0,0,371,0,False,False,False
2014-07-18,0,29,42,0,4,4,0,25,991,98,0,25,0,0,0,0,371,0,False,False,False
2014-07-19,0,31,42,0,4,4,0,26,1015,98,0,26,0,0,0,0,371,0,False,False,False
2014-07-20,0,30,42,0,4,4,0,27,1040,98,0,27,0,0,0,0,371,0,False,False,False
2014-07-21,0,31,42,0,4,4,0,28,1063,98,0,28,0,0,0,0,371,0,False,False,False
2014-07-22,0,30,42,0,4,4,0,29,1088,98,0,29,0,0,0,0,371,0,False,False,False
2014-07-23,0,29,42,0,4,4,0,29,1112,98,0,29,0,0,0,0,371,0,False,False,False
2014-07-24,0,29,42,0,4,4,0,30,1135,98,0,30,0,0,0,0,371,0,False,False,False
2014-07-25,0,29,42,0,4,4,0,31,1159,98,0,31,0,0,0,0,371,0,False,False,False
2014-07-26,0,29,42,0,4,4,0,32,1184,98,0,32,0,0,0,0,371,0,False,False,False
2014-07-27,0,28,42,0,4,4,0,32,1208,98,0,32,0,0,0,0,371,0,False,False,False
2014-07-28,0,28,42,0,4,4,0,32,1231,98,0,32,0,0,0,0,371,0,False,False,False
2014-07-29,0,29,42,0,4,4,0,32,1256,98,0,32,0,0,0,0,371,0,False,False,False
2014-07-30,0,26,42,0,4,4,0,32,1280,98,0,32,0,0,0,0,371,0,False,False,False
2014-07-31,0,26,42,0,4,4,0,32,1303,98,0,32,0,0,0,0,371,0,False,False,False
2014-08-01,0,26,42,0,4,4,0,32,1327,98,0,32,0,0,0,0,371,0,False,False,False
2014-08-02,0,26,42,0,4,4,0,32,1352,98,0,32,0,0,0,0,371,0,False,False,False
2014-08-03,0,26,42,0,4,4,0,32,1375,98,0,32,0,0,0,0,371,0,False,False,False
2014-08-04,0,26,42,0,4,4,0,32,1399,98,0,32,0,0,0,0,371,0,False,False,False
2014-08-05,0,26,42,0,4,4,0,32,1424,98,0,32,0,0,0,0,371,0,False,False,False
2014-08-06,0,26,42,0,4,4,0,32,1448,98,0,32,0,0,0,0,371,0,False,False,False
2014-08-07,0,26,42,0,4,4,0,32,1471,98,0,32,0,0,0,0,371,0,False,False,False
2014-08-08,0,25,42,0,4,4,0,32,1495,98,0,32,0,0,0,0,371,0,False,False,False
2014-08-09,0,25,42,0,4,4,0,32,1520,98,0,32,0,0,0,0,371,0,False,False,False
2014-08-10,0,27,42,0,4,4,0,32,1543,98,0,32,0,0,0,0,371,0,False,False,False
2014-08-11,0,26,42,0,4,4,0,32,1567,98,0,32,0,0,0,0,371,0,False,False,False
2014-08-12,0,27,42,0,4,4,0,32,1592,98,0,32,0,0,0,0,371,0,False,False,False
2014-08-13,0,31,42,0,4,4,0,33,1616,98,0,33,0,0,0,0,371,0,False,False,False
2014-08-14,0,31,42,0,4,4,0,33,1639,98,0,33,0,0,0,0,371,0,False,False,False
2014-08-15,0,30,42,0,4,4,0,33,1664,98,0,33,0,0,0,0,371,0,False,False,False
2014-08-16,0,30,42,0,4,4,0,33,1688,98,0,33,0,0,0,0,371,0,False,False,False
2014-08-17,0,30,42,0,4,4,0,33,1711,98,0,33,0,0,0,0,371,0,False,False,False
2014-08-18,0,30,42,0,4,4,0,33,1735,98,0,33,0,0,0,0,371,0,False,False,False
2014-08-19,0,30,42,0,4,4,0,33,1760,98,0,33,0,0,0,0,371,0,False,False,False
2014-08-20,0,30,42,0,4,4,0,33,1783,98,0,33,0,0,0,0,371,0,False,False,False
2014-08-21,0,31,42,0,4,4,0,33,1807,98,0,33,0,0,0,0,371,0,False,False,False
2014-08-22,0,29,42,0,4,4,0,33,1832,98,0,33,0,0,0,0,371,0,False,False,False
2014-08-23,0,29,42,0,4,4,0,33,1856,98,0,33,0,0,0,0,371,0,False,False,False
2014-08-24,0,29,42,0,4,4,0,33,1879,98,0,33,0,0,0,0,371,0,False,False,False
2014-08-25,0,29,42,0,4,4,0,33,1904,98,0,33,0,0,0,0,371,0,False,False,False
2014-08-26,0,27,42,0,4,4,0,33,1928,98,0,33,0,0,0,0,371,0,False,False,False
