date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-07-23,0,35,43,0,3,3,0,4,32,104,0,4,0,0,0,0,0,0,False,False,False
2014-07-24,0,35,43,0,3,3,0,4,56,104,0,4,0,0,0,0,0,0,False,False,False
2014-07-25,0,35,43,0,3,3,0,4,79,104,0,4,0,0,0,0,0,0,False,False,False
2014-07-26,0,35,43,0,3,3,0,4,104,104,0,4,0,0,0,0,0,0,False,False,False
2014-07-27,0,35,43,0,3,3,0,4,128,104,0,4,0,0,0,0,0,0,False,False,False
2014-07-28,0,35,43,0,3,3,0,4,151,104,0,4,0,0,0,0,0,0,False,False,False
2014-07-29,0,35,43,0,4,4,0,5,175,104,0,5,0,0,0,0,0,0,False,False,False
2014-07-30,0,35,43,0,4,4,0,5,200,104,0,5,0,0,0,0,0,0,False,False,False
2014-07-31,0,34,41,0,4,4,0,6,224,104,0,6,0,0,0,0,0,0,False,False,False
2014-08-01,0,34,42,0,4,4,0,7,247,104,0,7,0,0,0,0,0,0,False,False,False
2014-08-02,0,34,42,0,4,4,0,8,271,104,0,8,0,0,0,0,0,0,False,False,False
2014-08-03,0,34,42,0,4,4,0,9,296,104,0,9,0,0,0,0,0,0,False,False,False
2014-08-04,0,34,42,0,4,4,0,9,319,104,0,9,0,0,0,0,0,0,False,False,False
2014-08-05,0,35,42,0,4,4,0,9,343,104,0,9,0,0,0,0,0,0,False,False,False
2014-08-06,0,35,42,0,4,4,0,9,368,104,0,9,0,0,0,0,0,0,False,False,False
2014-08-07,0,34,42,0,4,4,0,9,392,104,0,9,0,0,0,0,0,0,False,False,False
2014-08-08,0,35,42,0,4,4,0,9,415,104,0,9,0,0,0,0,0,0,False,False,False
2014-08-09,0,35,42,0,4,4,0,9,440,104,0,9,0,0,0,0,0,0,False,False,False
2014-08-10,0,37,42,0,4,4,0,9,464,104,0,9,0,0,0,0,0,0,False,False,False
2014-08-11,0,37,42,0,4,4,0,9,487,104,0,9,0,0,0,0,0,0,False,False,False
2014-08-12,0,37,42,0,4,4,0,9,512,104,0,9,0,0,0,0,0,0,False,False,False
2014-08-13,0,35,42,0,4,4,0,9,536,104,0,9,0,0,0,0,0,0,False,False,False
2014-08-14,0,35,42,0,4,4,0,9,552,104,0,9,0,0,0,0,0,0,False,False,False
2014-08-19,0,35,42,0,4,4,0,14,680,104,0,14,0,0,0,0,0,0,False,False,False
2014-08-20,0,34,42,0,4,4,0,14,704,104,0,14,0,0,0,0,0,0,False,False,False
2014-08-21,0,34,42,0,4,4,0,14,727,104,0,14,0,0,0,0,0,0,False,False,False
2014-08-22,0,34,43,0,4,4,0,15,751,104,0,15,0,0,0,0,0,0,False,False,False
2014-08-23,0,34,43,0,4,4,0,16,776,104,0,16,0,0,0,0,0,0,False,False,False
2014-08-24,0,35,43,0,4,4,0,16,799,104,0,16,0,0,0,0,0,0,False,False,False
2014-08-25,0,34,43,0,4,4,0,16,823,104,0,16,0,0,0,0,0,0,False,False,False
