date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-06-19,0,31,42,0,3,3,0,4,33,100,0,4,0,0,0,0,0,0,False,False,False
2014-06-20,0,31,42,0,3,3,0,5,57,100,0,5,0,0,0,0,0,0,False,False,False
2014-06-21,0,32,42,0,3,3,0,6,81,100,0,6,0,0,0,0,0,0,False,False,False
2014-06-22,0,31,42,0,3,3,0,7,105,100,0,7,0,0,0,0,0,0,False,False,False
2014-06-23,0,31,42,0,3,3,0,8,129,100,0,8,0,0,0,0,0,0,False,False,False
2014-06-24,0,31,42,0,3,3,0,9,152,100,0,9,0,0,0,0,0,0,False,False,False
2014-06-25,0,31,42,0,3,3,0,10,177,100,0,10,0,0,0,0,0,0,False,False,False
2014-06-26,0,32,42,0,3,3,0,11,201,100,0,11,0,0,0,0,0,0,False,False,False
2014-06-27,0,32,42,0,3,3,0,12,225,100,0,12,0,0,0,0,0,0,False,False,False
2014-06-28,0,32,42,0,3,3,0,13,249,100,0,13,0,0,0,0,0,0,False,False,False
2014-06-29,0,32,42,0,3,3,0,14,273,100,0,14,0,0,0,0,0,0,False,False,False
2014-06-30,0,32,42,0,3,3,0,15,297,100,0,15,0,0,0,0,0,0,False,False,False
2014-07-01,0,32,42,0,3,3,0,16,321,100,0,16,0,0,0,0,0,0,False,False,False
2014-07-02,0,32,42,0,3,3,0,16,345,100,0,16,0,0,0,0,0,0,False,False,False
2014-07-03,0,32,42,0,3,3,0,17,369,100,0,17,0,0,0,0,0,0,False,False,False
